"
												1 Bed
														–
3 Beds										",1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,"$2,690","$3,735",,,"[{'bedroom_type': 'Studio', 'price': '$2,535'}, {'bedroom_type': '1 Bed', 'price': '$2,690'}, {'bedroom_type': '2 Beds', 'price': '$3,735'}]",Oakland,"539 39th St, Oakland, CA 94609",MacArthur Commons,https://www.apartments.com/macarthur-commons-oakland-ca/xrz7hcm/,CA,"$2,535",Apartment,94609
,"$2,920","$4,235",,,"[{'bedroom_type': 'Studio', 'price': '$2,650'}, {'bedroom_type': '1 Bed', 'price': '$2,920'}, {'bedroom_type': '2 Beds', 'price': '$4,235'}]",Oakland,"3093 Broadway, Oakland, CA 94611",The Broadway,https://www.apartments.com/the-broadway-oakland-ca/zk8p87z/,CA,"$2,650",Apartment,94611
,"$2,769","$3,210",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,769'}, {'bedroom_type': '2 Beds', 'price': '$3,210'}]",San Jose,"355 Sunol St, San Jose, CA 95126",Patina at Midtown,https://www.apartments.com/patina-at-midtown-san-jose-ca/dxd0spl/,CA,,Apartment,95126
,"$3,125","$3,995","$5,610",,"[{'bedroom_type': 'Studio', 'price': '$2,700'}, {'bedroom_type': '1 Bed', 'price': '$3,125'}, {'bedroom_type': '2 Beds', 'price': '$3,995'}, {'bedroom_type': '3 Beds', 'price': '$5,610'}]",Emeryville,"6301 Shellmound St, Emeryville, CA 94608",Avalon Public Market,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,CA,"$2,700",Apartment,94608
,"$2,595","$3,689","$6,495",,"[{'bedroom_type': '1 Bed', 'price': '$2,595'}, {'bedroom_type': '2 Beds', 'price': '$3,689'}, {'bedroom_type': '3 Beds', 'price': '$6,495'}]",Los Angeles,"6220 W 3rd St, Los Angeles, CA 90036",Palazzo West,https://www.apartments.com/palazzo-west-los-angeles-ca/lcvb9pg/,CA,,Apartment,90036
,"$3,370","$4,235","$6,630",,"[{'bedroom_type': 'Studio', 'price': '$3,035'}, {'bedroom_type': '1 Bed', 'price': '$3,370'}, {'bedroom_type': '2 Beds', 'price': '$4,235'}, {'bedroom_type': '3 Beds', 'price': '$6,630'}]",Oakland,"3883 Turquoise Way, Oakland, CA 94609",The Skylyne at Temescal,https://www.apartments.com/the-skylyne-at-temescal-oakland-ca/kemfw7c/,CA,"$3,035",Apartment,94609
,"$2,987","$3,549","$4,610",,"[{'bedroom_type': 'Studio', 'price': '$2,619'}, {'bedroom_type': '1 Bed', 'price': '$2,987'}, {'bedroom_type': '2 Beds', 'price': '$3,549'}, {'bedroom_type': '3 Beds', 'price': '$4,610'}]",San Jose,"1501 Berryessa Rd, San Jose, CA 95133",The Platform Urban Apartments,https://www.apartments.com/the-platform-urban-apartments-san-jose-ca/fzs7m4s/,CA,"$2,619",Apartment,95133
,,,,,"[{'bedroom_type': 'Studio', 'price': '$1,895'}]",North Hollywood,"11525 Chandler Blvd, North Hollywood, CA 91601",Art Set,https://www.apartments.com/art-set-north-hollywood-ca/r3f1hr0/,CA,"$1,895",Apartment,91601
,"$1,885","$2,350","$3,350",,"[{'bedroom_type': '1 Bed', 'price': '$1,885'}, {'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': '$3,350'}]",Chula Vista,"1925 Avenida Escaya, Chula Vista, CA 91913",The Residences at Escaya,https://www.apartments.com/the-residences-at-escaya-chula-vista-ca/yx046fs/,CA,,Apartment,91913
,"$2,075","$3,162","$4,181",,"[{'bedroom_type': '1 Bed', 'price': '$2,075'}, {'bedroom_type': '2 Beds', 'price': '$3,162'}, {'bedroom_type': '3 Beds', 'price': '$4,181'}]",Morgan Hill,"1100 Vintage Lane Rd, Morgan Hill, CA 95037",Morgan Ranch,https://www.apartments.com/morgan-ranch-morgan-hill-ca/s1tm3c4/,CA,,Apartment,95037
