1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$3,500",,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",San Diego,"San Diego, CA 92109",1 Month Lease,https://www.apartments.com/3745-mission-blvd-san-diego-ca-unit-3/n01nq2p/,650,650 Sq Ft,CA,Condos,92109
,"$2,295",,May 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]",San Diego,"San Diego, CA 92105",12 Month Lease,https://www.apartments.com/3615-ash-st-san-diego-ca-unit-9/jmy8d25/,945,945 Sq Ft,CA,Condos,92105
,"$3,500",,Apr 11,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",San Francisco,"San Francisco, CA 94134",12 Month Lease,https://www.apartments.com/401-crescent-ct-san-francisco-ca-unit-4411/68pc1rs/,"1,200","1,200 Sq Ft",CA,Condos,94134
"$2,595",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,595'}]",Los Angeles,"Los Angeles, CA 90025",12 Month Lease,https://www.apartments.com/11550-nebraska-ave-los-angeles-ca-unit-113/z8vh7bw/,676,676 Sq Ft,CA,Condos,90025
,"$2,450",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]",Los Angeles,"4280 Via Arbolada, Los Angeles, CA 90042",12 Month Lease,https://www.apartments.com/4280-via-arbolada-los-angeles-ca-unit-104/lses88e/,"1,214","1,214 Sq Ft",CA,Condos,90042
,"$3,500",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Oakland,"Oakland, CA 94607",12 Month Lease,https://www.apartments.com/801-franklin-st-oakland-ca-unit-1211/pqt5bgv/,"1,200","1,200 Sq Ft",CA,Condos,94607
,"$2,950",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",Westlake Village,"Westlake Village, CA 91361",12 Month Lease,https://www.apartments.com/31501-lindero-canyon-rd-westlake-village-ca-unit-12/1s46ys5/,"1,200","1,200 Sq Ft",CA,Condos,91361
,"$2,900",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Campbell,"Campbell, CA 95008",12 Month Lease,https://www.apartments.com/2873-s-bascom-ave-campbell-ca-unit-204/xzcfdvq/,841,841 Sq Ft,CA,Condos,95008
"$1,345",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,345'}]",San Diego,"San Diego, CA 92104",6 Month Lease,https://www.apartments.com/3796-alabama-st-san-diego-ca-unit-a122/zhbz8ty/,378,378 Sq Ft,CA,Condos,92104
,"$3,695",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,695'}]",Los Angeles,"Los Angeles, CA 90017",12 Month Lease,https://www.apartments.com/630-w-6th-st-los-angeles-ca-unit-101/dbm3vxl/,"1,280","1,280 Sq Ft",CA,Condos,90017
,"$3,750",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]",Los Angeles,"5764 San Vicente Blvd, Los Angeles, CA 90019",12 Month Lease,https://www.apartments.com/5764-san-vicente-blvd-los-angeles-ca-unit-304/kgchw79/,"1,300","1,300 Sq Ft",CA,Condos,90019
,"$2,900",,Apr 6,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Newark,"Newark, CA 94560",12 Month Lease,https://www.apartments.com/39975-cedar-blvd-newark-ca-unit-241/6b2mbhv/,"1,070","1,070 Sq Ft",CA,Condos,94560
"$1,500",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]",Long Beach,"Long Beach, CA 90807",12 Month Lease,https://www.apartments.com/4700-clair-del-ave-long-beach-ca-unit-634/7qrbv1z/,600,600 Sq Ft,CA,Condos,90807
"$2,700",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,700'}]",Santa Monica,"2519 4th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2519-4th-st-santa-monica-ca-unit-11/lnvqcnf/,540,540 Sq Ft,CA,Condos,90405
,"$4,500",,May 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",San Francisco,"San Francisco, CA 94131",12 Month Lease,https://www.apartments.com/5150-diamond-heights-blvd-san-francisco-ca-unit-208b/5smdydq/,"1,775","1,775 Sq Ft",CA,Condos,94131
,"$1,850",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]",San Diego,"San Diego, CA 92105",6 Month Lease,https://www.apartments.com/4168-44th-st-san-diego-ca-unit-6/xxhqy8q/,912,912 Sq Ft,CA,Condos,92105
