1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$1,100",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,100'}]",27535 Lakeview Dr,"Helendale, CA 92342",,https://www.apartments.com/27535-lakeview-dr-helendale-ca-unit-16/perfv7v/,,,Helendale,,Condos,CA
,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",1201 Glen Cove Pkwy,"Vallejo, CA 94591",12 Month Lease,https://www.apartments.com/1201-glen-cove-pkwy-vallejo-ca-unit-1705/kssh6p9/,"1,014","1,014 Sq Ft",Vallejo,,Condos,CA
,,"$6,200",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,200'}]",2865 Park Blvd,"Palo Alto, CA 94306",,https://www.apartments.com/2865-park-blvd-palo-alto-ca/8ejr5g1/,"1,475","1,475 Sq Ft",Palo Alto,,Condos,CA
,"$2,900",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",2586 Oak Rd,"Walnut Creek, CA 94597",,https://www.apartments.com/2586-oak-rd-walnut-creek-ca-unit-128/sz86f47/,"1,168","1,168 Sq Ft",Walnut Creek,,Condos,CA
,"$3,275",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,275'}]",223 Avenida Lobeiro,"San Clemente, CA 92672",,https://www.apartments.com/223-avenida-lobeiro-san-clemente-ca-unit-b/111wpj5/,"1,200","1,200 Sq Ft",San Clemente,,Condos,CA
,"$2,200",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",1023 S Citron St,"Anaheim, CA 92805",,https://www.apartments.com/1023-s-citron-st-anaheim-ca-unit-21/9we0bc7/,962,962 Sq Ft,Anaheim,,Condos,CA
"$2,995",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}]",200 CA-1,"El Segundo, CA 90245",,https://www.apartments.com/200-ca-1-el-segundo-ca-unit-250/n8lt5rm/,906,906 Sq Ft,El Segundo,,Condos,CA
,,"$2,000",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]",14385 Nautical Ln,"Helendale, CA 92342",,https://www.apartments.com/14385-nautical-ln-helendale-ca-unit-15/p7mtb0v/,,,Helendale,,Condos,CA
,,$810,,Available Now,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$810'}]",Ridgecrest,"Ridgecrest, CA 93555",12 Month Lease,https://www.apartments.com/401-oasis-dr-ridgecrest-ca-unit-3/syql305/,975,975 Sq Ft,CA,,Condos,93555
,,,"$1,045",Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$1,045'}]",Ridgecrest,"Ridgecrest, CA 93555",12 Month Lease,https://www.apartments.com/401-oasis-dr-ridgecrest-ca-unit-4/w18ddej/,"1,075","1,075 Sq Ft",CA,,Condos,93555
$710,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$710'}]",Ridgecrest,"Ridgecrest, CA 93555",12 Month Lease,https://www.apartments.com/401-oasis-dr-ridgecrest-ca-unit-2/z5vnhbw/,850,850 Sq Ft,CA,,Condos,93555
,$710,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$710'}]",Ridgecrest,"Ridgecrest, CA 93555",12 Month Lease,https://www.apartments.com/401-oasis-dr-ridgecrest-ca-unit-1/75reh0w/,850,850 Sq Ft,CA,,Condos,93555
,"$2,750",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]",San Diego,"3857 Pell Pl, San Diego, CA 92130",12 Month Lease,https://www.apartments.com/3857-pell-pl-san-diego-ca-unit-101/c2wzwyg/,"1,246","1,246 Sq Ft",CA,,Condos,92130
,"$1,750",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]",La Quinta,"45245 Seeley Dr, La Quinta, CA 92253",6 Month Lease,https://www.apartments.com/45245-seeley-dr-la-quinta-ca-unit-15d/1d5kfd7/,"1,250","1,250 Sq Ft",CA,,Condos,92253
