1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$2,900",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",Los Angeles,"Los Angeles, CA 91306",12 Month Lease,https://www.apartments.com/20026-kittridge-st-los-angeles-ca/kcjywq8/,"1,069","1,069 Sq Ft",CA,Houses,91306
,,"$3,200",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",San Diego,"3341 Baltimore St, San Diego, CA 92117",12 Month Lease,https://www.apartments.com/3341-baltimore-st-san-diego-ca/qttmnpz/,"1,700","1,700 Sq Ft",CA,Houses,92117
"$3,600",,,,,Apr 19,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,600'}]",Santa Monica,"246 Ashland Ave, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/246-ashland-ave-santa-monica-ca/l3s4mee/,700,700 Sq Ft,CA,Houses,90405
,,"$4,295",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,295'}]",Los Angeles,"Los Angeles, CA 91364",12 Month Lease,https://www.apartments.com/21701-costanso-st-los-angeles-ca/vkrs5ed/,"1,620","1,620 Sq Ft",CA,Houses,91364
,,"$2,100",,,Jun 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,100'}]",San Bernardino,"San Bernardino, CA 92404",12 Month Lease,https://www.apartments.com/25831-28th-st-e-san-bernardino-ca/898n2d1/,"1,550","1,550 Sq Ft",CA,Houses,92404
,,,"$3,500",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]",Santa Clarita,"Santa Clarita, CA 91355",,https://www.apartments.com/27055-victoria-ln-santa-clarita-ca/m1mwd0j/,"2,161","2,161 Sq Ft",CA,Houses,91355
,,"$3,003",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,003'}]",Los Angeles,"6724 Aqueduct Ave, Los Angeles, CA 91406",,https://www.apartments.com/6724-aqueduct-ave-los-angeles-ca/13l8cj4/,"1,716","1,716 Sq Ft",CA,Houses,91406
"$2,950",,,,,Apr 7,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}]",Los Angeles,"2120 N Beverly Glen Blvd, Los Angeles, CA 90077",12 Month Lease,https://www.apartments.com/2120-n-beverly-glen-blvd-los-angeles-ca/cf1j5ne/,950,950 Sq Ft,CA,Houses,90077
,"$3,900",,,,Apr 16,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",Los Angeles,"4917 Sancola Ave, Los Angeles, CA 91601",,https://www.apartments.com/4917-sancola-ave-los-angeles-ca/0hwwyy1/,"1,280","1,280 Sq Ft",CA,Houses,91601
,,"$3,000",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",Los Angeles,"1610 2nd Ave, Los Angeles, CA 90019",,https://www.apartments.com/1610-2nd-ave-los-angeles-ca/qebkzly/,"1,500","1,500 Sq Ft",CA,Houses,90019
,,,"$3,950",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,950'}]",Los Angeles,"809 Warren Ave, Los Angeles, CA 90291",1 Month Lease,https://www.apartments.com/809-warren-ave-los-angeles-ca/hbehr01/,"1,900","1,900 Sq Ft",CA,Houses,90291
,,"$3,800",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",Los Angeles,"Los Angeles, CA 91335",,https://www.apartments.com/8153-tunney-ave-los-angeles-ca/rf6f180/,"1,296","1,296 Sq Ft",CA,Houses,91335
,,,"$5,400",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,400'}]",Huntington Beach,"Huntington Beach, CA 92648",12 Month Lease,https://www.apartments.com/614-20th-st-huntington-beach-ca/t0wqs9c/,"2,400","2,400 Sq Ft",CA,Houses,92648
,,,"$17,500",,Available Now,4½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$17,500'}]",Manhattan Beach,"221 30th St, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/221-30th-st-manhattan-beach-ca/82mgby2/,"4,554","4,554 Sq Ft",CA,Houses,90266
,,"$7,199",,,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,199'}]",West Hollywood,"West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/1336-n-fairfax-ave-west-hollywood-ca/bkjs3gb/,"2,450","2,450 Sq Ft",CA,Houses,90046
,,"$6,650",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,650'}]",Los Angeles,"602 Victoria Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/602-victoria-ave-los-angeles-ca/vce0hhg/,"1,778","1,778 Sq Ft",CA,Houses,90291
"$1,490",,,,,Apr 4,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,490'}]",Los Angeles,"10941 Charnock Rd, Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/10941-charnock-rd-los-angeles-ca/mjsq4vl/,270,270 Sq Ft,CA,Houses,90034
,,,"$5,850",,May 1,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,850'}]",Topanga,"20948 Waveview Dr, Topanga, CA 90290",,https://www.apartments.com/20948-waveview-dr-topanga-ca/wl3syfj/,"2,000","2,000 Sq Ft",CA,Houses,90290
,,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Inglewood,"633 W Hillsdale St, Inglewood, CA 90302",12 Month Lease,https://www.apartments.com/633-w-hillsdale-st-inglewood-ca/c6tvs3d/,"1,100","1,100 Sq Ft",CA,Houses,90302
