1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,,"$4,700",Available Now,3½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,700'}]",Monterey,"Monterey, CA 93940",12 Month Lease,https://www.apartments.com/23-cramden-dr-monterey-ca/ms0phlk/,"3,300","3,300 Sq Ft",CA,Houses,93940
,,"$2,650",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,650'}]",San Gabriel,"330 W Marshall St, San Gabriel, CA 91776",,https://www.apartments.com/330-w-marshall-st-san-gabriel-ca/0gvntn0/,"1,291","1,291 Sq Ft",CA,Houses,91776
,,,"$2,250",Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,250'}]",Palmdale,"Palmdale, CA 93550",12 Month Lease,https://www.apartments.com/2019-sweetbrier-st-palmdale-ca/tln752c/,"1,400","1,400 Sq Ft",CA,Houses,93550
,,"$8,900",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,900'}]",Manhattan Beach,"216 29th Pl, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/216-29th-pl-manhattan-beach-ca/176nhq6/,"2,300","2,300 Sq Ft",CA,Houses,90266
,,"$2,750",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]",Rohnert Park,"Rohnert Park, CA 94928",12 Month Lease,https://www.apartments.com/974-hawthorne-cir-rohnert-park-ca/455fw9h/,"1,800","1,800 Sq Ft",CA,Houses,94928
"$1,250",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}]",Hawthorne,"4249 W 136th St, Hawthorne, CA 90250",12 Month Lease,https://www.apartments.com/4249-w-136th-st-hawthorne-ca/5xbkf4q/,230,230 Sq Ft,CA,Houses,90250
,,"$6,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]",Saratoga,"Saratoga, CA 95070",12 Month Lease,https://www.apartments.com/18394-montpere-way-saratoga-ca/xwzge3n/,"1,700","1,700 Sq Ft",CA,Houses,95070
,"$2,250",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",Long Beach,"Long Beach, CA 90805",,https://www.apartments.com/6240-myrtle-ave-long-beach-ca/e7s5ypm/,861,861 Sq Ft,CA,Houses,90805
,,"$3,695",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,695'}]",Glendale,"Glendale, CA 91203",12 Month Lease,https://www.apartments.com/623-salem-st-glendale-ca/yv06zpv/,"1,600","1,600 Sq Ft",CA,Houses,91203
,"$6,200",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$6,200'}]",Los Angeles,"17065 Bollinger Dr, Los Angeles, CA 90272",12 Month Lease,https://www.apartments.com/17065-bollinger-dr-los-angeles-ca/lv0dr1g/,"1,286","1,286 Sq Ft",CA,Houses,90272
"$1,499",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,499'}]",Chino,"Chino, CA 91710",12 Month Lease,https://www.apartments.com/5116-washington-ave-chino-ca/4rszy3l/,638,638 Sq Ft,CA,Houses,91710
