1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$1,700",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",44527 Date Ave,"Lancaster, CA 93534",,https://www.apartments.com/44527-date-ave-lancaster-ca/fn4vysr/,"1,641","1,641 Sq Ft",Lancaster,,Townhomes,CA
,,,"$5,000",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,000'}]",111 Canyoncrest,"Irvine, CA 92603",,https://www.apartments.com/111-canyoncrest-irvine-ca/kfxrltb/,"1,570","1,570 Sq Ft",Irvine,,Townhomes,CA
,,"$3,600",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]",209 Magnet,"Irvine, CA 92618",,https://www.apartments.com/209-magnet-irvine-ca/hbv1td2/,"1,760","1,760 Sq Ft",Irvine,,Townhomes,CA
,,"$2,900",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",4976 Heritage Dr,"Yorba Linda, CA 92886",,https://www.apartments.com/4976-heritage-dr-yorba-linda-ca/twfgq28/,"1,625","1,625 Sq Ft",Yorba Linda,,Townhomes,CA
,"$2,350",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]",318 Chinook Dr,"Placentia, CA 92870",,https://www.apartments.com/318-chinook-dr-placentia-ca/k4pveq9/,"1,325","1,325 Sq Ft",Placentia,,Townhomes,CA
,,,"$3,145",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,145'}]",2467 Sanabria Ln,"Brea, CA 92821",,https://www.apartments.com/2467-sanabria-ln-brea-ca/y9y6cct/,"1,867","1,867 Sq Ft",Brea,,Townhomes,CA
,,,"$2,200",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,200'}]",783 Via Sierra Nevada,"Riverside, CA 92507",,https://www.apartments.com/783-via-sierra-nevada-riverside-ca/ztf25jw/,"1,762","1,762 Sq Ft",Riverside,,Townhomes,CA
,,"$3,495",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,495'}]",28206 Ridgepoint Ct,"Rancho Palos Verdes, CA 90275",,https://www.apartments.com/28206-ridgepoint-ct-rancho-palos-verdes-ca/5rqdt5p/,"1,940","1,940 Sq Ft",Rancho Palos Verdes,,Townhomes,CA
,"$1,399",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,399'}]",1157 W Hill Dr,"Arrowhead Farms, CA 92407",,https://www.apartments.com/1157-w-hill-dr-arrowhead-farms-ca/k8wr46c/,"3,131","3,131 Sq Ft",Arrowhead Farms,,Townhomes,CA
,,"$2,895",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,895'}]",27803 Crown Ct Cir,"Santa Clarita, CA 91354",,https://www.apartments.com/27803-crown-ct-cir-santa-clarita-ca/w0j9erk/,"1,260","1,260 Sq Ft",Santa Clarita,,Townhomes,CA
,,"$2,500",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]",318 N Fenimore Ave,"Azusa, CA 91702",,https://www.apartments.com/318-n-fenimore-ave-azusa-ca/z3jm7by/,"1,513","1,513 Sq Ft",Azusa,,Townhomes,CA
,"$2,500",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",323 Mission Rd,"Montebello, CA 90640",,https://www.apartments.com/323-mission-rd-montebello-ca/evs5zkm/,"1,360","1,360 Sq Ft",Montebello,,Townhomes,CA
,"$1,950",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]",1125 Golden Springs Dr,"Pomona, CA 91765",,https://www.apartments.com/1125-golden-springs-dr-pomona-ca/ccbr2le/,"1,014","1,014 Sq Ft",Pomona,,Townhomes,CA
,"$3,100",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",705 Orchid Ave,"Newport Beach, CA 92625",,https://www.apartments.com/705-orchid-ave-newport-beach-ca/nchyqep/,900,900 Sq Ft,Newport Beach,,Townhomes,CA
,,,"$3,650",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,650'}]",28194 Ridgecove Ct S,"Rancho Palos Verdes, CA 90275",,https://www.apartments.com/28194-ridgecove-ct-s-rancho-palos-verdes-ca/pxjwhjv/,"1,476","1,476 Sq Ft",Rancho Palos Verdes,,Townhomes,CA
,"$4,295",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,295'}]",4 Anjou,"Newport Beach, CA 92657",,https://www.apartments.com/4-anjou-newport-beach-ca/jdygw85/,"1,335","1,335 Sq Ft",Newport Beach,,Townhomes,CA
