1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$2,300",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]",3258 Hilltop Dr,"Chino Hills, CA 91709",,https://www.apartments.com/3258-hilltop-dr-chino-hills-ca/85t2dm2/,"1,411","1,411 Sq Ft",Chino Hills,Townhomes,CA
,"$6,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,000'}]",33963 Cape Cove,"Dana Point, CA 92629",,https://www.apartments.com/33963-cape-cove-dana-point-ca/tp8088b/,"1,350","1,350 Sq Ft",Dana Point,Townhomes,CA
,,"$3,000",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",1762 Coolidge Ln,"Placentia, CA 92870",,https://www.apartments.com/1762-coolidge-ln-placentia-ca/2m5g12b/,"1,726","1,726 Sq Ft",Placentia,Townhomes,CA
,"$4,695",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,695'}]",26 Vienna,"Newport Beach, CA 92660",,https://www.apartments.com/26-vienna-newport-beach-ca/jxdnep6/,"2,002","2,002 Sq Ft",Newport Beach,Townhomes,CA
"$1,395",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}]",11814 Newgate Ave,"Whittier, CA 90605",,https://www.apartments.com/11814-newgate-ave-whittier-ca/7j12xry/,335,335 Sq Ft,Whittier,Townhomes,CA
,"$1,700",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",7419 Saddle Rd,"Rancho Cucamonga, CA 91730",,https://www.apartments.com/7419-saddle-rd-rancho-cucamonga-ca/r69nbq1/,"1,008","1,008 Sq Ft",Rancho Cucamonga,Townhomes,CA
,"$1,450",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,450'}]",180 E 7th St,"Perris, CA 92570",,https://www.apartments.com/180-e-7th-st-perris-ca/3w6f4vd/,"1,364","1,364 Sq Ft",Perris,Townhomes,CA
,"$8,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$8,000'}]",35067 Beach Rd,"Dana Point, CA 92624",,https://www.apartments.com/35067-beach-rd-dana-point-ca/6y3cndv/,"1,500","1,500 Sq Ft",Dana Point,Townhomes,CA
"$9,875",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$9,875'}]",239 Fairview St,"Laguna Beach, CA 92651",,https://www.apartments.com/239-fairview-st-laguna-beach-ca/f78sghv/,"1,040","1,040 Sq Ft",Laguna Beach,Townhomes,CA
,"$3,200",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",167 Neptune,"Irvine, CA 92618",,https://www.apartments.com/167-neptune-irvine-ca/wyjnk5k/,"1,798","1,798 Sq Ft",Irvine,Townhomes,CA
,"$1,790",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,790'}]",663 N Towne Ave,"Pomona, CA 91767",,https://www.apartments.com/663-n-towne-ave-pomona-ca/tp6t29c/,900,900 Sq Ft,Pomona,Townhomes,CA
,"$2,000",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",2038 S Bon View Ave,"Ontario, CA 91761",,https://www.apartments.com/2038-s-bon-view-ave-ontario-ca/15spm16/,"1,364","1,364 Sq Ft",Ontario,Townhomes,CA
,,"$2,799",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,799'}]",511 N Walnut St,"La Habra, CA 90631",,https://www.apartments.com/511-n-walnut-st-la-habra-ca/wf4rzgl/,"1,375","1,375 Sq Ft",La Habra,Townhomes,CA
,,"$2,800",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]",5371 Victoria Pl,"Westminster, CA 92683",,https://www.apartments.com/5371-victoria-pl-westminster-ca/yzrmk7t/,"1,312","1,312 Sq Ft",Westminster,Townhomes,CA
,,"$2,950",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",1040 Auburn Way,"La Habra, CA 90631",,https://www.apartments.com/1040-auburn-way-la-habra-ca/86c5bv1/,"1,575","1,575 Sq Ft",La Habra,Townhomes,CA
,"$2,400",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",2212 Harriman Ln,"Redondo Beach, CA 90278",,https://www.apartments.com/2212-harriman-ln-redondo-beach-ca/8hgh1l2/,810,810 Sq Ft,Redondo Beach,Townhomes,CA
,"$2,450",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]",33771 Diana Dr,"Dana Point, CA 92629",,https://www.apartments.com/33771-diana-dr-dana-point-ca/5zek30q/,"1,100","1,100 Sq Ft",Dana Point,Townhomes,CA
,"$1,950",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]",740 S Azusa Ave,"Azusa, CA 91702",,https://www.apartments.com/740-s-azusa-ave-azusa-ca/rn8c3s1/,"1,197","1,197 Sq Ft",Azusa,Townhomes,CA
