1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,650",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]",Encinitas,"122 Cadmus St, Encinitas, CA 92024",12 Month Lease,https://www.apartments.com/122-cadmus-st-encinitas-ca/deem6bl/,970,970 Sq Ft,CA,Townhomes,92024
,"$3,800",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]",Los Angeles,"Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/402-n-venice-blvd-los-angeles-ca/ngh1bpm/,"1,800","1,800 Sq Ft",CA,Townhomes,90291
,"$5,199",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$5,199'}]",Malibu,"Malibu, CA 90265",,https://www.apartments.com/3952-las-flores-canyon-rd-malibu-ca/ec5zv0q/,"1,000","1,000 Sq Ft",CA,Townhomes,90265
,"$4,999",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,999'}]",Malibu,"Malibu, CA 90265",,https://www.apartments.com/3950-las-flores-canyon-rd-malibu-ca/w9th4ej/,990,990 Sq Ft,CA,Townhomes,90265
"$2,595",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,595'}]",Daly City,"Daly City, CA 94014",12 Month Lease,https://www.apartments.com/1007-brunswick-st-daly-city-ca/2p0nz8b/,750,750 Sq Ft,CA,Townhomes,94014
,"$1,400",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,400'}]",Galt,"Galt, CA 95632",,https://www.apartments.com/614-ron-way-galt-ca/szp6ts5/,"1,000","1,000 Sq Ft",CA,Townhomes,95632
,"$2,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Dublin,"Dublin, CA 94568",12 Month Lease,https://www.apartments.com/7714-chantilly-dr-dublin-ca/gnh131z/,960,960 Sq Ft,CA,Townhomes,94568
,"$2,300",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Altadena,"772 E Mariposa St, Altadena, CA 91001",6 Month Lease,https://www.apartments.com/772-e-mariposa-st-altadena-ca/10w9947/,"1,000","1,000 Sq Ft",CA,Townhomes,91001
,"$2,600",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",San Luis Obispo,"San Luis Obispo, CA 93401",12 Month Lease,https://www.apartments.com/761-lawrence-dr-san-luis-obispo-ca/t95jqp9/,"1,400","1,400 Sq Ft",CA,Townhomes,93401
,,"$3,295",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]",Hawthorne,"13800 Cordary Ave, Hawthorne, CA 90250",12 Month Lease,https://www.apartments.com/13800-cordary-ave-hawthorne-ca/w9g7fnk/,"2,200","2,200 Sq Ft",CA,Townhomes,90250
,,,"$4,200",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,200'}]",Los Angeles,"Los Angeles, CA 90037",12 Month Lease,https://www.apartments.com/4177-normandie-ave-los-angeles-ca/kxkg5cc/,"1,572","1,572 Sq Ft",CA,Townhomes,90037
"$2,850",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,850'}]",Los Angeles,"Los Angeles, CA 90026",,https://www.apartments.com/1236-sunset-blvd-los-angeles-ca/lhn4w4f/,425,425 Sq Ft,CA,Townhomes,90026
,,"$3,595",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,595'}]",Los Angeles,"Los Angeles, CA 90037",12 Month Lease,https://www.apartments.com/1227-browning-blvd-los-angeles-ca/pqw9syr/,"1,600","1,600 Sq Ft",CA,Townhomes,90037
,,"$5,600",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,600'}]",Culver City,"Culver City, CA 90230",12 Month Lease,https://www.apartments.com/5106-velvet-ln-culver-city-ca/1r3p745/,"1,750","1,750 Sq Ft",CA,Townhomes,90230
,,,"$4,000",Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,000'}]",El Segundo,"El Segundo, CA 90245",12 Month Lease,https://www.apartments.com/329-sierra-st-el-segundo-ca/7yfpk9x/,"1,750","1,750 Sq Ft",CA,Townhomes,90245
