1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$4,250",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,250'}]",Venice,"46 Thornton Ave, Venice, CA 90291",12 Month Lease,https://www.apartments.com/46-thornton-ave-venice-ca/qykbpbx/,"1,200","1,200 Sq Ft",CA,Townhomes,90291
,,"$4,750",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]",Los Angeles,"856 N Orange Dr, Los Angeles, CA 90038",1 Month Lease,https://www.apartments.com/856-n-orange-dr-los-angeles-ca/tpq7n6c/,"1,800","1,800 Sq Ft",CA,Townhomes,90038
,,"$2,600",,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",Gardena,"16118 S Ainsworth St, Gardena, CA 90247",1 Month Lease,https://www.apartments.com/16118-s-ainsworth-st-gardena-ca/fbx7ftt/,"1,100","1,100 Sq Ft",CA,Townhomes,90247
"$3,890",,,,Apr 15,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$3,890'}]",Santa Monica,"421 Ocean Park Blvd, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/421-ocean-park-blvd-santa-monica-ca/wnpl5yh/,825,825 Sq Ft,CA,Townhomes,90405
,"$2,900",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Studio City,"11610 Moorpark St, Studio City, CA 91602",12 Month Lease,https://www.apartments.com/11610-moorpark-st-studio-city-ca/s8h3n46/,"1,450","1,450 Sq Ft",CA,Townhomes,91602
,"$3,600",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",West Hollywood,"102 N Sweetzer Ave, West Hollywood, CA 90048",,https://www.apartments.com/102-n-sweetzer-ave-west-hollywood-ca/bmefkpc/,"1,500","1,500 Sq Ft",CA,Townhomes,90048
,,"$3,395",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,395'}]",Studio City,"4342 Gentry Ave, Studio City, CA 91604",12 Month Lease,https://www.apartments.com/4342-gentry-ave-studio-city-ca/sgws9d6/,"1,475","1,475 Sq Ft",CA,Townhomes,91604
,"$5,500",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",Los Angeles,"3638 Hughes Ave, Los Angeles, CA 90034",,https://www.apartments.com/3638-hughes-ave-los-angeles-ca/5etjcfq/,"1,500","1,500 Sq Ft",CA,Townhomes,90034
"$2,300",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,300'}]",Los Angeles,"448 Kelton Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/448-kelton-ave-los-angeles-ca/bv4d39c/,1,1 Sq Ft,CA,Townhomes,90024
,,"$5,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]",Los Angeles,"5009 Franklin Ave, Los Angeles, CA 90027",12 Month Lease,https://www.apartments.com/5009-franklin-ave-los-angeles-ca/jgmqw65/,"2,500","2,500 Sq Ft",CA,Townhomes,90027
,"$4,400",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,400'}]",Palm Springs,"1801 S La Paloma, Palm Springs, CA 92264",,https://www.apartments.com/1801-s-la-paloma-palm-springs-ca/vwyc5kd/,"1,700","1,700 Sq Ft",CA,Townhomes,92264
"$3,475",,,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$3,475'}]",Los Angeles,"3627 Dunn Dr, Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/3627-dunn-dr-los-angeles-ca/f4w4pwr/,"1,000","1,000 Sq Ft",CA,Townhomes,90034
,,,"$4,300",Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,300'}]",Redondo Beach,"315 Garnet St, Redondo Beach, CA 90277",,https://www.apartments.com/315-garnet-st-redondo-beach-ca/68d37hr/,"2,439","2,439 Sq Ft",CA,Townhomes,90277
,,"$6,800",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,800'}]",Beverly Hills,"Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/120-s-crescent-dr-beverly-hills-ca/ggfd2by/,"2,141","2,141 Sq Ft",CA,Townhomes,90212
