Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,BaldwinPark,"3703 Rhodes Ln #2, Baldwin Park, CA 91706",null,Multi Family,https://www.zillow.com/homedetails/3703-Rhodes-Ln-2-Baldwin-Park-CA-91706/2080326994_zpid/,Apartment for sale,null,null,No Data,"$599,000",null,"1,334",CA,3703 Rhodes Ln #2,1949,null,$449,91706
4,6,HiddenValleyLake,"19270 Mountain Mdw S, Hidden Valley Lake, CA 95467",$225/month,Multi Family,https://www.zillow.com/homedetails/19270-Mountain-Mdw-S-Hidden-Valley-Lake-CA-95467/19103090_zpid/,Apartment for sale,null,null,4 spaces,"$380,000","$1,800/mo","2,680",CA,19270 Mountain Mdw S,1985,"$369,918",$142,95467
5,7,LosAngeles,"3628 Lanfranco St, Los Angeles, CA 90063",null,Multi Family,https://www.zillow.com/homedetails/3628-Lanfranco-St-Los-Angeles-CA-90063/20651826_zpid/,Apartment for sale,null,null,6 spaces,"$870,000",null,"2,879",CA,3628 Lanfranco St,2019,null,$302,90063
9,10,RioVista,"600 S 2nd St, Rio Vista, CA 94571",null,Multi Family,https://www.zillow.com/homedetails/600-S-2nd-St-Rio-Vista-CA-94571/2081186118_zpid/,Apartment for sale,null,null,No Data,"$749,889",null,--,CA,600 S 2nd St,1924,null,No Data,94571
5,6,RowlandHeights,"1913 Nowell Ave, Rowland Heights, CA 91748",None,Multi Family,https://www.zillow.com/homedetails/1913-Nowell-Ave-Rowland-Heights-CA-91748/136461121_zpid/,Apartment for sale,null,null,2 spaces,"$889,000","$2,500/mo","2,186",CA,1913 Nowell Ave,1963,"$890,940",$407,91748
3,4,Fullerton,"3812 W Commonwealth Ave, Fullerton, CA 92833",null,Multi Family,https://www.zillow.com/homedetails/3812-W-Commonwealth-Ave-Fullerton-CA-92833/25118096_zpid/,Apartment for sale,null,null,5 spaces,"$850,000","$1,950/mo","2,000",CA,3812 W Commonwealth Ave,1963,"$854,930",$425,92833
3,4,ChulaVista,"2221 Capistrano Way UNIT 6, Chula Vista, CA 91915",$303/month,Multi Family,https://www.zillow.com/homedetails/2221-Capistrano-Way-UNIT-6-Chula-Vista-CA-91915/99548831_zpid/,For sale by owner,null,null,2 spaces,"$519,000","$3,000/mo","1,984",CA,2221 Capistrano Way UNIT 6,2010,"$529,691",$262,91915
--,3,Sacramento,"2388 Beaumont St, Sacramento, CA 95815",None,Multi Family,https://www.zillow.com/homedetails/2388-Beaumont-St-Sacramento-CA-95815/26089581_zpid/,Apartment for sale,null,null,2 spaces,"$299,000","$1,600/mo","1,100",CA,2388 Beaumont St,1992,"$307,550",$272,95815
--,Studio,Miranda,"6582 Ca-254 None, Miranda, CA 95553",null,Multi Family,https://www.zillow.com/homedetails/6582-Ca-254-None-Miranda-CA-95553/2080816663_zpid/,Apartment for sale,null,null,No Data,"$1,200,000",null,"8,671",CA,6582 Ca-254 None,1945,null,$138,95553
--,4,Merced,"436 W 26th St, Merced, CA 95340",None,Multi Family,https://www.zillow.com/homedetails/436-W-26th-St-Merced-CA-95340/299947026_zpid/,Apartment for sale,null,null,No Data,"$307,000","$1,075/mo",857,CA,436 W 26th St,1920,"$300,787",$358,95340
2,5,LosAngeles,"1101 W 87th St, Los Angeles, CA 90044",null,Multi Family,https://www.zillow.com/homedetails/1101-W-87th-St-Los-Angeles-CA-90044/20955829_zpid/,Apartment for sale,null,null,5 spaces,"$595,000","$2,800/mo","1,687",CA,1101 W 87th St,1915,"$601,044",$353,90044
3,3,Cottonwood,"15970 Canter Ln, Cottonwood, CA 96022",null,Multi Family,https://www.zillow.com/homedetails/15970-Canter-Ln-Cottonwood-CA-96022/52929187_zpid/,For sale by owner,null,null,Detached Garage,"$275,000","$1,400/mo","1,440",CA,15970 Canter Ln,1983,"$231,434",$191,96022
4,6,LosAngeles,"732 W 41st Dr, Los Angeles, CA 90037",null,Multi Family,https://www.zillow.com/homedetails/732-W-41st-Dr-Los-Angeles-CA-90037/20572386_zpid/,Apartment for sale,null,null,2 spaces,"$649,000","$2,025/mo","2,760",CA,732 W 41st Dr,1945,"$651,227",$235,90037
2,2,SanPedro,"602 And 604 32nd St, San Pedro, CA 90731",null,Multi Family,https://www.zillow.com/homedetails/602-And-604-32nd-St-San-Pedro-CA-90731/2080759361_zpid/,Apartment for sale,null,null,2 spaces,"$605,000",null,"1,923",CA,602 And 604 32nd St,No Data,null,$315,90731
2,2,BigBearLake,"40110 Mahanoy Ln, Big Bear Lake, CA 92315",null,Multi Family,https://www.zillow.com/homedetails/40110-Mahanoy-Ln-Big-Bear-Lake-CA-92315/17384446_zpid/,Apartment for sale,null,null,6 spaces,"$265,000","$1,000/mo",848,CA,40110 Mahanoy Ln,1941,"$260,214",$312,92315
2,2,Antioch,"504 E St, Antioch, CA 94509",null,Multi Family,https://www.zillow.com/homedetails/504-E-St-Antioch-CA-94509/18306207_zpid/,Apartment for sale,null,null,No Data,"$395,000","$2,475/mo","1,608",CA,504 E St,1938,"$395,741",$246,94509
2,4,SanDiego,"4085 32nd St, San Diego, CA 92104",null,Multi Family,https://www.zillow.com/homedetails/4085-32nd-St-San-Diego-CA-92104/295336517_zpid/,Apartment for sale,null,null,2 spaces,"$999,000","$2,750/mo","1,694",CA,4085 32nd St,1915,"$1,044,725",$590,92104
3,4,HuntingtonBeach,"6472 Saint Paul Cir, Huntington Beach, CA 92647",None,Multi Family,https://www.zillow.com/homedetails/6472-Saint-Paul-Cir-Huntington-Beach-CA-92647/25291831_zpid/,Apartment for sale,null,null,3 spaces,"$1,000,000","$2,245/mo","2,118",CA,6472 Saint Paul Cir,1967,"$1,000,004",$472,92647
3,4,Riverside,"4829 Hedrick Ave, Riverside, CA 92505",None,Multi Family,https://www.zillow.com/homedetails/4829-Hedrick-Ave-Riverside-CA-92505/2080747782_zpid/,Apartment for sale,null,null,No Data,"$469,000",null,"2,089",CA,4829 Hedrick Ave,1953,null,$225,92505
6,7,LomaLinda,"10629 Lind Ave, Loma Linda, CA",null,Multi Family,https://www.zillow.com/homedetails/10629-Lind-Ave-Loma-Linda-CA-92354/2080440165_zpid/,New construction,null,null,3 spaces,"$749,000",null,"2,873",CA,10629 Lind Ave,2020,null,$261,null
3,3,SignalHill,"1427 E 33rd St, Signal Hill, CA 90755",None,Multi Family,https://www.zillow.com/homedetails/1427-E-33rd-St-Signal-Hill-CA-90755/21165044_zpid/,Apartment for sale,null,null,2 spaces,"$789,900","$2,400/mo","1,068",CA,1427 E 33rd St,1929,"$800,339",$740,90755
7,9,Barstow,"1130 Deseret Ave #A-D, Barstow, CA 92311",None,Multi Family,https://www.zillow.com/homedetails/1130-Deseret-Ave-A-D-Barstow-CA-92311/2096176560_zpid/,Apartment for sale,null,null,4 spaces,"$349,900","$1,400/mo","4,057",CA,1130 Deseret Ave #A-D,1982,"$372,615",$86,92311
3,4,Lawndale,"4416 W 153rd St, Lawndale, CA 90260",null,Multi Family,https://www.zillow.com/homedetails/4416-W-153rd-St-Lawndale-CA-90260/20366949_zpid/,Apartment for sale,null,null,6 spaces,"$825,000","$3,000/mo","1,678",CA,4416 W 153rd St,1942,"$825,003",$492,90260
3,4,Highland,"26850 Hillview St, Highland, CA 92346",null,Multi Family,https://www.zillow.com/homedetails/26850-Hillview-St-Highland-CA-92346/59202722_zpid/,Apartment for sale,null,null,No Data,"$550,000","$1,200/mo","2,560",CA,26850 Hillview St,1960,"$549,874",$215,92346
2,4,Avalon,"117 Clarissa Ave, Avalon, CA 90704",None,Multi Family,https://www.zillow.com/homedetails/117-Clarissa-Ave-Avalon-CA-90704/2093435994_zpid/,Apartment for sale,null,null,4 spaces,"$2,990,000",null,"5,505",CA,117 Clarissa Ave,2006,null,$543,90704
3,3,CerroatRanchoSoleo,"Residence 2 Plan, Cerro at Rancho Soleo",null,Multi Family,https://www.zillow.com/community/cerro-at-rancho-soleo/2080511487_zpid/,New construction,null,null,2 spaces,"$422,500+",null,"1,523",null,Residence 2 Plan,2020,null,$277,null
--,Studio,Redding,"2176 Placer St, Redding, CA 96001",null,Multi Family,https://www.zillow.com/homedetails/2176-Placer-St-Redding-CA-96001/2106528131_zpid/,Apartment for sale,null,null,Carport,"$369,000",$995/mo,"1,100",CA,2176 Placer St,1936,"$358,578",$335,96001
3,6,Fresno,"2680 S Cedar Ave, Fresno, CA 93725",null,Multi Family,https://www.zillow.com/homedetails/2680-S-Cedar-Ave-Fresno-CA-93725/18773832_zpid/,Apartment for sale,null,null,No Data,"$199,999","$1,175/mo","2,456",CA,2680 S Cedar Ave,1930,"$199,999",$81,93725
3,5,Parlier,"620 Tuolumne St, Parlier, CA 93648",null,Multi Family,https://www.zillow.com/homedetails/620-Tuolumne-St-Parlier-CA-93648/18670778_zpid/,For sale by owner,null,null,5 spaces,"$200,000","$1,250/mo","3,200",CA,620 Tuolumne St,1930,"$362,530",$62,93648
--,Studio,Oroville,"3213 Claremont Dr, Oroville, CA 95966",None,Multi Family,https://www.zillow.com/homedetails/3213-Claremont-Dr-Oroville-CA-95966/18236185_zpid/,Apartment for sale,null,null,1 space,"$190,000","$1,200/mo","1,260",CA,3213 Claremont Dr,1977,"$189,366",$151,95966
4,8,Goleta,"6680 Sabado Tarde Rd, Goleta, CA 93117",null,Multi Family,https://www.zillow.com/homedetails/6680-Sabado-Tarde-Rd-Goleta-CA-93117/300245602_zpid/,Apartment for sale,null,null,4 spaces,"$2,500,000","$2,950/mo","3,300",CA,6680 Sabado Tarde Rd,1959,"$2,434,243",$758,93117
4,8,Fresno,"3319 E Fairmont Ave, Fresno, CA 93726",null,Multi Family,https://www.zillow.com/homedetails/3319-E-Fairmont-Ave-Fresno-CA-93726/82859753_zpid/,Apartment for sale,null,null,Carport,"$500,000",$980/mo,"3,240",CA,3319 E Fairmont Ave,1966,"$500,011",$154,93726
4,5,CameronPark,"3248 Sudbury Rd, Cameron Park, CA 95682",null,Multi Family,https://www.zillow.com/homedetails/3248-Sudbury-Rd-Cameron-Park-CA-95682/18603931_zpid/,For sale by owner,null,null,2 spaces,"$615,000","$2,775/mo","3,300",CA,3248 Sudbury Rd,2003,"$678,511",$186,95682
--,4,Porterville,"321 S Conner St, Porterville, CA 93257",null,Multi Family,https://www.zillow.com/homedetails/321-S-Conner-St-Porterville-CA-93257/2081127388_zpid/,Apartment for sale,null,null,No Data,"$241,000",null,870,CA,321 S Conner St,1945,null,$277,93257
3,4,SpringValley,"9072 Harness St, Spring Valley, CA 91977",null,Multi Family,https://www.zillow.com/homedetails/9072-Harness-St-Spring-Valley-CA-91977/17115980_zpid/,Apartment for sale,null,null,2 spaces,"$595,000","$2,800/mo","1,715",CA,9072 Harness St,1990,"$595,655",$347,91977
3,4,Encinitas,"209 S El Portal St, Encinitas, CA 92024",$625/month,Multi Family,https://www.zillow.com/homedetails/209-S-El-Portal-St-Encinitas-CA-92024/16713799_zpid/,Apartment for sale,null,null,No Data,"$1,999,999","$4,495/mo","1,673",CA,209 S El Portal St,1957,"$1,957,444","$1,195",92024
--,Studio,Lodi,"329 E Hilborn St, Lodi, CA 95240",null,Multi Family,https://www.zillow.com/homedetails/329-E-Hilborn-St-Lodi-CA-95240/2080293522_zpid/,Apartment for sale,null,null,No Data,"$259,000",null,--,CA,329 E Hilborn St,1919,null,No Data,95240
11,11,Fresno,"1411 N Palm Ave, Fresno, CA 93728",null,Multi Family,https://www.zillow.com/homedetails/1411-N-Palm-Ave-Fresno-CA-93728/2080434630_zpid/,Apartment for sale,null,null,Carport,"$799,000",null,"4,906",CA,1411 N Palm Ave,1962,null,$163,93728
3,6,LongBeach,"232 Quincy Ave, Long Beach, CA 90803",null,Multi Family,https://www.zillow.com/homedetails/232-Quincy-Ave-Long-Beach-CA-90803/21220791_zpid/,Apartment for sale,null,null,No Data,"$1,649,000","$2,500/mo","3,906",CA,232 Quincy Ave,1925,"$1,649,010",$422,90803
5,6,LosAngeles,"3116 Johnston St, Los Angeles, CA 90031",null,Multi Family,https://www.zillow.com/homedetails/3116-Johnston-St-Los-Angeles-CA-90031/20636892_zpid/,Apartment for sale,null,null,2 spaces,"$1,400,000","$2,500/mo","3,000",CA,3116 Johnston St,1965,"$1,403,112",$467,90031
5,10,WoodlandHills,"22931 Burbank Blvd, Woodland Hills, CA 91367",None,Multi Family,https://www.zillow.com/homedetails/22931-Burbank-Blvd-Woodland-Hills-CA-91367/19878781_zpid/,Apartment for sale,null,null,Attached Garage,"$1,599,999","$3,695/mo","4,700",CA,22931 Burbank Blvd,1954,"$1,590,190",$340,91367
4,4,LosAngeles,"5268 Los Feliz Blvd, Los Angeles, CA 90027",$50/month,Multi Family,https://www.zillow.com/homedetails/5268-Los-Feliz-Blvd-Los-Angeles-CA-90027/20809614_zpid/,Apartment for sale,null,null,4 spaces,"$2,395,000","$2,689/mo","2,782",CA,5268 Los Feliz Blvd,1927,"$2,402,083",$861,90027
4,7,MidwayCity,"14931 Harper St, Midway City, CA 92655",None,Multi Family,https://www.zillow.com/homedetails/14931-Harper-St-Midway-City-CA-92655/25182576_zpid/,Apartment for sale,null,null,1 space,"$1,400,000","$2,850/mo","3,980",CA,14931 Harper St,1965,"$1,383,835",$352,92655
3,3,Alhambra,"840 S Chapel Ave, Alhambra, CA 91801",None,Multi Family,https://www.zillow.com/homedetails/840-S-Chapel-Ave-Alhambra-CA-91801/20710430_zpid/,Apartment for sale,null,null,6 spaces,"$1,188,000","$2,350/mo","2,066",CA,840 S Chapel Ave,1925,"$1,239,438",$575,91801
2,6,SanFrancisco,"19 Bernard St #21, San Francisco, CA 94133",null,Multi Family,https://www.zillow.com/homedetails/19-Bernard-St-21-San-Francisco-CA-94133/2080906536_zpid/,Apartment for sale,null,null,1 space,"$1,888,000",null,"2,400",CA,19 Bernard St #21,1900,null,$787,94133
4,6,CathedralCity,"33722 Pueblo Trl, Cathedral City, CA 92234",null,Multi Family,https://www.zillow.com/homedetails/33722-Pueblo-Trl-Cathedral-City-CA-92234/2080406229_zpid/,Apartment for sale,null,null,3 spaces,"$409,000",null,"2,162",CA,33722 Pueblo Trl,1986,null,$189,92234
4,8,Goleta,"6680 Sabado Tarde Rd, Goleta, CA 93117",null,Multi Family,https://www.zillow.com/homedetails/6680-Sabado-Tarde-Rd-Goleta-CA-93117/300245602_zpid/,Apartment for sale,null,null,4 spaces,"$2,500,000","$2,950/mo","3,300",CA,6680 Sabado Tarde Rd,1959,"$2,434,243",$758,93117
2,4,Oroville,"1901 & 1925 Washington Ave, Oroville, CA 95966",None,Multi Family,https://www.zillow.com/homedetails/1901-1925-Washington-Ave-Oroville-CA-95966/2081101810_zpid/,Apartment for sale,null,null,2 spaces,"$189,500",null,"1,350",CA,1901 & 1925 Washington Ave,1948,null,$140,95966
7,9,Barstow,"1130 Deseret Ave #A-D, Barstow, CA 92311",None,Multi Family,https://www.zillow.com/homedetails/1130-Deseret-Ave-A-D-Barstow-CA-92311/2096176560_zpid/,Apartment for sale,null,null,4 spaces,"$349,900","$1,400/mo","4,057",CA,1130 Deseret Ave #A-D,1982,"$372,615",$86,92311
--,Studio,Sunnyvale,"1557 S Wolfe Rd, Sunnyvale, CA 94087",null,Multi Family,https://www.zillow.com/homedetails/1557-S-Wolfe-Rd-Sunnyvale-CA-94087/19614836_zpid/,Apartment for sale,null,null,2 spaces,"$1,688,888","$3,330/mo","1,838",CA,1557 S Wolfe Rd,1962,"$1,850,432",$919,94087
