Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,Oroville,"13 Vaquero Dr, Oroville, CA 95965",None,Single Family,https://www.zillow.com/homedetails/13-Vaquero-Dr-Oroville-CA-95965/83147961_zpid/,House for sale,"6,534 sqft",6534.0,3 spaces,"$310,000","$1,550/mo","1,373",CA,13 Vaquero Dr,2003,"$294,703",$226,95965
3,4,Manteca,"2463 Capri Ct, Manteca, CA 95337",None,Single Family,https://www.zillow.com/homedetails/2463-Capri-Ct-Manteca-CA-95337/54636268_zpid/,House for sale,"6,947 sqft",6947.0,3 spaces,"$479,995","$2,400/mo","2,260",CA,2463 Capri Ct,2002,"$480,015",$212,95337
3,5,Menifee,"29049 Hidden Meadow Dr, Menifee, CA 92584",$179/month,Single Family,https://www.zillow.com/homedetails/29049-Hidden-Meadow-Dr-Menifee-CA-92584/95973744_zpid/,House for sale,"7,840 sqft",7840.0,2 spaces,"$405,000","$2,300/mo","2,222",CA,29049 Hidden Meadow Dr,2013,"$405,000",$182,92584
3,3,Camarillo,"388 Village Commons Blvd, Camarillo, CA 93012",$116/month,Single Family,https://www.zillow.com/homedetails/388-Village-Commons-Blvd-Camarillo-CA-93012/69044894_zpid/,House for sale,"4,016 sqft",4016.0,2 spaces,"$650,000","$3,100/mo","1,814",CA,388 Village Commons Blvd,2005,"$650,000",$358,93012
2,4,YubaCity,"614 Shanghai Bend Rd, Yuba City, CA 95991",null,Single Family,https://www.zillow.com/homedetails/614-Shanghai-Bend-Rd-Yuba-City-CA-95991/69305184_zpid/,House for sale,"7,405 sqft",7405.0,3 spaces,"$334,900","$1,950/mo","1,876",CA,614 Shanghai Bend Rd,2005,"$333,739",$179,95991
3,3,Murrieta,"24452 Tuscola Cir, Murrieta, CA 92562",None,Single Family,https://www.zillow.com/homedetails/24452-Tuscola-Cir-Murrieta-CA-92562/18179476_zpid/,House for sale,"5,662 sqft",5662.0,2 spaces,"$339,900","$2,200/mo","1,579",CA,24452 Tuscola Cir,1988,"$339,900",$215,92562
2,4,Menifee,"28287 Evening Star Dr, Menifee, CA 92585",None,Single Family,https://www.zillow.com/homedetails/28287-Evening-Star-Dr-Menifee-CA-92585/63263708_zpid/,House for sale,"8,276 sqft",8276.0,3 spaces,"$392,500","$2,200/mo","2,079",CA,28287 Evening Star Dr,2003,"$392,500",$189,92585
3,3,Valencia,"27157 Manor Cir #60, Valencia, CA 91354",$112/month,Single Family,https://www.zillow.com/homedetails/27157-Manor-Cir-60-Valencia-CA-91354/2080279668_zpid/,House for sale,"5,061 sqft",5061.0,2 spaces,"$545,000",null,"1,416",CA,27157 Manor Cir #60,1997,null,$385,91354
1,3,Stockton,"2425 E 9th St, Stockton, CA 95205",null,Single Family,https://www.zillow.com/homedetails/2425-E-9th-St-Stockton-CA-95205/15341343_zpid/,Foreclosure,"7,499 sqft",7499.0,2 spaces,"$40,000",null,"1,032",CA,2425 E 9th St,1957,null,$39,95205
4,5,Perris,"20834 Markham St, Perris, CA 92570",None,Single Family,https://www.zillow.com/homedetails/20834-Markham-St-Perris-CA-92570/17906380_zpid/,House for sale,0.9 acres,39204.0,1 space,"$595,000","$2,100/mo","1,484",CA,20834 Markham St,2001,"$592,250",$401,92570
