Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,5,HydeParkatBoulevard,"Residence 3 Plan, Hyde Park at Boulevard",null,Townhouse,https://www.zillow.com/community/hyde-park-at-boulevard/2080768388_zpid/,New construction,No Data,null,2 spaces,"$1,076,600+",null,"2,904",null,Residence 3 Plan,2020,null,$371,null
2,2,Danville,"394 Ilo Ln APT 401, Danville, CA 94526",$479/month,Townhouse,https://www.zillow.com/homedetails/394-Ilo-Ln-APT-401-Danville-CA-94526/18430167_zpid/,Townhouse for sale,875 sqft,875.0,1 space,"$485,000","$2,700/mo","1,012",CA,394 Ilo Ln APT 401,1964,"$495,865",$479,94526
3,3,LosAngeles,"18411 Hatteras St UNIT 129, Los Angeles, CA 91356",$485/month,Townhouse,https://www.zillow.com/homedetails/18411-Hatteras-St-UNIT-129-Los-Angeles-CA-91356/19934767_zpid/,Townhouse for sale,4 acres,174240.0,2 spaces,"$449,000","$2,600/mo","1,148",CA,18411 Hatteras St UNIT 129,1979,"$454,831",$391,91356
3,3,BoulevardHeights,"Plan 2 Plan, Boulevard Heights",null,Townhouse,https://www.zillow.com/community/boulevard-heights/2080450906_zpid/,New construction,No Data,null,2 spaces,"$926,990+",null,"1,573",null,Plan 2 Plan,2020,null,$589,null
3,3,Sunnyvale,"959 Glen Valley Ter, Sunnyvale, CA 94085",$385/month,Townhouse,https://www.zillow.com/homedetails/959-Glen-Valley-Ter-Sunnyvale-CA-94085/116156138_zpid/,Townhouse for sale,771 sqft,771.0,2 spaces,"$1,249,000","$4,000/mo","1,620",CA,959 Glen Valley Ter,2011,"$1,326,688",$771,94085
1,1,NovaatNovelPark,"Residence 1 WLH Plan, Nova at Novel Park",null,Townhouse,https://www.zillow.com/community/nova-at-novel-park/2081115660_zpid/,New construction,No Data,null,2 spaces,"$470,990+",null,654,null,Residence 1 WLH Plan,2020,null,$720,null
2,2,ElCajon,"315 S Mollison Ave UNIT 3, El Cajon, CA 92020",$315/month,Townhouse,https://www.zillow.com/homedetails/315-S-Mollison-Ave-UNIT-3-El-Cajon-CA-92020/63776545_zpid/,Townhouse for sale,1 acre,43560.0,1 space,"$324,999","$1,850/mo","1,104",CA,315 S Mollison Ave UNIT 3,1978,"$330,329",$294,92020
2,3,SanJose,"583 Van De Water Way, San Jose, CA 95111",$363/month,Townhouse,https://www.zillow.com/homedetails/583-Van-De-Water-Way-San-Jose-CA-95111/19734376_zpid/,Townhouse for sale,"1,402 sqft",1402.0,1 space,"$589,950","$3,150/mo","1,197",CA,583 Van De Water Way,1971,"$610,154",$493,95111
3,3,Anaheim,"6092 E Morningview Dr #3, Anaheim, CA 92807",$285/month,Townhouse,https://www.zillow.com/homedetails/6092-E-Morningview-Dr-3-Anaheim-CA-92807/25763867_zpid/,Townhouse for sale,No Data,null,2 spaces,"$659,000","$2,950/mo","1,392",CA,6092 E Morningview Dr #3,1984,"$659,005",$473,92807
3,3,SantaAna,"2317 W Edinger Ave #6, Santa Ana, CA 92704",$200/month,Townhouse,https://www.zillow.com/homedetails/2317-W-Edinger-Ave-6-Santa-Ana-CA-92704/25658686_zpid/,Townhouse for sale,0.91 acres,39639.6,2 spaces,"$449,900","$2,650/mo","1,280",CA,2317 W Edinger Ave #6,1985,"$462,885",$351,92704
