"
												1 Bed
														–
2 Beds										","
												Studio
														–
3 Beds										",1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,,"$2,730","$3,305","$5,245",,"[{'bedroom_type': 'Studio', 'price': '$2,520'}, {'bedroom_type': '1 Bed', 'price': '$2,730'}, {'bedroom_type': '2 Beds', 'price': '$3,305'}, {'bedroom_type': '3 Beds', 'price': '$5,245'}]",Milpitas,"1365 McCandless Dr, Milpitas, CA 95035",Turing,https://www.apartments.com/turing-milpitas-ca/hx52vm1/,CA,"$2,520",Apartment,95035
,,,"$2,450","$3,145",,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}, {'bedroom_type': '3 Beds', 'price': '$3,145'}]",San Diego,"12389 Creekview Dr, San Diego, CA 92128",Creek View Condominium Rentals,https://www.apartments.com/creek-view-condominium-rentals-san-diego-ca/ky05xgb/,CA,,Apartment,92128
,,"$1,843","$2,305",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,843'}, {'bedroom_type': '2 Beds', 'price': '$2,305'}, {'bedroom_type': '3 Beds', 'price': ''}]",Mission Viejo,"28601 Los Alisos Blvd, Mission Viejo, CA 92692",Los Alisos at Mission Viejo,https://www.apartments.com/los-alisos-at-mission-viejo-mission-viejo-ca/jxgw605/,CA,,Apartment,92692
,,"$1,720","$1,885",,,"[{'bedroom_type': '1 Bed', 'price': '$1,720'}, {'bedroom_type': '2 Beds', 'price': '$1,885'}]",Upland,"2100 W Arrow Rt, Upland, CA 91786",Rancho Monte Vista Luxury Apartment Homes,https://www.apartments.com/rancho-monte-vista-luxury-apartment-homes-upland-ca/1fgj6s6/,CA,,Apartment,91786
,,"$2,493","$3,436",,,"[{'bedroom_type': '1 Bed', 'price': '$2,493'}, {'bedroom_type': '2 Beds', 'price': '$3,436'}, {'bedroom_type': '3 Beds', 'price': ''}]",Santa Clara,"730-730 Agnew Rd, Santa Clara, CA 95054",River Terrace,https://www.apartments.com/river-terrace-santa-clara-ca/dcr4v1l/,CA,,Apartment,95054
,,"$3,194","$4,602","$6,362",,"[{'bedroom_type': '1 Bed', 'price': '$3,194'}, {'bedroom_type': '2 Beds', 'price': '$4,602'}, {'bedroom_type': '3 Beds', 'price': '$6,362'}]",Santa Monica,"220 San Vicente Blvd, Santa Monica, CA 90402",San Vicente,https://www.apartments.com/san-vicente-santa-monica-ca/s28yhv6/,CA,,Apartment,90402
,,"$2,118","$2,439",,,"[{'bedroom_type': 'Studio', 'price': '$2,087'}, {'bedroom_type': '1 Bed', 'price': '$2,118'}, {'bedroom_type': '2 Beds', 'price': '$2,439'}]",Irvine,"2801 Alton Pky, Irvine, CA 92606",Calypso Apartments and Lofts,https://www.apartments.com/calypso-apartments-and-lofts-irvine-ca/f0pxedr/,CA,"$2,087",Apartment,92606
,,,"$1,930",,,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,930'}]",Bonita,"3511-3549 Valley Rd, Bonita, CA 91902",Park Bonita,https://www.apartments.com/park-bonita-bonita-ca/yx7nyqv/,CA,,Apartment,91902
,,"$1,850","$2,245",,,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}, {'bedroom_type': '2 Beds', 'price': '$2,245'}]",Aliso Viejo,"5000 Capobella, Aliso Viejo, CA 92656",Vista Bella Apartment Homes,https://www.apartments.com/vista-bella-apartment-homes-aliso-viejo-ca/1p8prp4/,CA,,Apartment,92656
,,"$1,631","$1,966",,,"[{'bedroom_type': 'Studio', 'price': '$1,471'}, {'bedroom_type': '1 Bed', 'price': '$1,631'}, {'bedroom_type': '2 Beds', 'price': '$1,966'}]",Orange,"175 N Feldner Rd, Orange, CA 92868",Strada Apartments,https://www.apartments.com/strada-apartments-orange-ca/x9168vq/,CA,"$1,471",Apartment,92868
,,"$1,493","$1,683",,,"[{'bedroom_type': '1 Bed', 'price': '$1,493'}, {'bedroom_type': '2 Beds', 'price': '$1,683'}]",Corona,"650 Ebbcreek Dr, Corona, CA 92880",Avana Springs,https://www.apartments.com/avana-springs-corona-ca/8lg12d0/,CA,,Apartment,92880
,,"$2,160","$2,250",,,"[{'bedroom_type': 'Studio', 'price': '$1,910'}, {'bedroom_type': '1 Bed', 'price': '$2,160'}, {'bedroom_type': '2 Beds', 'price': '$2,250'}]",San Diego,"11102 Caminito Alvarez, San Diego, CA 92126",IMT Sorrento Valley,https://www.apartments.com/imt-sorrento-valley-san-diego-ca/4qcr42h/,CA,"$1,910",Apartment,92126
,,"$1,885","$2,210","$3,045",,"[{'bedroom_type': '1 Bed', 'price': '$1,885'}, {'bedroom_type': '2 Beds', 'price': '$2,210'}, {'bedroom_type': '3 Beds', 'price': '$3,045'}]",Irvine,"100 Saint Vincent, Irvine, CA 92618",Brittany Apartment Homes,https://www.apartments.com/brittany-apartment-homes-irvine-ca/fdrvrht/,CA,,Apartment,92618
,,"$1,865","$2,340",,,"[{'bedroom_type': 'Studio', 'price': '$1,725'}, {'bedroom_type': '1 Bed', 'price': '$1,865'}, {'bedroom_type': '2 Beds', 'price': '$2,340'}]",Irvine,"25 Pacifica, Irvine, CA 92618",The Village at Irvine Spectrum,https://www.apartments.com/the-village-at-irvine-spectrum-irvine-ca/9vd52b4/,CA,"$1,725",Apartment,92618
,,"$1,934","$2,322",,,"[{'bedroom_type': '1 Bed', 'price': '$1,934'}, {'bedroom_type': '2 Beds', 'price': '$2,322'}]",San Diego,"11203 Paseo Montanoso, San Diego, CA 92127",The Villas at Camino Bernardo,https://www.apartments.com/the-villas-at-camino-bernardo-san-diego-ca/l3rfxfg/,CA,,Apartment,92127
,,"$1,895","$2,395","$3,395",,"[{'bedroom_type': 'Studio', 'price': '$1,895'}, {'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,395'}, {'bedroom_type': '3 Beds', 'price': '$3,395'}]",Newport Beach,"1 Park Newport, Newport Beach, CA 92660",Park Newport,https://www.apartments.com/park-newport-newport-beach-ca/w4bx4xl/,CA,"$1,895",Apartment,92660
,,"$2,248","$2,700",,,"[{'bedroom_type': 'Studio', 'price': '$1,997'}, {'bedroom_type': '1 Bed', 'price': '$2,248'}, {'bedroom_type': '2 Beds', 'price': '$2,700'}]",Huntington Beach,"7302-7400 Center Ave, Huntington Beach, CA 92647",Avalon Huntington Beach,https://www.apartments.com/avalon-huntington-beach-huntington-beach-ca/3qggklg/,CA,"$1,997",Apartment,92647
,,"$1,799","$1,888",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,799'}, {'bedroom_type': '2 Beds', 'price': '$1,888'}]",Pomona,"400 Appian Way, Pomona, CA 91766",eaves Phillips Ranch,https://www.apartments.com/eaves-phillips-ranch-pomona-ca/cdvvcfg/,CA,,Apartment,91766
,,"$1,745","$2,005",,,"[{'bedroom_type': '1 Bed', 'price': '$1,745'}, {'bedroom_type': '2 Beds', 'price': '$2,005'}]",Woodland Hills,"20544 Ventura Blvd, Woodland Hills, CA 91364",Avalon Woodland Hills,https://www.apartments.com/avalon-woodland-hills-woodland-hills-ca/1evzbv7/,CA,,Apartment,91364
