"
												1 Bed
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												2 Beds
														–
4 Beds										","
												Studio
										","
												Studio
														–
2 Beds										","
2 																–
4 Beds												","
2 																–
6 Beds												","
Studio												",1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,,,,,,,,"$1,651","$2,023","$2,551",,,"[{'bedroom_type': '1 Bed', 'price': '$1,651'}, {'bedroom_type': '2 Beds', 'price': '$2,023'}, {'bedroom_type': '3 Beds', 'price': '$2,551'}]",Chula Vista,"825 E Palomar St, Chula Vista, CA 91911",Missions at Sunbow Apartments,https://www.apartments.com/missions-at-sunbow-apartments-chula-vista-ca/bwmx1t9/,CA,,Apartment,91911
,,,,,,,,"$1,375","$1,354",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,375'}, {'bedroom_type': '2 Beds', 'price': '$1,354'}]",Vallejo,"60 Rotary Way, Vallejo, CA 94591",SUNDANCE AT VALLEJO RANCH,https://www.apartments.com/sundance-at-vallejo-ranch-vallejo-ca/vntb5yg/,CA,,Apartment,94591
,,,,,,,,"$1,349","$1,525",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,349'}, {'bedroom_type': '2 Beds', 'price': '$1,525'}, {'bedroom_type': '3 Beds', 'price': ''}]",Citrus Heights,"7566 Greenback Ln, Citrus Heights, CA 95610",GREENBACK RIDGE APARTMENT HOMES,https://www.apartments.com/greenback-ridge-apartment-homes-citrus-heights-ca/z5ylyjy/,CA,,Apartment,95610
,,,,,,,,"$1,220","$1,298",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,220'}, {'bedroom_type': '2 Beds', 'price': '$1,298'}]",Sacramento,"2593 Millcreek Dr, Sacramento, CA 95833",RIVER TERRACE,https://www.apartments.com/river-terrace-sacramento-ca/2bfezg8/,CA,,Apartment,95833
,,,,,,,,"$1,980","$2,268","$2,730",,,"[{'bedroom_type': '1 Bed', 'price': '$1,980'}, {'bedroom_type': '2 Beds', 'price': '$2,268'}, {'bedroom_type': '3 Beds', 'price': '$2,730'}]",Thousand Oaks,"1600 Rancho Conejo Blvd, Thousand Oaks, CA 91320",Arroyo Villa Apts,https://www.apartments.com/arroyo-villa-apts-thousand-oaks-ca/9yll6j7/,CA,,Apartment,91320
,,,,,,,,"$1,610","$1,847",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,610'}, {'bedroom_type': '2 Beds', 'price': '$1,847'}]",Sacramento,"2400 Sierra Blvd, Sacramento, CA 95825",MONTECITO VILLAS,https://www.apartments.com/montecito-villas-sacramento-ca/m2cc8vh/,CA,,Apartment,95825
,,,,,,,,"$2,344","$2,562","$3,223",,,"[{'bedroom_type': '1 Bed', 'price': '$2,344'}, {'bedroom_type': '2 Beds', 'price': '$2,562'}, {'bedroom_type': '3 Beds', 'price': '$3,223'}]",Newbury Park,"255 Via Mirabella Via, Newbury Park, CA 91320",Monarch at Dos Vientos,https://www.apartments.com/monarch-at-dos-vientos-newbury-park-ca/hrl6l82/,CA,,Apartment,91320
,,,,,,,,"$1,745","$2,150",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,745'}, {'bedroom_type': '2 Beds', 'price': '$2,150'}]",Vacaville,"1701 Marshall Rd, Vacaville, CA 95687",HIDDEN CREEK,https://www.apartments.com/hidden-creek-vacaville-ca/qfj1nzw/,CA,,Apartment,95687
,,,,,,,,"$2,170","$2,563","$3,601",,,"[{'bedroom_type': '1 Bed', 'price': '$2,170'}, {'bedroom_type': '2 Beds', 'price': '$2,563'}, {'bedroom_type': '3 Beds', 'price': '$3,601'}]",Porter Ranch,"20310 W Sorrento Ln, Porter Ranch, CA 91326",Sonoma at Porter Ranch,https://www.apartments.com/sonoma-at-porter-ranch-porter-ranch-ca/3ldc0yg/,CA,,Apartment,91326
,,,,,,,,"$1,515","$1,690","$2,345",,,"[{'bedroom_type': '1 Bed', 'price': '$1,515'}, {'bedroom_type': '2 Beds', 'price': '$1,690'}, {'bedroom_type': '3 Beds', 'price': '$2,345'}]",Elk Grove,"9130 Nolan St, Elk Grove, CA 95758",SIENA VILLAS,https://www.apartments.com/siena-villas-elk-grove-ca/424x3eh/,CA,,Apartment,95758
