1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$1,995",,Apr 6,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,995'}]",Stockton,"Stockton, CA 95207",12 Month Lease,https://www.apartments.com/2193-piccardo-cir-stockton-ca-unit-2193/5tgew0m/,"1,650","1,650 Sq Ft",CA,,Condos,95207
,"$2,200",,,May 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Sacramento,"Sacramento, CA 95814",12 Month Lease,https://www.apartments.com/200-p-st-sacramento-ca-unit-b-22/4v7488j/,"1,440","1,440 Sq Ft",CA,,Condos,95814
,"$2,595",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]",South Gate,"South Gate, CA 90280",12 Month Lease,https://www.apartments.com/2742-firestone-blvd-south-gate-ca-unit-home/fcx7w8v/,"1,099","1,099 Sq Ft",CA,,Condos,90280
,"$6,195",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$6,195'}]",Malibu,"Malibu, CA 90265",12 Month Lease,https://www.apartments.com/20747-pacific-coast-hwy-malibu-ca-unit-9/18bhpe6/,975,975 Sq Ft,CA,,Condos,90265
"$1,710",,,,Apr 6,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,710'}]",San Marcos,"San Marcos, CA 92069",24 Month Lease,https://www.apartments.com/201-woodland-pkwy-san-marcos-ca-unit-245/519hm1q/,651,651 Sq Ft,CA,,Condos,92069
,,"$4,750",,May 15,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]",Newport Beach,"4819 River Ave, Newport Beach, CA 92663",12 Month Lease,https://www.apartments.com/4819-river-ave-newport-beach-ca-unit-lower/ye2e17r/,1,1 Sq Ft,CA,,Condos,92663
"$1,800",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]",Oakland,"Oakland, CA 94605",12 Month Lease,https://www.apartments.com/8409-iris-st-oakland-ca-unit-upper/k75pzmc/,360,360 Sq Ft,CA,,Condos,94605
,"$2,600",,,May 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",Hercules,"Hercules, CA 94547",12 Month Lease,https://www.apartments.com/802-devonwood-hercules-ca-unit-802/xy897ln/,"1,011","1,011 Sq Ft",CA,,Condos,94547
,,,"$5,695",May 15,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,695'}]",Newport Beach,"4821 River Ave, Newport Beach, CA 92663",12 Month Lease,https://www.apartments.com/4821-river-ave-newport-beach-ca-unit-upper/ed74rmp/,"2,200","2,200 Sq Ft",CA,,Condos,92663
$950,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$950'}]",Desert Hot Springs,"Desert Hot Springs, CA 92240",1 Month Lease,https://www.apartments.com/9641-spyglass-ave-desert-hot-springs-ca-unit-67/vfjhpqe/,565,565 Sq Ft,CA,,Condos,92240
,"$2,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",Dana Point,"Dana Point, CA 92629",1 Month Lease,https://www.apartments.com/70-corniche-dr-dana-point-ca-unit-d/mt35bnh/,"1,150","1,150 Sq Ft",CA,,Condos,92629
,,"$3,849",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,849'}]",216 Vista Ct,"Yountville, CA 94599",,https://www.apartments.com/216-vista-ct-yountville-ca/krxh7f9/,"1,224","1,224 Sq Ft",Yountville,,Condos,CA
,"$2,895",,,May 15,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}]",Fremont,"Fremont, CA 94536",12 Month Lease,https://www.apartments.com/4682-devonshire-common-fremont-ca-unit-n-a/cc60y5e/,945,945 Sq Ft,CA,,Condos,94536
,"$2,400",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",6600 Yount St,"Yountville, CA 94599",12 Month Lease,https://www.apartments.com/6600-yount-st-yountville-ca-unit-6/9vjjwc6/,"1,050","1,050 Sq Ft",Yountville,,Condos,CA
,"$2,700",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",Palm Springs,"Palm Springs, CA 92264",1 Month Lease,https://www.apartments.com/1718-grand-bahama-dr-w-palm-springs-ca-unit/1zrgw64/,"1,400","1,400 Sq Ft",CA,,Condos,92264
,,,,Oct 15,1 BA,"[{'bedroom_type': 'Studio', 'price': '$3,450'}]",Huntington Beach,"Huntington Beach, CA 92648",6 Month Lease,https://www.apartments.com/711-pacific-coast-hwy-huntington-beach-ca-unit-101/3h7mccf/,500,500 Sq Ft,CA,"$3,450",Condos,92648
,,"$1,550",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,550'}]",1365 Crafton Ave,"Mentone, CA 92359",,https://www.apartments.com/1365-crafton-ave-mentone-ca-unit-2075/dgte4bl/,944,944 Sq Ft,Mentone,,Condos,CA
,,"$3,650",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]",163 Patria,"Ladera Ranch, CA 92694",,https://www.apartments.com/163-patria-ladera-ranch-ca/ybmemlv/,"1,490","1,490 Sq Ft",Ladera Ranch,,Condos,CA
"$1,700",,,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]",3486 Bahia Blanca W,"Laguna Woods, CA 92637",,https://www.apartments.com/3486-bahia-blanca-w-laguna-woods-ca-unit-3f/3r4rv0g/,866,866 Sq Ft,Laguna Woods,,Condos,CA
,,"$2,895",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,895'}]",21147 Vía Canon,"Yorba Linda, CA 92887",,https://www.apartments.com/21147-via-canon-yorba-linda-ca-unit-17/7pwqvlw/,"1,633","1,633 Sq Ft",Yorba Linda,,Condos,CA
"$1,400",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]",1345 Cabrillo Park Dr,"Santa Ana, CA 92701",,https://www.apartments.com/1345-cabrillo-park-dr-santa-ana-ca-unit-b3/5l9rm2m/,492,492 Sq Ft,Santa Ana,,Condos,CA
"$1,500",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]",73850 Fairway Dr,"Palm Desert, CA 92260",,https://www.apartments.com/73850-fairway-dr-palm-desert-ca-unit-238/l123wmf/,503,503 Sq Ft,Palm Desert,,Condos,CA
,,"$5,900",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]",433 Iris Ave,"Newport Beach, CA 92625",,https://www.apartments.com/433-iris-ave-newport-beach-ca/94l3v14/,"2,035","2,035 Sq Ft",Newport Beach,,Condos,CA
