1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$2,750",,,,Apr 9,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]",Laguna Niguel,"Laguna Niguel, CA 92677",1 Month Lease,https://www.apartments.com/30902-club-house-dr-laguna-niguel-ca-unit-25c/wte51mh/,"1,150","1,150 Sq Ft",CA,,Condos,92677
,"$2,700",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",Irvine,"Irvine, CA 92612",12 Month Lease,https://www.apartments.com/14-exeter-irvine-ca-unit-9/t1skld8/,"1,344","1,344 Sq Ft",CA,,Condos,92612
,"$2,700",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",Irvine,"Irvine, CA 92612",12 Month Lease,https://www.apartments.com/53-exeter-irvine-ca-unit-28/t10st79/,"1,344","1,344 Sq Ft",CA,,Condos,92612
,"$1,900",,,,May 8,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]",Santa Ana,"Santa Ana, CA 92707",12 Month Lease,https://www.apartments.com/1000-w-macarthur-blvd-santa-ana-ca-unit-50/q28411y/,"1,000","1,000 Sq Ft",CA,,Condos,92707
"$1,995",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]",Glendale,"1935 Alpha Rd, Glendale, CA 91208",12 Month Lease,https://www.apartments.com/1935-alpha-rd-glendale-ca-unit-341/l8ghtqd/,700,700 Sq Ft,CA,,Condos,91208
,"$2,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",Los Angeles,"13903 Sherman Way, Los Angeles, CA 91405",12 Month Lease,https://www.apartments.com/13903-sherman-way-los-angeles-ca-unit-10/mzy04xj/,"1,200","1,200 Sq Ft",CA,,Condos,91405
"$2,525",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,525'}]",Redondo Beach,"Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/610-the-village-redondo-beach-ca-unit-307/wbff15l/,619,619 Sq Ft,CA,,Condos,90277
,,"$2,500",,,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]",Los Angeles,"17155 Roscoe Blvd, Los Angeles, CA 91325",12 Month Lease,https://www.apartments.com/17155-roscoe-blvd-los-angeles-ca-unit-4/wrd3zml/,"1,497","1,497 Sq Ft",CA,,Condos,91325
"$2,950",,,,,May 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}]",Los Angeles,"Los Angeles, CA 90046",6 Month Lease,https://www.apartments.com/7320-hawthorn-ave-los-angeles-ca-unit-425/22dbwxc/,640,640 Sq Ft,CA,,Condos,90046
,,,"$4,700",,Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,700'}]",Redondo Beach,"Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/315-garnet-st-redondo-beach-ca-unit-c/5nm9ykn/,"2,439","2,439 Sq Ft",CA,,Condos,90277
,"$2,650",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]",Los Angeles,"Los Angeles, CA 91316",12 Month Lease,https://www.apartments.com/5343-yarmouth-ave-los-angeles-ca-unit-105/28zmx8c/,"1,405","1,405 Sq Ft",CA,,Condos,91316
