1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$7,550",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,550'}]",Culver City,"Culver City, CA 90230",12 Month Lease,https://www.apartments.com/11864-bray-st-culver-city-ca/xx3nktn/,"2,000","2,000 Sq Ft",CA,Houses,90230
,"$4,350",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,350'}]",Los Angeles,"Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/9607-national-blvd-los-angeles-ca/ze06vgx/,"1,000","1,000 Sq Ft",CA,Houses,90034
"$2,000",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]",Los Angeles,"3916 Carnavon Way, Los Angeles, CA 90027",12 Month Lease,https://www.apartments.com/3916-carnavon-way-los-angeles-ca/cs08qef/,800,800 Sq Ft,CA,Houses,90027
,"$1,600",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,600'}]",Lancaster,"Lancaster, CA 93534",,https://www.apartments.com/1227-w-lumber-st-lancaster-ca/llz4lcd/,720,720 Sq Ft,CA,Houses,93534
,,,,"$10,000",Available Now,6½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$10,000'}]",Westlake Village,"Westlake Village, CA 91361",,https://www.apartments.com/4202-saddlecrest-ln-westlake-village-ca/lkc69pf/,"5,603","5,603 Sq Ft",CA,Houses,91361
,"$4,750",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,750'}]",Los Angeles,"5801 Cazaux Dr, Los Angeles, CA 90068",,https://www.apartments.com/5801-cazaux-dr-los-angeles-ca/x5q6pym/,"1,900","1,900 Sq Ft",CA,Houses,90068
,,"$5,400",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,400'}]",Glendale,"1338 N Jackson St, Glendale, CA 91207",12 Month Lease,https://www.apartments.com/1338-n-jackson-st-glendale-ca/hc7cf71/,"3,000","3,000 Sq Ft",CA,Houses,91207
,,,"$4,500",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]",Fremont,"Fremont, CA 94539",,https://www.apartments.com/1942-mento-dr-fremont-ca/mr036mj/,"1,700","1,700 Sq Ft",CA,Houses,94539
,"$3,850",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]",Los Angeles,"828 Wellesley Ave, Los Angeles, CA 90049",,https://www.apartments.com/828-wellesley-ave-los-angeles-ca/505v0zm/,"1,000","1,000 Sq Ft",CA,Houses,90049
,,,,"$11,500",Available Now,5 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$11,500'}]",Encino,"3906 Westfall Dr, Encino, CA 91436",12 Month Lease,https://www.apartments.com/3906-westfall-dr-encino-ca/l71tbbd/,"4,200","4,200 Sq Ft",CA,Houses,91436
