1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$2,200",,,May 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]",Fairfield,"Fairfield, CA 94533",12 Month Lease,https://www.apartments.com/237-larkspur-ln-fairfield-ca/mspqznj/,"1,405","1,405 Sq Ft",CA,,Houses,94533
,,,,"$2,795",Available Now,4½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$2,795'}]",2432 Middlebury Dr,"Lathrop, CA 95330",,https://www.apartments.com/2432-middlebury-dr-lathrop-ca/vx9s92d/,"2,317","2,317 Sq Ft",Lathrop,,Houses,CA
,,,,"$5,650",Available Now,5 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$5,650'}]",7261 O'Donovan Rd,"Creston, CA 93432",,https://www.apartments.com/7261-odonovan-rd-creston-ca/c1p0rne/,,,Creston,,Houses,CA
,,"$1,300",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,300'}]",Holtville,"Holtville, CA 92250",12 Month Lease,https://www.apartments.com/728-fern-ave-holtville-ca/96n9h24/,"1,600","1,600 Sq Ft",CA,,Houses,92250
,,,"$12,000",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$12,000'}]",34300 Holcomb Valley Rd,"Fawnskin, CA 92333",,https://www.apartments.com/34300-holcomb-valley-rd-fawnskin-ca/mmbvkrh/,,,Fawnskin,,Houses,CA
,"$4,400",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,400'}]",2171 Monroe St,"Yountville, CA 94599",,https://www.apartments.com/2171-monroe-st-yountville-ca/r1b7mm2/,"1,250","1,250 Sq Ft",Yountville,,Houses,CA
,,,"$3,950",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,950'}]",32186 Fall River Rd,"Trabuco Canyon, CA 92679",,https://www.apartments.com/32186-fall-river-rd-trabuco-canyon-ca/5j1rpkn/,"2,550","2,550 Sq Ft",Trabuco Canyon,,Houses,CA
,,"$2,000",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]",19094 Ravenhill Rd,"Hidden Valley Lake, CA 95467",,https://www.apartments.com/19094-ravenhill-rd-hidden-valley-lake-ca/p8x5p5t/,"1,336","1,336 Sq Ft",Hidden Valley Lake,,Houses,CA
,,,"$2,625",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,625'}]",24716 Acadia Dr,"Corona, CA 92883",,https://www.apartments.com/24716-acadia-dr-corona-ca/5w889hq/,"2,537","2,537 Sq Ft",Corona,,Houses,CA
,,"$2,450",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,450'}]",3200 Triangle Rd,"Mariposa, CA 95338",,https://www.apartments.com/3200-triangle-rd-mariposa-ca/cx1lljd/,"1,906","1,906 Sq Ft",Mariposa,,Houses,CA
