"
												2 Beds
										",1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$1,695","$2,205",,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$2,205'}]",1624 Pueblo Ave,"1624 Pueblo Ave, Napa, CA 94558",,https://www.apartments.com/vineyard-townhomes-napa-ca/h813s82/,870,870 Sq Ft,Napa,,Townhomes,CA
,,"$3,450",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,450'}]",1525 Hi Point St,"1525 Hi Point St, Los Angeles, CA 90035",,https://www.apartments.com/hi-point-townhomes-los-angeles-ca/5xdhe1m/,991,991 Sq Ft,Los Angeles,,Townhomes,CA
,,,,Not Available,1½ BAs,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t2 Beds\r\n\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",2283 Fountain Way E,"2283 Fountain Way E, Costa Mesa, CA 92627",,https://www.apartments.com/sea-breeze-rental-townhomes-costa-mesa-ca/kqrjmy8/,816,816 Sq Ft,Costa Mesa,,Townhomes,CA
,,"$1,525","$1,650",Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,525'}, {'bedroom_type': '3 Beds', 'price': '$1,650'}]",5389 N Valentine Ave,"5389 N Valentine Ave, Fresno, CA 93711",6 - 12 Month Lease,https://www.apartments.com/phoenix-townhomes-fresno-ca/fwwxmdt/,"1,216","1,216 - 1,264 Sq Ft",Fresno,,Townhomes,CA
,,"$2,095",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]",14452 Goldenwest St,"14452 Goldenwest St, Westminster, CA 92683",1 - 12 Month Lease,https://www.apartments.com/villa-pacific-townhomes-westminster-ca/m4x2jml/,"1,300","1,300 Sq Ft",Westminster,,Townhomes,CA
,,,"$2,800",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]",801 Dutton Ave,"801 Dutton Ave, Santa Rosa, CA 95407",,https://www.apartments.com/walkham-townhomes-santa-rosa-ca/54d6qxn/,"1,875","1,875 Sq Ft",Santa Rosa,,Townhomes,CA
,,$990,"$1,375",Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$990'}, {'bedroom_type': '3 Beds', 'price': '$1,375'}]",5112 Fairfax Rd,"5112 Fairfax Rd, Bakersfield, CA 93306",,https://www.apartments.com/highland-oaks-apartments-arcadia-townhomes-bakersfield-ca/vqpxhqg/,965,965 Sq Ft,Bakersfield,,Townhomes,CA
,,"$2,195",,Not Available,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]",153 Haas Ave,"153 Haas Ave, San Leandro, CA 94577",,https://www.apartments.com/linvale-townhomes-san-leandro-ca/sgqyp37/,866,866 Sq Ft,San Leandro,,Townhomes,CA
,$800,$895,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$800'}, {'bedroom_type': '2 Beds', 'price': '$895'}]",4249 Parker Ave,"4249 Parker Ave, Bakersfield, CA 93309",,https://www.apartments.com/parker-avenue-townhouse-apartments-bakersfield-ca/fw35b6r/,600,600 Sq Ft,Bakersfield,,Townhomes,CA
,,"$2,025",,Apr 15,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,025'}]",2070 Poplar Rd,"2070 Poplar Rd, Oceanside, CA 92058",,https://www.apartments.com/oceanbreeze-village-townhomes-and-condos-oceanside-ca/dmnn0gj/,"1,000","1,000 Sq Ft",Oceanside,,Townhomes,CA
,"$2,250",,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$2,350'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}]",2684 Lacy St,"2684 Lacy St, Los Angeles, CA 90031",12 Month Lease,https://www.apartments.com/lacy-studio-townhouse-lofts-los-angeles-ca/qnc2g0y/,"1,000","1,000 Sq Ft",Los Angeles,"$2,350",Townhomes,CA
,,"$1,700",,Not Available,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",631 Pacific Ave,"631 Pacific Ave, Fairfield, CA 94533",6 Month Lease,https://www.apartments.com/pacific-heights-townhouse-apartments-fairfield-ca/xryvesn/,"1,100","1,100 Sq Ft",Fairfield,,Townhomes,CA
,"$2,900",,,Not Available,1 BA,"[{'bedroom_type': 'Studio', 'price': '$2,000'}, {'bedroom_type': '1 Bed', 'price': '$2,900'}]",1030 N Alvarado St,"1030 N Alvarado St, Los Angeles, CA 90026",,https://www.apartments.com/echo-lofts-true-luxury-live-work-townhouses-los-angeles-ca/dv3yjpk/,447,447 - 815 Sq Ft,Los Angeles,"$2,000",Townhomes,CA
,"$1,205","$1,545",,Apr 15,1½ BAs,"[{'bedroom_type': 'Studio', 'price': '$1,055'}, {'bedroom_type': '1 Bed', 'price': '$1,205'}, {'bedroom_type': '2 Beds', 'price': '$1,545'}]",2256 W Lincoln Ave,"2256 W Lincoln Ave, Anaheim, CA 92801",12 Month Lease,https://www.apartments.com/victoria-townhouses-anaheim-ca/zj4db0w/,"1,120","1,120 Sq Ft",Anaheim,"$1,055",Townhomes,CA
,,"$1,650",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,650'}]",13048 Lincoln Way,"13048 Lincoln Way, Auburn, CA 95603",,https://www.apartments.com/auburn-townhomes-auburn-ca/edjdc3m/,"1,190","1,190 Sq Ft",Auburn,,Townhomes,CA
,,"$2,675",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,675'}]",1134 Willow St,"1134 Willow St, San Jose, CA 95125",,https://www.apartments.com/deodar-townhomes-san-jose-ca/yekp8ev/,980,980 Sq Ft,San Jose,,Townhomes,CA
,,"$2,400",,Available Soon,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",2345 Kennedy Ave,"2345 Kennedy Ave, Union City, CA 94587",,https://www.apartments.com/rosewood-townhomes-union-city-ca/0cxzcd2/,758,758 Sq Ft,Union City,,Townhomes,CA
,,"$2,395",,Available Soon,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",5103 Mozart Dr,"5103 Mozart Dr, Richmond, CA 94803",,https://www.apartments.com/westbridge-townhomes-richmond-ca/td8p2vb/,"1,174","1,174 Sq Ft",Richmond,,Townhomes,CA
,,"$1,630",,Available Soon,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,630'}]",1001 18th St,"1001 18th St, Bakersfield, CA 93301",6 - 24 Month Lease,https://www.apartments.com/17th-place-townhomes-bakersfield-ca/4re41zh/,"1,080","1,080 Sq Ft",Bakersfield,,Townhomes,CA
,,"$1,995","$2,195",Available Soon,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,995'}, {'bedroom_type': '3 Beds', 'price': '$2,195'}]",848-890 S Palmetto Ave,"848-890 S Palmetto Ave, Ontario, CA 91762",,https://www.apartments.com/palmetto-village-townhomes-ontario-ca/nw54l0n/,"1,100","1,100 Sq Ft",Ontario,,Townhomes,CA
