Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
1,2,Glendale,"3734 2nd Ave, Glendale, CA 91214",null,Apartment,https://www.zillow.com/homedetails/3734-2nd-Ave-Glendale-CA-91214/20815335_zpid/,Apartment for sale,null,null,1 space,"$2,700",null,915,CA,3734 2nd Ave,1955,null,$3,91214
3,4,Sacramento,"4713-4715 Large Oak Ct, Sacramento, CA 95841",null,Apartment,https://www.zillow.com/homedetails/4713-4715-Large-Oak-Ct-Sacramento-CA-95841/2080276517_zpid/,Apartment for sale,null,null,Attached Garage,"$475,000",null,"2,030",CA,4713-4715 Large Oak Ct,1974,null,$234,95841
2,2,Albany,"814 Curtis St, Albany, CA 94706",None,Apartment,https://www.zillow.com/homedetails/814-Curtis-St-Albany-CA-94706/24855309_zpid/,For sale by owner,null,null,2 spaces,"$1,350,000",null,750,CA,814 Curtis St,1950,null,"$1,800",94706
2,2,ImperialBeach,"1111 Seacoast Dr UNIT 20, Imperial Beach, CA 91932",$436/month,Apartment,https://www.zillow.com/homedetails/1111-Seacoast-Dr-UNIT-20-Imperial-Beach-CA-91932/17170088_zpid/,For sale by owner,null,null,1 space,"$515,000",null,908,CA,1111 Seacoast Dr UNIT 20,1973,null,$567,91932
2,3,Sacramento,"1536 South Ave, Sacramento, CA 95838",None,Apartment,https://www.zillow.com/homedetails/1536-South-Ave-Sacramento-CA-95838/26058500_zpid/,Apartment for sale,null,null,2 spaces,"$270,000",null,"1,796",CA,1536 South Ave,1945,null,$150,95838
--,3,EastPaloAlto,"2371 University Ave, East Palo Alto, CA 94303",null,Apartment,https://www.zillow.com/homedetails/2371-University-Ave-East-Palo-Alto-CA-94303/2089346779_zpid/,For sale by owner,null,null,4 spaces,"$1,500,000",null,"3,900",CA,2371 University Ave,1952,null,$385,94303
7,13,Fresno,"4168 N Millbrook Ave, Fresno, CA 93726",null,Apartment,https://www.zillow.com/homedetails/4168-N-Millbrook-Ave-Fresno-CA-93726/2080757493_zpid/,For sale by owner,null,null,No Data,"$750,000",null,"5,762",CA,4168 N Millbrook Ave,1971,null,$130,93726
2,2,SanFrancisco,"187 19th Ave, San Francisco, CA 94121",null,Apartment,https://www.zillow.com/homedetails/187-19th-Ave-San-Francisco-CA-94121/2099629440_zpid/,Apartment for sale,null,null,1 space,"$1,275,000",null,"1,555",CA,187 19th Ave,1924,null,$820,94121
3,3,SanFrancisco,"185 19th Ave, San Francisco, CA 94121",null,Apartment,https://www.zillow.com/homedetails/185-19th-Ave-San-Francisco-CA-94121/2100078050_zpid/,Apartment for sale,null,null,4 spaces,"$1,495,000",null,"1,840",CA,185 19th Ave,1924,null,$812,94121
2,1,LosAngeles,"7250 Franklin Ave UNIT 1101, Los Angeles, CA 90046",$64/month,Apartment,https://www.zillow.com/homedetails/7250-Franklin-Ave-UNIT-1101-Los-Angeles-CA-90046/20793246_zpid/,Apartment for sale,null,null,2 spaces,"$825,000",null,966,CA,7250 Franklin Ave UNIT 1101,1964,null,$854,90046
4,5,YubaCity,"605 Queens Ave, Yuba City, CA 95991",null,null,https://www.zillow.com/homedetails/605-Queens-Ave-Yuba-City-CA-95991/2080936172_zpid/,Apartment for sale,null,null,null,"$6,995,000",null,"2,600",CA,605 Queens Ave,null,null,null,95991
--,Studio,LosAngeles,"571 S Coronado St, Los Angeles, CA 90057",null,Apartment,https://www.zillow.com/homedetails/571-S-Coronado-St-Los-Angeles-CA-90057/2104185655_zpid/,Apartment for sale,null,null,No Data,"$19,000,000",null,"62,826",CA,571 S Coronado St,1923,null,$302,90057
2,1,LosAngeles,"10751 Wilshire Blvd APT 1205, Los Angeles, CA 90024",$730/month,Apartment,https://www.zillow.com/homedetails/10751-Wilshire-Blvd-APT-1205-Los-Angeles-CA-90024/20525160_zpid/,For sale by owner,null,null,2 spaces,"$699,000",null,954,CA,10751 Wilshire Blvd APT 1205,1972,null,$733,90024
--,10,SimiValley,"4453 Apricot Rd, Simi Valley, CA 93063",null,Apartment,https://www.zillow.com/homedetails/4453-Apricot-Rd-Simi-Valley-CA-93063/16445930_zpid/,Apartment for sale,null,null,25 spaces,"$5,100,000",null,"11,924",CA,4453 Apricot Rd,2017,null,$428,93063
3,3,SpringValley,"1670 Whitestone Rd, Spring Valley, CA 91977",$190/month,Apartment,https://www.zillow.com/homedetails/1670-Whitestone-Rd-Spring-Valley-CA-91977/17118636_zpid/,Apartment for sale,null,null,2 spaces,"$547,000","$2,850/mo","1,689",CA,1670 Whitestone Rd,1990,"$549,135",$324,91977
20,28,SanGabriel,"5715 N Vista St, San Gabriel, CA 91775",null,Apartment,https://www.zillow.com/homedetails/5715-N-Vista-St-San-Gabriel-CA-91775/2099406850_zpid/,Apartment for sale,null,null,40 spaces,"$4,980,000",null,"11,808",CA,5715 N Vista St,1961,null,$422,91775
9,11,SanGabriel,"302 E Broadway, San Gabriel, CA 91776",null,Apartment,https://www.zillow.com/homedetails/302-E-Broadway-San-Gabriel-CA-91776/250336316_zpid/,Apartment for sale,null,null,2 spaces,"$2,980,000",null,"5,626",CA,302 E Broadway,1954,null,$530,91776
6,6,LosAngeles,"324 W 50th St, Los Angeles, CA 90037",null,Apartment,https://www.zillow.com/homedetails/324-W-50th-St-Los-Angeles-CA-90037/2081408598_zpid/,Apartment for sale,null,null,None,"$1,100,000",null,"4,556",CA,324 W 50th St,1922,null,$241,90037
