Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Modesto,"3701 Colonial Dr APT 148, Modesto, CA 95356",$345/month,Condo,https://www.zillow.com/homedetails/3701-Colonial-Dr-APT-148-Modesto-CA-95356/16027307_zpid/,Condo for sale,null,null,1 space,"$205,000","$1,295/mo",978,CA,3701 Colonial Dr APT 148,1980,"$199,142",$210,95356
2,2,PalmSprings,"2145 Southridge Dr, Palm Springs, CA 92262",$455/month,Condo,https://www.zillow.com/homedetails/2145-Southridge-Dr-Palm-Springs-CA-92262/139617912_zpid/,Condo for sale,null,null,1 space,"$549,000","$2,900/mo","1,600",CA,2145 Southridge Dr,1967,"$545,463",$343,92262
1,1,Redlands,"163 N Center St, Redlands, CA 92373",$407/month,Cooperative,https://www.zillow.com/homedetails/163-N-Center-St-Redlands-CA-92373/17263418_zpid/,Co-op for sale,null,null,1 space,"$139,000","$1,295/mo",700,CA,163 N Center St,1956,"$139,000",$199,92373
2,3,MorganHill,"18216 Hale Ave APT C, Morgan Hill, CA 95037",$295/month,Condo,https://www.zillow.com/homedetails/18216-Hale-Ave-APT-C-Morgan-Hill-CA-95037/19848135_zpid/,Condo for sale,null,null,2 spaces,"$539,000","$3,075/mo","1,145",CA,18216 Hale Ave APT C,1976,"$551,311",$471,95037
6,2,LagunaWoods,"68 Calle Aragon UNIT B, Laguna Woods, CA 92637",$587/month,Cooperative,https://www.zillow.com/homedetails/68-Calle-Aragon-UNIT-B-Laguna-Woods-CA-92637/2080263337_zpid/,Co-op for sale,null,null,Carport,"$378,000",null,"1,400",CA,68 Calle Aragon UNIT B,1964,null,$270,92637
1,1,SanFrancisco,"607 Shotwell St #A, San Francisco, CA 94110",$275/month,Condo,https://www.zillow.com/homedetails/607-Shotwell-St-A-San-Francisco-CA-94110/2080548413_zpid/,Condo for sale,null,null,No Data,"$799,000",null,662,CA,607 Shotwell St #A,No Data,null,"$1,207",94110
1,1,PalmSprings,"222 N Calle El Segundo APT 528, Palm Springs, CA 92262",$350/month,Condo,https://www.zillow.com/homedetails/222-N-Calle-El-Segundo-APT-528-Palm-Springs-CA-92262/17745802_zpid/,Condo for sale,null,null,2 spaces,"$179,000","$2,200/mo",653,CA,222 N Calle El Segundo APT 528,1983,"$174,010",$274,92262
2,2,NewportBeach,"300 Cagney Ln APT 201, Newport Beach, CA 92663",$450/month,Condo,https://www.zillow.com/homedetails/300-Cagney-Ln-APT-201-Newport-Beach-CA-92663/25730438_zpid/,Condo for sale,null,null,1 space,"$565,000","$2,950/mo",920,CA,300 Cagney Ln APT 201,1971,"$565,001",$614,92663
1,Studio,SanFrancisco,"766 Harrison St UNIT 611, San Francisco, CA 94107",$280/month,Condo,https://www.zillow.com/homedetails/766-Harrison-St-UNIT-611-San-Francisco-CA-94107/111934523_zpid/,Condo for sale,null,null,None,"$460,000","$2,500/mo",262,CA,766 Harrison St UNIT 611,2008,"$477,671","$1,756",94107
1,1,SantaMonica,"1440 23rd St APT 117, Santa Monica, CA 90404",$395/month,Condo,https://www.zillow.com/homedetails/1440-23rd-St-APT-117-Santa-Monica-CA-90404/20473991_zpid/,Condo for sale,null,null,Attached Garage,"$605,000","$2,450/mo",658,CA,1440 23rd St APT 117,1973,"$605,846",$919,90404
