Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
7,10,PalmDesert,"74533 Sagebrush Dr, Palm Desert, CA 92260",null,Multi Family,https://www.zillow.com/homedetails/74533-Sagebrush-Dr-Palm-Desert-CA-92260/2080982615_zpid/,Apartment for sale,null,null,8 spaces,"$1,100,000",null,"3,800",CA,74533 Sagebrush Dr,1986,null,$289,92260
15,14,WestHollywood,"1238 Larrabee St, West Hollywood, CA 90069",null,Multi Family,https://www.zillow.com/homedetails/1238-Larrabee-St-West-Hollywood-CA-90069/2081008729_zpid/,Apartment for sale,null,null,10 spaces,"$6,750,000",null,"2,896",CA,1238 Larrabee St,1937,null,"$2,331",90069
2,5,LemonGrove,"7080 Central Ave, Lemon Grove, CA 91945",null,Multi Family,https://www.zillow.com/homedetails/7080-Central-Ave-Lemon-Grove-CA-91945/2080541185_zpid/,Apartment for sale,null,null,No Data,"$645,000",null,--,CA,7080 Central Ave,1940,null,No Data,91945
7,10,Rialto,"252 E Jackson St, Rialto, CA 92376",null,Multi Family,https://www.zillow.com/homedetails/252-E-Jackson-St-Rialto-CA-92376/17209366_zpid/,Apartment for sale,null,null,4 spaces,"$792,000","$1,200/mo","4,696",CA,252 E Jackson St,1966,"$785,548",$169,92376
--,4,Visalia,"307 W Laurel Ave #311, Visalia, CA 93277",null,Multi Family,https://www.zillow.com/homedetails/307-W-Laurel-Ave-311-Visalia-CA-93277/2080841565_zpid/,Apartment for sale,null,null,No Data,"$225,000",null,"2,242",CA,307 W Laurel Ave #311,1976,null,$100,93277
2,2,LosAngeles,"7558 Willoughby Ave, Los Angeles, CA 90046",null,Multi Family,https://www.zillow.com/homedetails/7558-Willoughby-Ave-Los-Angeles-CA-90046/20784944_zpid/,Apartment for sale,null,null,2 spaces,"$1,180,000","$3,150/mo","1,160",CA,7558 Willoughby Ave,1924,"$1,186,056","$1,017",90046
3,4,LosAngeles,"1523 Cambria St, Los Angeles, CA 90017",null,Multi Family,https://www.zillow.com/homedetails/1523-Cambria-St-Los-Angeles-CA-90017/20625131_zpid/,Apartment for sale,null,null,8 spaces,"$788,000","$3,400/mo","2,183",CA,1523 Cambria St,1920,"$801,873",$361,90017
2,4,ImperialBeach,"955 Elder Ave, Imperial Beach, CA 91932",null,Multi Family,https://www.zillow.com/homedetails/955-Elder-Ave-Imperial-Beach-CA-91932/295366624_zpid/,Apartment for sale,null,null,"On street, Attached Garage","$760,000","$2,800/mo","3,400",CA,955 Elder Ave,1959,"$760,064",$224,91932
3,5,LaHabra,"117 W Greenwood Ave, La Habra, CA 90631",None,Multi Family,https://www.zillow.com/homedetails/117-W-Greenwood-Ave-La-Habra-CA-90631/25107495_zpid/,Apartment for sale,null,null,3 spaces,"$750,000","$2,790/mo","2,200",CA,117 W Greenwood Ave,1929,"$750,001",$341,90631
4,6,ElCajon,"1875 Pepper Valley Ln, El Cajon, CA 92021",null,Multi Family,https://www.zillow.com/homedetails/1875-Pepper-Valley-Ln-El-Cajon-CA-92021/16892216_zpid/,Apartment for sale,null,null,5 spaces,"$720,000","$2,400/mo","2,100",CA,1875 Pepper Valley Ln,1979,"$720,009",$343,92021
