Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,4,Riverside,"16050 Rancho Viejo Dr, Riverside, CA 92506",None,Single Family,https://www.zillow.com/homedetails/16050-Rancho-Viejo-Dr-Riverside-CA-92506/17881294_zpid/,House for sale,0.59 acres,25700.4,2 spaces,"$525,000","$2,300/mo","1,804",CA,16050 Rancho Viejo Dr,1975,"$525,001",$291,92506
1.5,3,Ridgecrest,"204 N Florence St, Ridgecrest, CA 93555",null,Single Family,https://www.zillow.com/homedetails/204-N-Florence-St-Ridgecrest-CA-93555/18911491_zpid/,House for sale,"7,840 sqft",7840.0,2 spaces,"$154,700","$1,350/mo","1,643",CA,204 N Florence St,1956,"$154,700",$94,93555
2,2,Arcadia,"6637 N Golden West Ave, Arcadia, CA 91007",None,Single Family,https://www.zillow.com/homedetails/6637-N-Golden-West-Ave-Arcadia-CA-91007/20732072_zpid/,House for sale,"7,470 sqft",7470.0,2 spaces,"$685,000","$2,800/mo","1,340",CA,6637 N Golden West Ave,1961,"$698,979",$511,91007
2,3,CanyonCountry,"20062 Crestview Dr, Canyon Country, CA 91351",None,Single Family,https://www.zillow.com/homedetails/20062-Crestview-Dr-Canyon-Country-CA-91351/2134542681_zpid/,House for sale,"3,497 sqft",3497.0,2 spaces,"$180,000","$2,700/mo","1,482",CA,20062 Crestview Dr,2001,"$180,001",$121,91351
1,3,Shingletown,"34700 Coot Ln, Shingletown, CA 96088",null,Single Family,https://www.zillow.com/homedetails/34700-Coot-Ln-Shingletown-CA-96088/64974041_zpid/,House for sale,2 acres,87120.0,3 spaces,"$289,900","$1,300/mo","1,546",CA,34700 Coot Ln,2004,"$285,652",$188,96088
2,2,Visalia,"35599 Road 150 APT A, Visalia, CA 93292",null,Single Family,https://www.zillow.com/homedetails/35599-Road-150-APT-A-Visalia-CA-93292/291388113_zpid/,House for sale,0.49 acres,21344.4,1 space,"$150,000",$825/mo,"1,440",CA,35599 Road 150 APT A,1976,"$144,209",$104,93292
2,4,Lancaster,"42061 Ivesgrove Dr, Lancaster, CA 93536",null,Single Family,https://www.zillow.com/homedetails/42061-Ivesgrove-Dr-Lancaster-CA-93536/20309340_zpid/,House for sale,0.29 acres,12632.4,2 spaces,"$449,000","$2,700/mo","2,224",CA,42061 Ivesgrove Dr,1957,"$449,836",$202,93536
3,4,SouthLakeTahoe,"593 Koru St, South Lake Tahoe, CA 96150",None,Single Family,https://www.zillow.com/homedetails/593-Koru-St-South-Lake-Tahoe-CA-96150/18583085_zpid/,House for sale,"10,454 sqft",10454.0,2 spaces,"$495,000","$2,350/mo","1,818",CA,593 Koru St,1979,"$487,457",$272,96150
2,3,Modesto,"1113 Vintner Ln, Modesto, CA 95358",None,Single Family,https://www.zillow.com/homedetails/1113-Vintner-Ln-Modesto-CA-95358/16029784_zpid/,House for sale,"5,000 sqft",5000.0,2 spaces,"$275,000","$1,400/mo","1,209",CA,1113 Vintner Ln,1991,"$271,697",$227,95358
5,5,YorbaLinda,"4066 Live Oak Ln, Yorba Linda, CA 92886",None,Single Family,https://www.zillow.com/homedetails/4066-Live-Oak-Ln-Yorba-Linda-CA-92886/25396752_zpid/,House for sale,1 acre,43560.0,3 spaces,"$3,500,000","$6,991/mo","4,900",CA,4066 Live Oak Ln,1985,"$3,390,728",$714,92886
2,3,Newark,"7352 Birkdale Dr, Newark, CA 94560",null,Single Family,https://www.zillow.com/homedetails/7352-Birkdale-Dr-Newark-CA-94560/24922974_zpid/,House for sale,"8,816 sqft",8816.0,Attached Garage,"$799,000","$3,200/mo","1,196",CA,7352 Birkdale Dr,1963,"$837,047",$668,94560
3,4,Stockton,"1409 Chaparral Way, Stockton, CA 95209",$5/month,Single Family,https://www.zillow.com/homedetails/1409-Chaparral-Way-Stockton-CA-95209/15277553_zpid/,House for sale,"5,601 sqft",5601.0,2 spaces,"$384,997","$2,000/mo","2,134",CA,1409 Chaparral Way,1980,"$353,399",$180,95209
7,6,LosAngeles,"2383 Mandeville Canyon Rd, Los Angeles, CA 90049",$14/month,Single Family,https://www.zillow.com/homedetails/2383-Mandeville-Canyon-Rd-Los-Angeles-CA-90049/20558912_zpid/,House for sale,1.65 acres,71874.0,7 spaces,"$35,000,000","$29,584/mo","3,581",CA,2383 Mandeville Canyon Rd,1951,"$4,798,601","$9,774",90049
2,3,Tehachapi,"24300 Woodbine Ct, Tehachapi, CA 93561",$123/month,Single Family,https://www.zillow.com/homedetails/24300-Woodbine-Ct-Tehachapi-CA-93561/18981036_zpid/,House for sale,12.48 acres,543628.8,None,"$289,900","$1,400/mo","1,822",CA,24300 Woodbine Ct,1977,"$286,381",$159,93561
2,3,Lodi,"2107 W Tokay St, Lodi, CA 95242",None,Single Family,https://www.zillow.com/homedetails/2107-W-Tokay-St-Lodi-CA-95242/15258843_zpid/,House for sale,"5,519 sqft",5519.0,2 spaces,"$299,000","$1,695/mo","1,104",CA,2107 W Tokay St,1964,"$336,776",$271,95242
3,4,YorbaLinda,"23944 Old Pomegranate Rd, Yorba Linda, CA 92887",$115/month,Single Family,https://www.zillow.com/homedetails/23944-Old-Pomegranate-Rd-Yorba-Linda-CA-92887/38433725_zpid/,House for sale,"5,610 sqft",5610.0,3 spaces,"$825,000","$3,550/mo","2,147",CA,23944 Old Pomegranate Rd,1999,"$837,313",$384,92887
2,3,GrassValley,"16782 Brewer Rd, Grass Valley, CA 95949",None,Single Family,https://www.zillow.com/homedetails/16782-Brewer-Rd-Grass-Valley-CA-95949/19440896_zpid/,House for sale,7.88 acres,343252.8,2 spaces,"$375,000","$1,950/mo","1,690",CA,16782 Brewer Rd,1989,"$375,001",$222,95949
3,5,Orangevale,"9065 Cherry Ave, Orangevale, CA 95662",None,Single Family,https://www.zillow.com/homedetails/9065-Cherry-Ave-Orangevale-CA-95662/26019652_zpid/,House for sale,2.06 acres,89733.6,2 spaces,"$799,900","$1,995/mo","3,528",CA,9065 Cherry Ave,1932,"$793,503",$227,95662
3,4,Victorville,"13045 Norfolk Dr, Victorville, CA 92395",$83/month,Single Family,https://www.zillow.com/homedetails/13045-Norfolk-Dr-Victorville-CA-92395/55030153_zpid/,House for sale,"7,200 sqft",7200.0,2 spaces,"$338,000","$1,950/mo","2,438",CA,13045 Norfolk Dr,1991,"$337,865",$139,92395
2,4,Anaheim,"2668 W Baylor Ave, Anaheim, CA 92801",None,Single Family,https://www.zillow.com/homedetails/2668-W-Baylor-Ave-Anaheim-CA-92801/25151617_zpid/,House for sale,"6,176 sqft",6176.0,2 spaces,"$599,900","$3,100/mo","1,543",CA,2668 W Baylor Ave,1958,"$612,085",$389,92801
4,5,Roseville,"4941 Waterstone Dr, Roseville, CA 95747",$354/month,Single Family,https://www.zillow.com/homedetails/4941-Waterstone-Dr-Roseville-CA-95747/63466740_zpid/,House for sale,0.64 acres,27878.4,3 spaces,"$1,250,000","$3,975/mo","4,856",CA,4941 Waterstone Dr,2005,"$1,210,649",$257,95747
2,4,Bakersfield,"6438 New Dawn Ct, Bakersfield, CA 93308",null,Single Family,https://www.zillow.com/homedetails/6438-New-Dawn-Ct-Bakersfield-CA-93308/61356026_zpid/,House for sale,"8,712 sqft",8712.0,3 spaces,"$279,000","$1,650/mo","1,801",CA,6438 New Dawn Ct,2003,"$279,003",$155,93308
2,3,Felton,"339 Fall Creek Dr, Felton, CA 95018",null,Single Family,https://www.zillow.com/homedetails/339-Fall-Creek-Dr-Felton-CA-95018/16152478_zpid/,House for sale,"5,706 sqft",5706.0,Attached Garage,"$650,000","$2,650/mo","1,148",CA,339 Fall Creek Dr,1941,"$737,100",$566,95018
3,4,Riverside,"4073 Cedar St, Riverside, CA 92501",None,Single Family,https://www.zillow.com/homedetails/4073-Cedar-St-Riverside-CA-92501/17841235_zpid/,House for sale,"8,276 sqft",8276.0,On street,"$475,000","$2,195/mo","1,734",CA,4073 Cedar St,1900,"$475,000",$274,92501
3,4,CanyonLake,"31505 Emperor Dr, Canyon Lake, CA 92587",$261/month,Single Family,https://www.zillow.com/homedetails/31505-Emperor-Dr-Canyon-Lake-CA-92587/17931600_zpid/,House for sale,"7,840 sqft",7840.0,3 spaces,"$609,000","$2,500/mo","2,351",CA,31505 Emperor Dr,1989,"$594,766",$259,92587
7,5,Napa,"4227 Big Ranch Rd, Napa, CA",null,Single Family,https://www.zillow.com/homedetails/4227-Big-Ranch-Rd-Napa-CA-94558/19406291_zpid/,New construction,4 acres,174240.0,2 spaces,"$12,000,000","$7,000/mo","6,900",CA,4227 Big Ranch Rd,2020,"$10,958,566","$1,739",null
4,5,SanDiego,"4501 Rhode Island St, San Diego, CA",null,Single Family,https://www.zillow.com/homedetails/4501-Rhode-Island-St-San-Diego-CA-92116/16952623_zpid/,New construction,5.27 acres,229561.2,4 spaces,"$1,999,999","$8,037/mo","3,607",CA,4501 Rhode Island St,2020,"$1,918,382",$554,null
3,3,LosAngeles,"1202 Schick Ave, Los Angeles, CA 90063",null,Single Family,https://www.zillow.com/homedetails/1202-Schick-Ave-Los-Angeles-CA-90063/20647070_zpid/,House for sale,"5,841 sqft",5841.0,2 spaces,"$659,000","$2,963/mo","1,711",CA,1202 Schick Ave,1994,"$665,533",$385,90063
2,3,Oroville,"155 Feathervale Dr, Oroville, CA 95966",null,Single Family,https://www.zillow.com/homedetails/155-Feathervale-Dr-Oroville-CA-95966/66118538_zpid/,For sale by owner,0.94 acres,40946.4,2 spaces,"$249,000",$900/mo,"2,153",CA,155 Feathervale Dr,1977,"$279,121",$116,95966
3,4,DiamondBar,"24412 Rosegate Pl, Diamond Bar, CA 91765",None,Single Family,https://www.zillow.com/homedetails/24412-Rosegate-Pl-Diamond-Bar-CA-91765/21664018_zpid/,House for sale,"9,822 sqft",9822.0,2 spaces,"$799,000","$2,650/mo","2,307",CA,24412 Rosegate Pl,1985,"$747,488",$346,91765
4,4,LosAngeles,"3415 Bonnie Hill Dr, Los Angeles, CA 90068",null,Single Family,https://www.zillow.com/homedetails/3415-Bonnie-Hill-Dr-Los-Angeles-CA-90068/20045078_zpid/,House for sale,0.27 acres,11761.2,3 spaces,"$1,599,000","$6,704/mo","2,770",CA,3415 Bonnie Hill Dr,1950,"$1,599,002",$577,90068
11,6,Chatsworth,"22512 Zaltana St, Chatsworth, CA 91311",$528/month,Single Family,https://www.zillow.com/homedetails/22512-Zaltana-St-Chatsworth-CA-91311/60115131_zpid/,House for sale,2.03 acres,88426.8,5 spaces,"$2,675,000",null,"9,089",CA,22512 Zaltana St,2001,null,$294,91311
2,3,Ventura,"9956 Big Horn St, Ventura, CA 93004",$24/month,Single Family,https://www.zillow.com/homedetails/9956-Big-Horn-St-Ventura-CA-93004/16348811_zpid/,House for sale,"9,509 sqft",9509.0,2 spaces,"$610,000","$2,900/mo","1,223",CA,9956 Big Horn St,1985,"$610,002",$499,93004
2,3,Lenwood,"25667 3rd St, Lenwood, CA 92311",null,Single Family,https://www.zillow.com/homedetails/25667-3rd-St-Lenwood-CA-92311/17452267_zpid/,House for sale,"7,413 sqft",7413.0,2 spaces,"$189,900","$1,400/mo","1,469",CA,25667 3rd St,1992,"$198,160",$129,92311
3,4,PasoRobles,"414 Red River Dr, Paso Robles, CA 93446",None,Single Family,https://www.zillow.com/homedetails/414-Red-River-Dr-Paso-Robles-CA-93446/59396394_zpid/,House for sale,"7,000 sqft",7000.0,3 spaces,"$685,000","$2,900/mo","2,669",CA,414 Red River Dr,2004,"$679,106",$257,93446
2,4,PlumasLake,"2364 Independence Trl, Plumas Lake, CA 95961",null,Single Family,https://www.zillow.com/homedetails/2364-Independence-Trl-Plumas-Lake-CA-95961/63070091_zpid/,House for sale,0.25 acres,10890.0,2 spaces,"$329,900","$1,800/mo","1,621",CA,2364 Independence Trl,2004,"$326,604",$204,95961
2,4,Riverside,"183 Sir Bedivere Dr, Riverside, CA",null,Single Family,https://www.zillow.com/homedetails/183-Sir-Bedivere-Dr-Riverside-CA-92507/83133269_zpid/,New construction,15.32 acres,667339.2,Carport,"$137,400",null,"1,511",CA,183 Sir Bedivere Dr,2020,null,$91,null
