Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,2,OakWalk,"The Griffin - Plan 1A Plan, Oak Walk",$283/month,Townhouse,https://www.zillow.com/community/oak-walk/2082078355_zpid/,New construction,No Data,null,2 spaces,"$670,659+",null,"1,326",null,The Griffin - Plan 1A Plan,2020,null,$506,null
3,3,VintageatOldTownTustin,"Hudson Plan 1 Plan, Vintage at Old Town Tustin",null,Townhouse,https://www.zillow.com/community/vintage-at-old-town-tustin/2082501085_zpid/,New construction,No Data,null,2 spaces,"$652,902+",null,"1,703",null,Hudson Plan 1 Plan,2020,null,$383,null
4,3,CandlewoodVillas,"3 Plan, Candlewood Villas",null,Townhouse,https://www.zillow.com/community/candlewood-villas/2083038171_zpid/,New construction,No Data,null,2 spaces,"$749,990+",null,"1,789",null,3 Plan,2020,null,$419,null
3,3,Lewis+Mason,"Mason 1 Plan, Lewis+Mason",null,Townhouse,https://www.zillow.com/community/lewis-mason/2090604960_zpid/,New construction,No Data,null,2 spaces,"$699,825+",null,"1,858",null,Mason 1 Plan,2020,null,$377,null
4,4,Highline,"Plan 1B Plan, Highline",$308/month,Townhouse,https://www.zillow.com/community/highline/2082469079_zpid/,New construction,No Data,null,2 spaces,"$532,900+",null,"2,026",null,Plan 1B Plan,2020,null,$263,null
3,2,SolsticeatDayCreekSquare,"Residence 1295 Plan, Solstice at Day Creek Square",null,Townhouse,https://www.zillow.com/community/solstice-at-day-creek-square/2085199163_zpid/,New construction,No Data,null,2 spaces,"$414,575+",null,"1,295",null,Residence 1295 Plan,2020,null,$320,null
4,2,Horizons,"2 Plan, Horizons",null,Townhouse,https://www.zillow.com/community/horizons/2081136243_zpid/,New construction,No Data,null,2 spaces,"$549,900+",null,"1,858",null,2 Plan,2020,null,$296,null
2,3,IndigoatCanvasParkatNewHaven,"Residence 3X Plan, Indigo at Canvas Park at New Haven",null,Townhouse,https://www.zillow.com/community/indigo-at-canvas-park-at-new-haven/2080441895_zpid/,New construction,No Data,null,2 spaces,"$418,880+",null,"1,517",null,Residence 3X Plan,2020,null,$276,null
4,3,PalazzoatDayCreekSquare,"Residence 2183 Plan, Palazzo at Day Creek Square",null,Townhouse,https://www.zillow.com/community/palazzo-at-day-creek-square/2085277405_zpid/,New construction,No Data,null,2 spaces,"$624,380+",null,"2,183",null,Residence 2183 Plan,2020,null,$286,null
3,2,VerandaatDayCreekSquare,"Residence 1561 Plan, Veranda at Day Creek Square",null,Townhouse,https://www.zillow.com/community/veranda-at-day-creek-square/2085277423_zpid/,New construction,No Data,null,2 spaces,"$446,880+",null,"1,561",null,Residence 1561 Plan,2020,null,$286,null
4,3,Goleta-Winslowe,"Residence 7 Plan, Goleta - Winslowe",$200/month,Townhouse,https://www.zillow.com/community/goleta-winslowe/2082744024_zpid/,New construction,No Data,null,2 spaces,"$761,990+",null,"1,801",null,Residence 7 Plan,2020,null,$423,null
3,3,RiceRanch,"Verbena Plan, Rice Ranch",null,Townhouse,https://www.zillow.com/community/rice-ranch/2085742167_zpid/,New construction,No Data,null,2 spaces,"$509,990+",null,"2,041",null,Verbena Plan,2020,null,$250,null
3,3,VineyardVillage,"Plan 8 Plan, Vineyard Village",$200/month,Townhouse,https://www.zillow.com/community/vineyard-village/2097607795_zpid/,New construction,No Data,null,2 spaces,"$588,000+",null,"1,902",null,Plan 8 Plan,2020,null,$309,null
3,4,TheWesterly,"Plan Six Plan, The Westerly",null,Townhouse,https://www.zillow.com/community/westerly/2089228915_zpid/,New construction,No Data,null,2 spaces,"$616,990+",null,"2,214",null,Plan Six Plan,2020,null,$279,null
3,3,AptosVillage,"Building 11 Plan, Aptos Village",null,Townhouse,https://www.zillow.com/community/aptos-village/2082756782_zpid/,New construction,No Data,null,2 spaces,"$1,150,000+",null,"1,843",null,Building 11 Plan,2020,null,$624,null
3,3,Fremont,"37321 Hatchling Ter, Fremont, CA",null,null,https://www.zillow.com/community/renato/2094437510_zpid/,New construction,null,null,null,"$899,990+",null,"1,774",CA,37321 Hatchling Ter,null,null,null,null
4,3,EllisonPark,"Plan 3 Plan, Ellison Park",null,Townhouse,https://www.zillow.com/community/ellison-park/2083554466_zpid/,New construction,No Data,null,2 spaces,"$1,269,000+",null,"2,219",null,Plan 3 Plan,2020,null,$572,null
3,3,UnionCity-TheSugarmill,"Plan 6 Plan, Union City - The Sugarmill",null,Townhouse,https://www.zillow.com/community/union-city-sugarmill/2083704396_zpid/,New construction,No Data,null,2 spaces,"$879,990+",null,"1,964",null,Plan 6 Plan,2020,null,$448,null
2,2,MetroIIatCommunicationsHill,"Plan 1 Plan, Metro II at Communications Hill",null,Townhouse,https://www.zillow.com/community/metro-ii-at-communications-hill/2085929681_zpid/,New construction,No Data,null,2 spaces,"$946,202+",null,"1,658",null,Plan 1 Plan,2020,null,$571,null
4,4,Santorini,"PLAN 2B Plan, Santorini",null,Townhouse,https://www.zillow.com/community/santorini/2081415624_zpid/,New construction,No Data,null,2 spaces,"$1,489,187+",null,"1,749",null,PLAN 2B Plan,2020,null,$851,null
4,3,SynergyatSage,"Plan 4 Plan, Synergy at Sage",null,Townhouse,https://www.zillow.com/community/synergy-at-sage/2085742372_zpid/,New construction,No Data,null,2 spaces,"$757,372+",null,"1,508",null,Plan 4 Plan,2020,null,$502,null
3,3,LeewardatAlamedaPoint,"Residence 2 Plan, Leeward at Alameda Point",null,Townhouse,https://www.zillow.com/community/leeward-at-alameda-point/2081063425_zpid/,New construction,No Data,null,2 spaces,"$1,140,000+",null,"2,447",null,Residence 2 Plan,2020,null,$466,null
