Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												1 Bed
														–
3 Beds										","
												1 Bed
														–
2 Beds										"
Parker,Berkeley,Apartment,CA,94704,"[{'bedroom_type': 'Studio', 'price': '$2,925'}, {'bedroom_type': '1 Bed', 'price': '$2,920'}, {'bedroom_type': '2 Beds', 'price': '$4,660'}, {'bedroom_type': '3 Beds', 'price': '$7,250'}]","2598-2660 Shattuck Ave, Berkeley, CA 94704",https://www.apartments.com/parker-berkeley-ca/2tzdtsc/,"$2,925 ","$2,920 ","$4,660 ","$7,250 ",,,
Fountain Plaza,San Jose,Apartment,CA,95110,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,152'}, {'bedroom_type': '2 Beds', 'price': '$2,900'}, {'bedroom_type': '3 Beds', 'price': '$3,955'}]","190 Ryland St, San Jose, CA 95110",https://www.apartments.com/fountain-plaza-san-jose-ca/0bmxsg1/,,"$2,152 ","$2,900 ","$3,955 ",,,
CITRA,Sunnyvale,Apartment,CA,94087,"[{'bedroom_type': '1 Bed', 'price': '$2,550'}, {'bedroom_type': '2 Beds', 'price': '$3,420'}]","745 S Bernardo Ave, Sunnyvale, CA 94087",https://www.apartments.com/citra-sunnyvale-ca/d71y2lh/,,"$2,550 ","$3,420 ",,,,
Country Brook Rental Condos,San Ramon,Apartment,CA,94583,"[{'bedroom_type': '1 Bed', 'price': '$2,120'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}]","12355 Alcosta Blvd, San Ramon, CA 94583",https://www.apartments.com/country-brook-rental-condos-san-ramon-ca/04m18g2/,,"$2,120 ","$2,425 ",,,,
TERRA MARTINEZ,Martinez,Apartment,CA,94553,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}, {'bedroom_type': '2 Beds', 'price': '$1,895'}]","142 Fig Tree Ln, Martinez, CA 94553",https://www.apartments.com/terra-martinez-martinez-ca/hbmpw73/,,"$1,800 ","$1,895 ",,,,
The Village Mission Valley,San Diego,Apartment,CA,92124,"[{'bedroom_type': '1 Bed', 'price': '$1,925'}, {'bedroom_type': '2 Beds', 'price': '$2,335'}, {'bedroom_type': '3 Beds', 'price': '$3,060'}]","6555 Ambrosia Dr, San Diego, CA 92124",https://www.apartments.com/the-village-mission-valley-san-diego-ca/4pt04hj/,,"$1,925 ","$2,335 ","$3,060 ",,,
The Chadwick,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': 'Studio', 'price': '$1,425'}, {'bedroom_type': '1 Bed', 'price': '$1,951'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}]","209 S Westmoreland Ave, Los Angeles, CA 90004",https://www.apartments.com/the-chadwick-los-angeles-ca/jzr53m6/,"$1,425 ","$1,951 ","$2,425 ",,,,
Parkview Terrace,Redlands,Apartment,CA,92373,"[{'bedroom_type': '1 Bed', 'price': '$1,642'}, {'bedroom_type': '2 Beds', 'price': '$1,818'}]","1601 Barton Rd, Redlands, CA 92373",https://www.apartments.com/parkview-terrace-redlands-ca/3fdq54g/,,"$1,642 ","$1,818 ",,,,
Jefferson Rise at Platinum Park,Anaheim,Apartment,CA,92805,"[{'bedroom_type': 'Studio', 'price': '$2,007'}, {'bedroom_type': '1 Bed', 'price': '$2,078'}, {'bedroom_type': '2 Beds', 'price': '$2,455'}, {'bedroom_type': '3 Beds', 'price': '$3,832'}]","1910 S Union St, Anaheim, CA 92805",https://www.apartments.com/jefferson-rise-at-platinum-park-anaheim-ca/tzkyx58/,"$2,007 ","$2,078 ","$2,455 ","$3,832 ",,,
Catherine,Santa Monica,Apartment,CA,90404,"[{'bedroom_type': 'Studio', 'price': '$3,385'}, {'bedroom_type': '1 Bed', 'price': '$3,785'}, {'bedroom_type': '2 Beds', 'price': '$6,215'}, {'bedroom_type': '3 Beds', 'price': '$7,085'}]","800 Colorado Blvd, Santa Monica, CA 90404",https://www.apartments.com/catherine-santa-monica-ca/vsrydjg/,"$3,385 ","$3,785 ","$6,215 ","$7,085 ",,,
