Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
The Modern Cactus,Palm Springs,Apartment,CA,92262,"[{'bedroom_type': 'Studio', 'price': '$1,150'}, {'bedroom_type': '1 Bed', 'price': '$1,325'}, {'bedroom_type': '2 Beds', 'price': '$1,600'}]","311 S Sunrise Way, Palm Springs, CA 92262",https://www.apartments.com/the-modern-cactus-palm-springs-ca/gyqpbpw/,"$1,150","$1,325","$1,600",,,,,
Marina Playa,Santa Clara,Apartment,CA,95051,"[{'bedroom_type': '1 Bed', 'price': '$2,161'}, {'bedroom_type': '2 Beds', 'price': '$2,816'}, {'bedroom_type': '3 Beds', 'price': '$3,576'}]","3500 Granada Ave, Santa Clara, CA 95051",https://www.apartments.com/marina-playa-santa-clara-ca/d6tg4dk/,,"$2,161","$2,816","$3,576",,,,
Sofi at 3rd,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$1,759'}, {'bedroom_type': '1 Bed', 'price': '$1,831'}, {'bedroom_type': '2 Beds', 'price': '$2,233'}]","225 W 3rd St, Long Beach, CA 90802",https://www.apartments.com/sofi-at-3rd-long-beach-ca/5jcjlvm/,"$1,759","$1,831","$2,233",,,,,
Avalon Glendora,Glendora,Apartment,CA,91740,"[{'bedroom_type': '1 Bed', 'price': '$1,921'}, {'bedroom_type': '2 Beds', 'price': '$2,275'}, {'bedroom_type': '3 Beds', 'price': '$3,080'}]","121 E Route 66, Glendora, CA 91740",https://www.apartments.com/avalon-glendora-glendora-ca/zlcf57x/,,"$1,921","$2,275","$3,080",,,,
Theatre Square Apartments,Petaluma,Apartment,CA,94952,"[{'bedroom_type': 'Studio', 'price': '$2,090'}, {'bedroom_type': '1 Bed', 'price': '$1,980'}, {'bedroom_type': '2 Beds', 'price': '$2,625'}, {'bedroom_type': '3 Beds', 'price': ''}]","101 2nd St, Petaluma, CA 94952",https://www.apartments.com/theatre-square-apartments-petaluma-ca/8vm8gk0/,"$2,090","$1,980","$2,625",,,,,
Entrada Apartments,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': '$1,738'}, {'bedroom_type': '1 Bed', 'price': '$1,820'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$3,285'}]","453 13th St, San Diego, CA 92101",https://www.apartments.com/entrada-apartments-san-diego-ca/peg5vbv/,"$1,738","$1,820",,"$3,285",,,,
Bluwater Crossing,Carlsbad,Apartment,CA,92011,"[{'bedroom_type': '1 Bed', 'price': '$3,135'}, {'bedroom_type': '2 Beds', 'price': '$5,090'}]","6800 Embarcadero Ln, Carlsbad, CA 92011",https://www.apartments.com/bluwater-crossing-carlsbad-ca/rcelt90/,,"$3,135","$5,090",,,,,
The Grove,San Jose,Apartment,CA,95128,"[{'bedroom_type': 'Studio', 'price': '$1,955'}, {'bedroom_type': '1 Bed', 'price': '$1,954'}, {'bedroom_type': '2 Beds', 'price': '$2,396'}, {'bedroom_type': '3 Beds', 'price': '$3,443'}]","1919 Fruitdale Ave, San Jose, CA 95128",https://www.apartments.com/the-grove-san-jose-ca/lcg228f/,"$1,955","$1,954","$2,396","$3,443",,,,
Charter Oaks Apartments,Thousand Oaks,Apartment,CA,91360,"[{'bedroom_type': 'Studio', 'price': '$1,415'}, {'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,145'}]","887 Saint Charles Dr, Thousand Oaks, CA 91360",https://www.apartments.com/charter-oaks-apartments-thousand-oaks-ca/2fgllhb/,"$1,415","$1,895","$2,145",,,,,
Harborview,San Pedro,Apartment,CA,90732,"[{'bedroom_type': '1 Bed', 'price': '$2,140'}, {'bedroom_type': '2 Beds', 'price': '$2,435'}, {'bedroom_type': '3 Beds', 'price': ''}]","1286 W Capitol Dr, San Pedro, CA 90732",https://www.apartments.com/harborview-san-pedro-ca/1e0b8z5/,,"$2,140","$2,435",,,,,
Franklin 299,Redwood City,Apartment,CA,94063,"[{'bedroom_type': 'Studio', 'price': '$2,995'}, {'bedroom_type': '1 Bed', 'price': '$2,995'}, {'bedroom_type': '2 Beds', 'price': '$3,995'}]","299 Franklin St, Redwood City, CA 94063",https://www.apartments.com/franklin-299-redwood-city-ca/lpr5ejg/,"$2,995","$2,995","$3,995",,,,,
Camden Glendale,Glendale,Apartment,CA,91204,"[{'bedroom_type': 'Studio', 'price': '$1,769'}, {'bedroom_type': '1 Bed', 'price': '$2,139'}, {'bedroom_type': '2 Beds', 'price': '$2,689'}]","3900 San Fernando Rd, Glendale, CA 91204",https://www.apartments.com/camden-glendale-glendale-ca/kj6fsxc/,"$1,769","$2,139","$2,689",,,,,
Torrey Pines Apartment Homes,West Covina,Apartment,CA,91790,"[{'bedroom_type': '2 Beds', 'price': '$1,810'}]","851 S Sunset Ave, West Covina, CA 91790",https://www.apartments.com/torrey-pines-apartment-homes-west-covina-ca/qn94fky/,,,"$1,810",,,,,
Park Heights Apartments,Highland,Apartment,CA,92346,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,495'}]","2011 Arden Ave, Highland, CA 92346",https://www.apartments.com/park-heights-apartments-highland-ca/6hlhhys/,,,"$1,495",,,,,
