Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,1 Bed,2 Beds,3 Beds,Studio,4 Beds,4+ Beds,"
												1 Bed
														–
2 Beds										","
												1 Bed
										","
												Studio
														–
2 Beds										","
												2 Beds
										","
Studio												","
4 Beds												","
												1 Bed
														–
3 Beds										","
2 																–
4 Beds												"
UCE,Fullerton,Apartment,CA,92831,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$2,100'}]","600 Langsdorf Dr, Fullerton, CA 92831",https://www.apartments.com/uce-fullerton-ca/kl874g8/,"$1,550 ","$2,100 ",,,,,,,,,,,,
Sierra Heights,Rancho Cucamonga,Apartment,CA,91737,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,668'}]","10801 Lemon Ave, Rancho Cucamonga, CA 91737",https://www.apartments.com/sierra-heights-rancho-cucamonga-ca/0dx3h43/,,,"$2,668 ",,,,,,,,,,,
Tempo at Riverpark,Oxnard,Apartment,CA,93036,"[{'bedroom_type': '1 Bed', 'price': '$1,955'}, {'bedroom_type': '2 Beds', 'price': '$2,399'}, {'bedroom_type': '3 Beds', 'price': '$3,199'}]","450 Forest Park Blvd, Oxnard, CA 93036",https://www.apartments.com/tempo-at-riverpark-oxnard-ca/c7xhslf/,"$1,955 ","$2,399 ","$3,199 ",,,,,,,,,,,
Luxe 1801,Alhambra,Apartment,CA,91803,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$2,400'}, {'bedroom_type': '3 Beds', 'price': '$2,695'}]","1801 Garvey Ave, Alhambra, CA 91803",https://www.apartments.com/luxe-1801-alhambra-ca/rdny3q2/,"$1,900 ","$2,400 ","$2,695 ",,,,,,,,,,,
Broadstone Apartment Homes,San Bernardino,Apartment,CA,92407,"[{'bedroom_type': '1 Bed', 'price': '$1,435'}, {'bedroom_type': '2 Beds', 'price': '$1,515'}]","1930 W College Ave, San Bernardino, CA 92407",https://www.apartments.com/broadstone-apartment-homes-san-bernardino-ca/y13r95r/,"$1,435 ","$1,515 ",,,,,,,,,,,,
Hazel Park - SPECIAL 2 MONTHS FREE!!!*,Sherman Oaks,Apartment,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","5008 Hazeltine Ave, Sherman Oaks, CA 91423",https://www.apartments.com/hazel-park-special-2-months-free-sherman-oaks-ca/4bfhfgh/,,"$2,850 ",,,,,,,,,,,,
Urbana,Chula Vista,Apartment,CA,91910,"[{'bedroom_type': '1 Bed', 'price': '$1,886'}, {'bedroom_type': '2 Beds', 'price': '$2,373'}]","393 H St, Chula Vista, CA 91910",https://www.apartments.com/urbana-chula-vista-ca/dv287nk/,"$1,886 ","$2,373 ",,,,,,,,,,,,
The Courtyards & Tierra Palms,Norwalk,Apartment,CA,90650,"[{'bedroom_type': '1 Bed', 'price': '$1,645'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,350'}]","12301-12401 Studebaker Rd, Norwalk, CA 90650",https://www.apartments.com/the-courtyards-tierra-palms-norwalk-ca/5fg7evp/,"$1,645 ","$1,950 ","$2,350 ",,,,,,,,,,,
Lakewood Manor,Lakewood,Apartment,CA,90712,"[{'bedroom_type': 'Studio', 'price': '$1,505'}, {'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$1,930'}, {'bedroom_type': '3 Beds', 'price': '$2,360'}]","4907 1/4 Hayter Ave, Lakewood, CA 90712",https://www.apartments.com/lakewood-manor-lakewood-ca/1sbhf27/,"$1,625 ","$1,930 ","$2,360 ","$1,505 ",,,,,,,,,,
Villa Serrano,Anaheim,Apartment,CA,92804,"[{'bedroom_type': '1 Bed', 'price': '$1,665'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,330'}]","201 S Magnolia Ave, Anaheim, CA 92804",https://www.apartments.com/villa-serrano-anaheim-ca/ckfkr5g/,"$1,665 ","$1,950 ","$2,330 ",,,,,,,,,,,
