City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio
Thousand Oaks,Condos,CA,91320,"[{'bedroom_type': '1 Bed', 'price': '$2,490'}]","Thousand Oaks, CA 91320",https://www.apartments.com/212-heavenly-valley-rd-thousand-oaks-ca/95hz2h7/,1 BA,759 Sq Ft,759,12 Month Lease,Available Now,"$2,490",,,
San Francisco,Condos,CA,94109,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","San Francisco, CA 94109",https://www.apartments.com/1510-leavenworth-st-san-francisco-ca-unit-1510/9qhr5j4/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$5,200",,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]","Santa Monica, CA 90405",https://www.apartments.com/519-raymond-ave-santa-monica-ca/s11set4/,1 BA,954 Sq Ft,954,12 Month Lease,Available Now,,,"$3,250",
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}]","Santa Monica, CA 90405",https://www.apartments.com/2301-14th-st-santa-monica-ca/dmc2qnh/,1 BA,675 Sq Ft,675,12 Month Lease,Available Now,"$2,395",,,
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$3,700'}]","Los Angeles, CA 90291",https://www.apartments.com/618-mildred-ave-los-angeles-ca/rmbs1k0/,1 BA,800 Sq Ft,800,12 Month Lease,Aug 1,"$3,700",,,
San Francisco,Condos,CA,94118,"[{'bedroom_type': '3 Beds', 'price': '$6,200'}]","San Francisco, CA 94118",https://www.apartments.com/345-maple-st-san-francisco-ca-unit-no-number/ndpneen/,2 BAs,"1,360 Sq Ft","1,360",12 Month Lease,Available Now,,"$6,200",,
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,900'}]","Los Angeles, CA 90291",https://www.apartments.com/712-5th-ave-los-angeles-ca/dmnee6j/,1 BA,420 Sq Ft,420,12 Month Lease,Available Now,"$2,900",,,
San Francisco,Condos,CA,94123,"[{'bedroom_type': '2 Beds', 'price': '$5,150'}]","San Francisco, CA 94123",https://www.apartments.com/2791-greenwich-st-san-francisco-ca/pxfqxer/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$5,150",
Marina del Rey,Condos,CA,90292,"[{'bedroom_type': '2 Beds', 'price': '$4,299'}]","Marina del Rey, CA 90292",https://www.apartments.com/3710-esplanade-marina-del-rey-ca/r6fz5v1/,1 BA,975 Sq Ft,975,12 Month Lease,Available Now,,,"$4,299",
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$6,250'}]","Los Angeles, CA 90291",https://www.apartments.com/245-main-st-los-angeles-ca-unit-214/js0jmz6/,2 BAs,"1,245 Sq Ft","1,245",6 Month Lease,Available Now,,,"$6,250",
Los Angeles,Condos,CA,90272,"[{'bedroom_type': '2 Beds', 'price': '$5,750'}]","Los Angeles, CA 90272",https://www.apartments.com/17366-sunset-blvd-los-angeles-ca-unit-304b/hx722j2/,1 BA,700 Sq Ft,700,12 Month Lease,Jul 13,,,"$5,750",
San Francisco,Condos,CA,94110,"[{'bedroom_type': '1 Bed', 'price': '$4,150'}]","San Francisco, CA 94110",https://www.apartments.com/29-cumberland-st-san-francisco-ca-unit-29/5cl9tkp/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Jul 5,"$4,150",,,
Culver City,Condos,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$3,495'}]","Culver City, CA 90230",https://www.apartments.com/4505-s-slauson-ave-culver-city-ca/ek9rgln/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,495",,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","Los Angeles, CA 90026",https://www.apartments.com/931-everett-st-los-angeles-ca/22wflz8/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,"$3,000",
Encinitas,Condos,CA,92024,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}]","Encinitas, CA 92024",https://www.apartments.com/687-s-coast-hwy-encinitas-ca-unit-204/1mlly17/,1 BA,956 Sq Ft,956,12 Month Lease,Available Now,"$2,950",,,
