City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,4 Beds
San Francisco,Condos,CA,94117,"[{'bedroom_type': '2 Beds', 'price': '$4,750'}]","San Francisco, CA 94117",https://www.apartments.com/1377-fulton-st-san-francisco-ca/p60qvgv/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Jul 10,"$4,750",,,,
San Diego,Condos,CA,92101,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","San Diego, CA 92101",https://www.apartments.com/1225-island-ave-san-diego-ca-unit-101/9q1yfz5/,2 BAs,"1,988 Sq Ft","1,988",6 Month Lease,Available Now,"$3,100",,,,
Arcadia,Condos,CA,91007,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Arcadia, CA 91007",https://www.apartments.com/1010-s-golden-w-ave-arcadia-ca-unit-c/y844jdr/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,100",,,,
South Lake Tahoe,Condos,CA,96150,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]","South Lake Tahoe, CA 96150",https://www.apartments.com/1223-bonanza-ave-south-lake-tahoe-ca/3jsy39e/,1 BA,850 Sq Ft,850,3 Month Lease,Available Now,"$1,700",,,,
Laguna Woods,Condos,CA,92637,"[{'bedroom_type': '1 Bed', 'price': '$2,795'}]","Laguna Woods, CA 92637",https://www.apartments.com/24055-paseo-del-lago-laguna-woods-ca/tf54zcc/,2 BAs,975 Sq Ft,975,12 Month Lease,Available Now,,"$2,795",,,
Torrance,Condos,CA,90502,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]","1014 W 222nd St, Torrance, CA 90502",https://www.apartments.com/1014-w-222nd-st-torrance-ca/nf71e2q/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,"$1,650",,,
Los Gatos,Condos,CA,95032,"[{'bedroom_type': '1 Bed', 'price': '$2,800'}]","Los Gatos, CA 95032",https://www.apartments.com/420-alberto-way-los-gatos-ca/46z69th/,1 BA,764 Sq Ft,764,3 Month Lease,Available Now,,"$2,800",,,
Los Angeles,Condos,CA,90063,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","Los Angeles, CA 90063",https://www.apartments.com/3733-bostwick-st-los-angeles-ca/lsx50cg/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,850",,,,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","1282 N Sweetzer Ave, West Hollywood, CA 90069",https://www.apartments.com/1282-n-sweetzer-ave-west-hollywood-ca/x6djd3m/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,950",,,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]","324 Beloit Ave, Los Angeles, CA 90049",https://www.apartments.com/324-beloit-ave-los-angeles-ca/b3kbss9/,1½ BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,"$2,250",,,
Sacramento,Condos,CA,95811,"[{'bedroom_type': '1 Bed', 'price': '$1,200'}]","Sacramento, CA 95811",https://www.apartments.com/2030-c-st-sacramento-ca/8qw81b2/,1 BA,575 Sq Ft,575,12 Month Lease,Available Now,,"$1,200",,,
