City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
Los Angeles,Condos,CA,90057,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","252 S Burlington Ave, Los Angeles, CA 90057",https://www.apartments.com/252-s-burlington-ave-los-angeles-ca/5cc64pn/,2½ BAs,"1,309 Sq Ft","1,309",12 Month Lease,Available Now,"$3,200",,,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","Long Beach, CA 90802",https://www.apartments.com/645-chestnut-ave-long-beach-ca-unit-212/404shxh/,1½ BAs,870 Sq Ft,870,12 Month Lease,Available Now,,"$1,950",,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$1,075'}]","Long Beach, CA 90802",https://www.apartments.com/335-pacific-ave-long-beach-ca/ppmgpbt/,1 BA,200 Sq Ft,200,1 Month Lease,Available Now,,,"$1,075",,
San Francisco,Condos,CA,94121,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]","San Francisco, CA 94121",https://www.apartments.com/770-great-hwy-san-francisco-ca/tftw5j8/,1 BA,144 Sq Ft,144,12 Month Lease,Available Now,,,,"$1,500",
Santa Ana,Condos,CA,92707,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]","Santa Ana, CA 92707",https://www.apartments.com/1040-w-macarthur-blvd-santa-ana-ca-unit-80/vg0w0tg/,1 BA,642 Sq Ft,642,12 Month Lease,Available Now,,,,"$1,650",
Berkeley,Condos,CA,94703,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Berkeley, CA 94703",https://www.apartments.com/1801-university-ave-berkeley-ca-unit-203/zh5pp3w/,1 BA,620 Sq Ft,620,12 Month Lease,Oct 1,,"$2,800",,,
Imperial Beach,Condos,CA,91932,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Imperial Beach, CA 91932",https://www.apartments.com/155-palm-ave-imperial-beach-ca-unit-155/84c9hm0/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Aug 10,,"$2,400",,,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '1 Bed', 'price': '$1,799'}]","1034 N Croft Ave, West Hollywood, CA 90069",https://www.apartments.com/1034-n-croft-ave-west-hollywood-ca/e4hsjfq/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$1,799",
Manhattan Beach,Condos,CA,90266,"[{'bedroom_type': '2 Beds', 'price': '$3,595'}]","420 Marine Pl, Manhattan Beach, CA 90266",https://www.apartments.com/420-marine-pl-manhattan-beach-ca/z59sdpz/,2 BAs,950 Sq Ft,950,12 Month Lease,Jul 11,,"$3,595",,,
San Diego,Condos,CA,92106,"[{'bedroom_type': '1 Bed', 'price': '$1,475'}]","1021 Scott St, San Diego, CA 92106",https://www.apartments.com/1021-scott-st-san-diego-ca-unit-107/kfk3bq9/,1 BA,300 Sq Ft,300,12 Month Lease,Available Now,,,,"$1,475",
