City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,4+ Beds
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$2,895'}]","10947 S Van Ness Ave, Inglewood, CA 90303",https://www.apartments.com/10947-s-van-ness-ave-inglewood-ca/dfy9j3k/,2 BAs,"1,201 Sq Ft","1,201",12 Month Lease,Available Now,"$2,895",,,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","1157 Palms Blvd, Los Angeles, CA 90291",https://www.apartments.com/1157-palms-blvd-los-angeles-ca/jvzc8y4/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$3,995",,,
Los Angeles,Houses,CA,91304,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]","Los Angeles, CA 91304",https://www.apartments.com/8360-denise-ln-los-angeles-ca/ve26pxd/,2½ BAs,"1,954 Sq Ft","1,954",12 Month Lease,Available Now,,,"$3,500",,
Los Angeles,Houses,CA,91303,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]","Los Angeles, CA 91303",https://www.apartments.com/22057-vanowen-st-los-angeles-ca/p4zcnjv/,2 BAs,"1,268 Sq Ft","1,268",,Available Now,"$2,900",,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '4 Beds', 'price': '$8,000'}]","Los Angeles, CA 90068",https://www.apartments.com/2341-holly-dr-los-angeles-ca/hbtsjq2/,3½ BAs,"3,147 Sq Ft","3,147",12 Month Lease,Aug 1,,,"$8,000",,
Long Beach,Houses,CA,90803,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","Long Beach, CA 90803",https://www.apartments.com/272-termino-ave-long-beach-ca/xx7t8tp/,1½ BAs,"1,300 Sq Ft","1,300",18 Month Lease,Aug 1,,"$2,950",,,
Los Angeles,Houses,CA,91604,"[{'bedroom_type': '2 Beds', 'price': '$4,350'}]","Los Angeles, CA 91604",https://www.apartments.com/3822-laurel-canyon-blvd-los-angeles-ca/reqtks3/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$4,350",,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Redondo Beach, CA 90278",https://www.apartments.com/1915-ruhland-ave-redondo-beach-ca/vzm4ezf/,1 BA,790 Sq Ft,790,12 Month Lease,Available Now,,"$2,500",,,
Irvine,Houses,CA,92618,"[{'bedroom_type': '4 Beds', 'price': '$4,200'}]","Irvine, CA 92618",https://www.apartments.com/61-keepsake-irvine-ca/wzm2xwk/,3 BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,,"$4,200",,
Sacramento,Houses,CA,95817,"[{'bedroom_type': '3 Beds', 'price': '$3,985'}]","Sacramento, CA 95817",https://www.apartments.com/3425-2nd-ave-sacramento-ca/42jtgch/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$3,985",,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$7,500'}]","Los Angeles, CA 90068",https://www.apartments.com/2370-san-marco-dr-los-angeles-ca/psk75rv/,2½ BAs,"2,045 Sq Ft","2,045",12 Month Lease,Available Now,,"$7,500",,,
Los Angeles,Houses,CA,90048,"[{'bedroom_type': '4 Beds', 'price': '$19,000'}]","8377 W 4th St, Los Angeles, CA 90048",https://www.apartments.com/8377-w-4th-st-los-angeles-ca/g5ew7dw/,5 BAs,"4,453 Sq Ft","4,453",12 Month Lease,Available Now,,,"$19,000",,
Los Angeles,Houses,CA,90018,"[{'bedroom_type': '3 Beds', 'price': '$3,550'}]","2811 2nd Ave, Los Angeles, CA 90018",https://www.apartments.com/2811-2nd-ave-los-angeles-ca/dnttyck/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,550",,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$3,050'}]","Los Angeles, CA 90068",https://www.apartments.com/6122-glen-tower-st-los-angeles-ca/n74xb1p/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,,"$3,050",
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$6,750'}]","2405 Clark Ave, Los Angeles, CA 90291",https://www.apartments.com/2405-clark-ave-los-angeles-ca/t1gwnhc/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,"$6,750",,,,
Los Angeles,Houses,CA,91344,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","15924 Devonshire St, Los Angeles, CA 91344",https://www.apartments.com/15924-devonshire-st-los-angeles-ca/5f5m8jn/,1 BA,725 Sq Ft,725,12 Month Lease,Available Now,,,,"$1,750",
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$2,500'}]","Los Angeles, CA 90034",https://www.apartments.com/3012-cardiff-ave-los-angeles-ca/bfsqqfb/,1 BA,750 Sq Ft,750,3 Month Lease,Available Now,,,,"$2,500",
Tracy,Houses,CA,95376,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]","Tracy, CA 95376",https://www.apartments.com/1380-busca-dr-tracy-ca/93bems5/,2 BAs,"1,329 Sq Ft","1,329",12 Month Lease,Aug 1,"$2,000",,,,
Monterey Park,Houses,CA,91754,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","812 W Markland Dr, Monterey Park, CA 91754",https://www.apartments.com/812-w-markland-dr-monterey-park-ca/sjymj86/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,400",,,
Los Angeles,Houses,CA,90028,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]","1423 N Orange Dr, Los Angeles, CA 90028",https://www.apartments.com/1423-n-orange-dr-los-angeles-ca/hmq2jk2/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,,"$2,250",
Palos Verdes Estates,Houses,CA,90274,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","Palos Verdes Estates, CA 90274",https://www.apartments.com/1644-espinosa-cir-palos-verdes-estates-ca/j5yqre5/,2 BAs,"1,680 Sq Ft","1,680",12 Month Lease,Aug 1,"$5,000",,,,
