City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,4 Beds,4+ Beds
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","Los Angeles, CA 91606",https://www.apartments.com/11302-delano-st-los-angeles-ca/k1c954b/,1 BA,938 Sq Ft,938,,Jul 15,"$3,100",,,,
Pacific Palisades,Houses,CA,90272,"[{'bedroom_type': '1 Bed', 'price': '$2,800'}]","16321 Pacific Coast Hwy, Pacific Palisades, CA 90272",https://www.apartments.com/16321-pacific-coast-hwy-pacific-palisades-ca/n3f08dq/,1 BA,518 Sq Ft,518,12 Month Lease,Available Now,,"$2,800",,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]","639 Grant St, Santa Monica, CA 90405",https://www.apartments.com/639-grant-st-santa-monica-ca/lte9jxe/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Aug 1,"$4,800",,,,
Los Angeles,Houses,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]","Los Angeles, CA 91601",https://www.apartments.com/5016-riverton-ave-los-angeles-ca/c7d1m6e/,1 BA,750 Sq Ft,750,,Available Now,,"$2,350",,,
San Mateo,Houses,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]","San Mateo, CA 94403",https://www.apartments.com/703-28th-ave-san-mateo-ca/mhtg8qj/,1½ BAs,"1,170 Sq Ft","1,170",12 Month Lease,Available Now,"$4,800",,,,
Los Angeles,Houses,CA,90008,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]","3973 McClung Dr, Los Angeles, CA 90008",https://www.apartments.com/3973-mcclung-dr-los-angeles-ca/yk8t3zs/,1½ BAs,"1,520 Sq Ft","1,520",,Sep 1,"$3,850",,,,
Orange,Houses,CA,92867,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","328 E Jacaranda Ave, Orange, CA 92867",https://www.apartments.com/328-e-jacaranda-ave-orange-ca/6qcyhrv/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Aug 1,"$3,000",,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$3,550'}]","2300 Carmona Ave, Los Angeles, CA 90016",https://www.apartments.com/2300-carmona-ave-los-angeles-ca/be5fw6b/,2 BAs,"1,020 Sq Ft","1,020",12 Month Lease,Available Now,,,"$3,550",,
Vallejo,Houses,CA,94591,"[{'bedroom_type': '4 Beds', 'price': '$3,300'}]","Vallejo, CA 94591",https://www.apartments.com/6585-deerfield-dr-vallejo-ca/338fxtd/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Available Now,,,,"$3,300",
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","Los Angeles, CA 90044",https://www.apartments.com/1047-w-71st-st-los-angeles-ca/dkbt2mj/,2 BAs,"1,520 Sq Ft","1,520",12 Month Lease,Available Now,,,"$3,200",,
West Hollywood,Houses,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$6,999'}]","138 N Almont Dr, West Hollywood, CA 90048",https://www.apartments.com/138-n-almont-dr-west-hollywood-ca/bvg3w5b/,2 BAs,"1,769 Sq Ft","1,769",12 Month Lease,Available Now,,,"$6,999",,
