City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,2 Beds,1 Bed,4+ Beds,Studio
4653 Canyon Rd,Houses,El Sobrante,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","El Sobrante, CA 94803",https://www.apartments.com/4653-canyon-rd-el-sobrante-ca/58f8msp/,1 BA,"1,009 Sq Ft","1,009",,Available Now,"$2,400",,,,,
1036 River Rock Lane,Houses,Danville,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,900'}]","Danville, CA 94526",https://www.apartments.com/1036-river-rock-lane-danville-ca/713eekw/,3½ BAs,"2,052 Sq Ft","2,052",,Available Now,,"$4,900",,,,
39451 Camino Piscina,Houses,Indio,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Indio, CA 92203",https://www.apartments.com/39451-camino-piscina-indio-ca/1sbne56/,1 BA,"1,763 Sq Ft","1,763",,Available Now,,,"$2,750",,,
286 Crystal Springs Rd,Houses,St. Helena,CA,"[{'bedroom_type': '3 Beds', 'price': '$40,000'}]","St. Helena, CA 94574",https://www.apartments.com/286-crystal-springs-rd-st-helena-ca/s6lrkb6/,3½ BAs,"5,000 Sq Ft","5,000",12 Month Lease,Available Now,"$40,000",,,,,
225 Clear Ridge Dr,Houses,Healdsburg,CA,"[{'bedroom_type': '4 Beds', 'price': '$23,500'}]","Healdsburg, CA 95448",https://www.apartments.com/225-clear-ridge-dr-healdsburg-ca/y1cx6gr/,4 BAs,"3,294 Sq Ft","3,294",,Available Now,,"$23,500",,,,
1092 Vista Sol,Houses,Palm Springs,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]","Palm Springs, CA 92262",https://www.apartments.com/1092-vista-sol-palm-springs-ca/7djj37z/,2 BAs,"1,630 Sq Ft","1,630",,Available Now,"$2,300",,,,,
88 Loma Vista Dr,Houses,Orinda,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}]","Orinda, CA 94563",https://www.apartments.com/88-loma-vista-dr-orinda-ca/k08sbz8/,1 BA,498 Sq Ft,498,,Available Now,,,,"$2,400",,
131 Padan School Rd,Houses,Vacaville,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,795'}]","Vacaville, CA 95687",https://www.apartments.com/131-padan-school-rd-vacaville-ca/48gfmtk/,1 BA,937 Sq Ft,937,,Available Now,,,"$1,795",,,
409 Ridge Rd,Houses,Tiburon,CA,"[{'bedroom_type': '2 Beds', 'price': '$8,000'}]","Tiburon, CA 94920",https://www.apartments.com/409-ridge-rd-tiburon-ca/kj9r5db/,2½ BAs,"2,000 Sq Ft","2,000",,Available Now,,,"$8,000",,,
2765 St Andrews Dr,Houses,Brentwood,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,295'}]","Brentwood, CA 94513",https://www.apartments.com/2765-st-andrews-dr-brentwood-ca/1054zd6/,3½ BAs,"3,498 Sq Ft","3,498",,Aug 1,,"$3,295",,,,
593 Chipmunk Ln,Houses,Big Bear Lake,CA,"[{'bedroom_type': '4+ Beds', 'price': '$2,500'}]","Big Bear Lake, CA 92315",https://www.apartments.com/593-chipmunk-ln-big-bear-lake-ca/3fbt5le/,3 BAs,"2,406 Sq Ft","2,406",,Available Now,,,,,"$2,500",
15154 Willow Wood Ln,Houses,Fontana,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","Fontana, CA 92336",https://www.apartments.com/15154-willow-wood-ln-fontana-ca/3sdvxve/,3 BAs,"2,600 Sq Ft","2,600",,Available Now,"$2,800",,,,,
1553 Graphite Ln,Houses,Big Bear,CA,"[{'bedroom_type': '2 Beds', 'price': '$950'}]","Big Bear, CA 92314",https://www.apartments.com/1553-graphite-ln-big-bear-ca/pxlm7gr/,1 BA,"1,128 Sq Ft","1,128",,Available Now,,,$950,,,
412 Fitch St,Houses,Healdsburg,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Healdsburg, CA 95448",https://www.apartments.com/412-fitch-st-healdsburg-ca/2cg5gw8/,1 BA,850 Sq Ft,850,,Available Now,,,"$2,800",,,
9363 San Pablo Ave,Houses,Hesperia,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,300'}]","Hesperia, CA 92345",https://www.apartments.com/9363-san-pablo-ave-hesperia-ca/zxfdhjx/,2 BAs,"2,071 Sq Ft","2,071",,Available Now,,"$2,300",,,,
29800 Lamprey St,Houses,Menifee,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","Menifee, CA 92586",https://www.apartments.com/29800-lamprey-st-menifee-ca/wtjngyj/,3 BAs,"2,921 Sq Ft","2,921",,Available Now,,"$3,000",,,,
2512 N Thomas St,Houses,Los Angeles,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]","Los Angeles, CA 90031",https://www.apartments.com/2512-n-thomas-st-los-angeles-ca/rbjjgx1/,1 BA,"2,074 Sq Ft","2,074",,Available Now,,,,"$1,500",,
201 Bothin Rd,Houses,Fairfax,CA,"[{'bedroom_type': '3 Beds', 'price': '$8,000'}]","Fairfax, CA 94930",https://www.apartments.com/201-bothin-rd-fairfax-ca/mpdr5bj/,2 BAs,"1,976 Sq Ft","1,976",,Available Now,"$8,000",,,,,
15900 Young St,Houses,Middletown,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Middletown, CA 95461",https://www.apartments.com/15900-young-st-middletown-ca/nxf55yp/,2 BAs,"1,700 Sq Ft","1,700",,Available Now,"$2,200",,,,,
8100 Soda Bay Rd,Houses,Kelseyville,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,485'}]","Kelseyville, CA 95451",https://www.apartments.com/8100-soda-bay-rd-kelseyville-ca/zjxcwxx/,2 BAs,"1,344 Sq Ft","1,344",,Available Now,"$1,485",,,,,
1909 W Myrtle St,Houses,Calistoga,CA,"[{'bedroom_type': '4+ Beds', 'price': '$4,000'}]","Calistoga, CA 94515",https://www.apartments.com/1909-w-myrtle-st-calistoga-ca/ypk62lr/,2½ BAs,"2,199 Sq Ft","2,199",12 Month Lease,Available Now,,,,,"$4,000",
37488 Waveney St,Houses,Indio,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,600'}]","Indio, CA 92203",https://www.apartments.com/37488-waveney-st-indio-ca/lece5pf/,3 BAs,"3,005 Sq Ft","3,005",,Available Now,,"$2,600",,,,
80300 Vía Valerosa,Houses,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,800'}]","La Quinta, CA 92253",https://www.apartments.com/80300-via-valerosa-la-quinta-ca/dz38z8j/,3½ BAs,"2,811 Sq Ft","2,811",,Available Now,"$6,800",,,,,
27753 Sherlock Rd,Houses,Los Altos Hills,CA,"[{'bedroom_type': '4+ Beds', 'price': '$14,500'}]","Los Altos Hills, CA 94022",https://www.apartments.com/27753-sherlock-rd-los-altos-hills-ca/fsc3hsr/,3½ BAs,"4,750 Sq Ft","4,750",,Available Now,,,,,"$14,500",
80300 Vía Valerosa,Houses,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,800'}]","La Quinta, CA 92253",https://www.apartments.com/80300-via-valerosa-la-quinta-ca/dz38z8j/,3½ BAs,"2,811 Sq Ft","2,811",,Available Now,"$6,800",,,,,
27753 Sherlock Rd,Houses,Los Altos Hills,CA,"[{'bedroom_type': '4+ Beds', 'price': '$14,500'}]","Los Altos Hills, CA 94022",https://www.apartments.com/27753-sherlock-rd-los-altos-hills-ca/fsc3hsr/,3½ BAs,"4,750 Sq Ft","4,750",,Available Now,,,,,"$14,500",
21238 Geyserville Ave,Houses,Geyserville,CA,"[{'bedroom_type': '4 Beds', 'price': '$20,000'}]","Geyserville, CA 95441",https://www.apartments.com/21238-geyserville-ave-geyserville-ca/0b0nrs1/,4 BAs,"2,380 Sq Ft","2,380",,Available Now,,"$20,000",,,,
2218 Heritage Way,Houses,Fullerton,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,350'}]","Fullerton, CA 92833",https://www.apartments.com/2218-heritage-way-fullerton-ca/btplkj8/,2 BAs,"1,776 Sq Ft","1,776",,Available Now,"$3,350",,,,,
5380 Rockrose Way,Houses,Antioch,CA,"[{'bedroom_type': '4+ Beds', 'price': '$3,195'}]","Antioch, CA 94531",https://www.apartments.com/5380-rockrose-way-antioch-ca/pzpyrgr/,3½ BAs,"3,148 Sq Ft","3,148",,Available Now,,,,,"$3,195",
313 Violet Rd,Houses,Hercules,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,700'}]","Hercules, CA 94547",https://www.apartments.com/313-violet-rd-hercules-ca/zqxnhxy/,3 BAs,"2,326 Sq Ft","2,326",,Available Now,,"$3,700",,,,
704 McCorkle Ave,Houses,St. Helena,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,250'}]","St. Helena, CA 94574",https://www.apartments.com/704-mccorkle-ave-st-helena-ca/zzmgegy/,2½ BAs,"1,853 Sq Ft","1,853",12 Month Lease,Available Now,"$4,250",,,,,
2799 Jester Ave,Houses,Thermal,CA,"[{'bedroom_type': '3 Beds', 'price': '$900'}]","Thermal, CA 92274",https://www.apartments.com/2799-jester-ave-thermal-ca/wcn9jlk/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,$900,,,,,
2308 Pso Del Rey,Houses,Palm Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","Palm Springs, CA 92264",https://www.apartments.com/2308-pso-del-rey-palm-springs-ca/1p1fw47/,2 BAs,"1,967 Sq Ft","1,967",,Available Now,,,"$5,500",,,
190 Bonaire Ave,Houses,Hercules,CA,"[{'bedroom_type': '4+ Beds', 'price': '$3,600'}]","Hercules, CA 94547",https://www.apartments.com/190-bonaire-ave-hercules-ca/kdwxqp9/,3 BAs,"2,603 Sq Ft","2,603",,Available Now,,,,,"$3,600",
60 Upper Robert Dr,Houses,Inverness,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]","Inverness, CA 94937",https://www.apartments.com/60-upper-robert-dr-inverness-ca/j0n3s57/,3½ BAs,"2,163 Sq Ft","2,163",,Available Now,"$4,950",,,,,
1339 Yosemite Cir,Houses,Oakley,CA,"[{'bedroom_type': '4+ Beds', 'price': '$2,895'}]","Oakley, CA 94561",https://www.apartments.com/1339-yosemite-cir-oakley-ca/9qywtf6/,3½ BAs,"2,492 Sq Ft","2,492",,Jul 5,,,,,"$2,895",
330 Grandview Ave,Houses,Novato,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,000'}]","Novato, CA 94945",https://www.apartments.com/330-grandview-ave-novato-ca/8kev1r3/,2 BAs,"1,913 Sq Ft","1,913",,Available Now,,"$4,000",,,,
141 Champlain Ave,Houses,Cloverdale,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]","Cloverdale, CA 95425",https://www.apartments.com/141-champlain-ave-cloverdale-ca/89ezs92/,2 BAs,988 Sq Ft,988,12 Month Lease,Available Now,,,"$2,450",,,
42 Aspen Pl,Houses,Mammoth Lakes,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,950'}]","Mammoth Lakes, CA 93546",https://www.apartments.com/42-aspen-pl-mammoth-lakes-ca/366ckbe/,3 BAs,"2,500 Sq Ft","2,500",,Available Now,,"$4,950",,,,
3 Camino Del Cielo,Houses,Orinda,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]","Orinda, CA 94563",https://www.apartments.com/3-camino-del-cielo-orinda-ca/bpjg518/,2 BAs,"1,669 Sq Ft","1,669",,Available Now,"$4,600",,,,,
11115 Foxdale Dr,Houses,Desert Hot Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,600'}]","Desert Hot Springs, CA 92240",https://www.apartments.com/11115-foxdale-dr-desert-hot-springs-ca/gh84hjw/,2 BAs,"1,181 Sq Ft","1,181",,Available Now,,,"$1,600",,,
40 N 19th Ave,Houses,Lemoore,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,050'}]","Lemoore, CA 93245",https://www.apartments.com/40-n-19th-ave-lemoore-ca/c3z35gd/,1½ BAs,"1,325 Sq Ft","1,325",,Available Now,,,"$1,050",,,
287 Laureles Grade,Houses,Carmel Valley,CA,"[{'bedroom_type': '3 Beds', 'price': '$7,000'}]","Carmel Valley, CA 93924",https://www.apartments.com/287-laureles-grade-carmel-valley-ca/yvgng4s/,3 BAs,"2,432 Sq Ft","2,432",,Available Now,"$7,000",,,,,
7738 St Helena Hwy,Houses,Napa,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Napa, CA 94558",https://www.apartments.com/7738-st-helena-hwy-napa-ca/2bbe3j9/,1 BA,"1,163 Sq Ft","1,163",,Available Now,,,"$3,500",,,
85561 Adria Dr,Houses,Indio,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Indio, CA 92203",https://www.apartments.com/85561-adria-dr-indio-ca/68vq6js/,2 BAs,"1,588 Sq Ft","1,588",,Available Now,,,"$2,500",,,
1115 Earnest St,Houses,Hercules,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,750'}]","Hercules, CA 94547",https://www.apartments.com/1115-earnest-st-hercules-ca/vvk1nwd/,3 BAs,"2,029 Sq Ft","2,029",,Available Now,,"$3,750",,,,
2400 Hanson Dr,Houses,Fairfield,CA,"[{'bedroom_type': '4+ Beds', 'price': '$2,750'}]","Fairfield, CA 94533",https://www.apartments.com/2400-hanson-dr-fairfield-ca/xdwnykq/,2½ BAs,"2,289 Sq Ft","2,289",,Available Now,,,,,"$2,750",
