City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds,4+ Beds
San Mateo,Houses,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","San Mateo, CA 94403",https://www.apartments.com/325-landfair-ave-san-mateo-ca/xmv1x3p/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$4,500",,,,
Laguna Niguel,Houses,CA,92677,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","2 Argos, Laguna Niguel, CA 92677",https://www.apartments.com/2-argos-laguna-niguel-ca/5mrsx9p/,5 BAs,"3,650 Sq Ft","3,650",24 Month Lease,Aug 1,,"$6,500",,,
Palm Desert,Houses,CA,92211,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","Palm Desert, CA 92211",https://www.apartments.com/350-crest-lake-dr-palm-desert-ca/wrhvlnh/,4 BAs,"4,150 Sq Ft","4,150",12 Month Lease,Available Now,,"$9,000",,,
Palm Desert,Houses,CA,92211,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","Palm Desert, CA 92211",https://www.apartments.com/350-crest-lake-dr-palm-desert-ca/wrhvlnh/,4 BAs,"4,150 Sq Ft","4,150",12 Month Lease,Available Now,,"$9,000",,,
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '4 Beds', 'price': '$4,900'}]","1815 N Beverly Glen Blvd, Los Angeles, CA 90077",https://www.apartments.com/1815-n-beverly-glen-blvd-los-angeles-ca/ffmp46s/,3 BAs,"3,000 Sq Ft","3,000",12 Month Lease,Available Now,,"$4,900",,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$7,000'}]","2323 Grand Canal, Los Angeles, CA 90291",https://www.apartments.com/2323-grand-canal-los-angeles-ca/1p4j006/,1 BA,900 Sq Ft,900,,Available Now,,,"$7,000",,
Los Angeles,Houses,CA,90272,"[{'bedroom_type': '4 Beds', 'price': '$9,000'}]","16655 Marquez Ter, Los Angeles, CA 90272",https://www.apartments.com/16655-marquez-ter-los-angeles-ca/t330jkb/,4 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$9,000",,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","4548 W 62nd St, Los Angeles, CA 90043",https://www.apartments.com/4548-w-62nd-st-los-angeles-ca/wxch6tj/,2 BAs,"1,465 Sq Ft","1,465",,Jul 5,"$2,850",,,,
Riverside,Houses,CA,92507,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Riverside, CA 92507",https://www.apartments.com/1839-spring-garden-st-riverside-ca/m6d6r1h/,1 BA,"1,363 Sq Ft","1,363",12 Month Lease,Available Now,,,,"$2,200",
Culver City,Houses,CA,90230,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","Culver City, CA 90230",https://www.apartments.com/4831-imlay-ave-culver-city-ca/5j0nzmp/,2 BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,,,,"$4,500",
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]","Los Angeles, CA 90034",https://www.apartments.com/3310-s-durango-ave-los-angeles-ca/c4f59xf/,1½ BAs,"1,000 Sq Ft","1,000",6 Month Lease,Aug 8,"$3,495",,,,
Los Angeles,Houses,CA,90042,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Los Angeles, CA 90042",https://www.apartments.com/5019-coringa-dr-los-angeles-ca/44rw3sl/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,500",,,,
Los Angeles,Houses,CA,90069,"[{'bedroom_type': '3 Beds', 'price': '$8,800'}]","Los Angeles, CA 90069",https://www.apartments.com/8975-shoreham-dr-los-angeles-ca/h7739x1/,3 BAs,"2,200 Sq Ft","2,200",12 Month Lease,Aug 1,,,,"$8,800",
