City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,4+ Beds,2 Beds,1 Bed,Studio
10231 Lotus Ct,Houses,Stanton,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","Stanton, CA 90680",https://www.apartments.com/10231-lotus-ct-stanton-ca/3s6v3qf/,3 BAs,"1,616 Sq Ft","1,616",,Available Now,"$3,000",,,,,
16960 Mockingbird Canyon Rd,Houses,Riverside,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Riverside, CA 92504",https://www.apartments.com/16960-mockingbird-canyon-rd-riverside-ca/2bly6gb/,3 BAs,"2,452 Sq Ft","2,452",,Available Now,,"$2,500",,,,
22831 Montanya Pl,Houses,Murrieta,CA,"[{'bedroom_type': '4+ Beds', 'price': '$2,995'}]","Murrieta, CA 92562",https://www.apartments.com/22831-montanya-pl-murrieta-ca/zegpp5w/,4 BAs,"3,646 Sq Ft","3,646",,Available Now,,,"$2,995",,,
28051 Calle Casera,Houses,Menifee,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,450'}]","Menifee, CA 92585",https://www.apartments.com/28051-calle-casera-menifee-ca/bvg81fc/,2 BAs,"1,101 Sq Ft","1,101",,Available Now,,,,"$1,450",,
2532 Northshore Ln,Houses,Westlake Village,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","Westlake Village, CA 91361",https://www.apartments.com/2532-northshore-ln-westlake-village-ca/7rkkl2z/,2 BAs,,,,Available Now,,"$6,500",,,,
1999 S Caliente Dr,Houses,Palm Springs,CA,"[{'bedroom_type': '3 Beds', 'price': '$7,000'}]","Palm Springs, CA 92264",https://www.apartments.com/1999-s-caliente-dr-palm-springs-ca/ffvd4nr/,3 BAs,"2,698 Sq Ft","2,698",,Available Now,,"$7,000",,,,
22808 Canyon View Dr,Houses,Corona,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Corona, CA 92883",https://www.apartments.com/22808-canyon-view-dr-corona-ca/wlwyfdh/,3 BAs,"2,017 Sq Ft","2,017",,Available Now,,"$2,600",,,,
25 Highpoint,Houses,Rancho Santa Margarita,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,800'}]","Rancho Santa Margarita, CA 92679",https://www.apartments.com/25-highpoint-rancho-santa-margarita-ca/6esklts/,3 BAs,"2,731 Sq Ft","2,731",,Available Now,"$4,800",,,,,
7841 Wild Rye St,Houses,Chino,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,850'}]","Chino, CA 91708",https://www.apartments.com/7841-wild-rye-st-chino-ca/cflc84d/,4 BAs,"2,777 Sq Ft","2,777",,Available Now,"$2,850",,,,,
204 Corona Cir,Houses,Lake Arrowhead,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,000'}]","Lake Arrowhead, CA 92352",https://www.apartments.com/204-corona-cir-lake-arrowhead-ca/qyjjr0x/,1 BA,400 Sq Ft,400,,Available Now,,,,,"$1,000",
7537 El Manor Rd,Houses,Hesperia,CA,"[{'bedroom_type': '4+ Beds', 'price': '$2,600'}]","Hesperia, CA 92344",https://www.apartments.com/7537-el-manor-rd-hesperia-ca/qlptrxw/,3 BAs,"3,420 Sq Ft","3,420",,Available Now,,,"$2,600",,,
Beverly Hills,Houses,CA,90211,"[{'bedroom_type': '4 Beds', 'price': '$10,500'}]","Beverly Hills, CA 90211",https://www.apartments.com/139-le-doux-rd-beverly-hills-ca/j5gjyz6/,5 BAs,"2,783 Sq Ft","2,783",12 Month Lease,Available Now,"$10,500",,,,,
1415 Skyline Dr,Houses,Laguna Beach,CA,"[{'bedroom_type': '4 Beds', 'price': '$8,700'}]","Laguna Beach, CA 92651",https://www.apartments.com/1415-skyline-dr-laguna-beach-ca/v24s1we/,4 BAs,"2,176 Sq Ft","2,176",,Available Now,"$8,700",,,,,
45612 Darling Way,Houses,Oakhurst,CA,"[{'bedroom_type': '4 Beds', 'price': '$1,900'}]","Oakhurst, CA 93644",https://www.apartments.com/45612-darling-way-oakhurst-ca/b8xc1f9/,2 BAs,"2,340 Sq Ft","2,340",,Available Now,"$1,900",,,,,
216 Wicker,Houses,Irvine,CA,"[{'bedroom_type': '4+ Beds', 'price': '$7,900'}]","Irvine, CA 92618",https://www.apartments.com/216-wicker-irvine-ca/3lps51d/,5 BAs,"2,439 Sq Ft","2,439",,Available Now,,,"$7,900",,,
33800 Black Mountain Rd,Houses,Temecula,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,895'}]","Temecula, CA 92592",https://www.apartments.com/33800-black-mountain-rd-temecula-ca/vtk5rcg/,1 BA,"2,219 Sq Ft","2,219",,Available Now,,"$3,895",,,,
30522 Via Andalusia,Houses,San Juan Capistrano,CA,"[{'bedroom_type': '4+ Beds', 'price': '$7,500'}]","San Juan Capistrano, CA 92675",https://www.apartments.com/30522-via-andalusia-san-juan-capistrano-ca/ech41tm/,6 BAs,"6,196 Sq Ft","6,196",,Available Now,,,"$7,500",,,
40355 Vía Herradura,Houses,Murrieta,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]","Murrieta, CA 92562",https://www.apartments.com/40355-via-herradura-murrieta-ca/85f5602/,2 BAs,"5,439 Sq Ft","5,439",,Available Now,,"$3,300",,,,
