City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,1 Bed,4 Beds,Studio
6058 Riverside Blvd,Townhomes,Sacramento,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,949'}, {'bedroom_type': '3 Beds', 'price': '$2,300'}]","6058 Riverside Blvd, Sacramento, CA 95831",https://www.apartments.com/sixty58-townhomes-sacramento-ca/yntx1mv/,1½ BAs,"1,135 Sq Ft","1,135",,Available Now,"$1,949","$2,300",,,
18005 W Annes Cir,Townhomes,Santa Clarita,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,661'}, {'bedroom_type': '2 Beds', 'price': '$1,865'}, {'bedroom_type': '3 Beds', 'price': '$2,387'}]","18005 W Annes Cir, Santa Clarita, CA 91387",https://www.apartments.com/river-ranch-townhomes-apartments-santa-clarita-ca/gp59qyy/,2½ BAs,957 Sq Ft,957,,Available Now,"$1,865","$2,387","$1,661",,
560 Winchester Dr,Townhomes,Oxnard,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}, {'bedroom_type': '3 Beds', 'price': ''}, {'bedroom_type': '4 Beds', 'price': ''}]","560 Winchester Dr, Oxnard, CA 93036",https://www.apartments.com/mayfair-oxnard-ca/nzkvm1n/,2½ BAs,"1,649 Sq Ft","1,649",,Available Now,"$2,950",,,,
6233 S La Brea Ln,Townhomes,Los Angeles,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,698'}, {'bedroom_type': '2 Beds', 'price': '$1,845'}]","6233 S La Brea Ln, Los Angeles, CA 90056",https://www.apartments.com/ladera-townhouse-los-angeles-ca/5ep4zrq/,1 BA,615 Sq Ft,615,,Not Available,"$1,845",,"$1,698",,
7901-7921 Harmarsh St,Townhomes,San Diego,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,959'}, {'bedroom_type': '3 Beds', 'price': '$2,293'}]","7901-7921 Harmarsh St, San Diego, CA 92123",https://www.apartments.com/agave-ridge-townhomes-san-diego-ca/0yehrj1/,1½ BAs,950 Sq Ft,950,,Available Now,"$1,959","$2,293",,,
3957 Pierce St,Townhomes,Riverside,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,470'}, {'bedroom_type': '2 Beds', 'price': '$1,665'}]","3957 Pierce St, Riverside, CA 92505",https://www.apartments.com/corona-pointe-resort-townhomes-riverside-ca/fwb6tns/,1 BA,704 Sq Ft,704,,Available Now,"$1,665",,"$1,470",,
686 E Union St,Townhomes,Pasadena,CA,"[{'bedroom_type': 'Studio', 'price': '$2,150'}, {'bedroom_type': '1 Bed', 'price': '$2,550'}, {'bedroom_type': '2 Beds', 'price': '$3,525'}]","686 E Union St, Pasadena, CA 91101",https://www.apartments.com/andalucia-luxury-townhomes-and-flats-pasadena-ca/388rgpg/,1 BA,525 Sq Ft,525,,Available Now,"$3,525",,"$2,550",,"$2,150"
4445 Stevenson Blvd,Townhomes,Fremont,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]","4445 Stevenson Blvd, Fremont, CA 94538",https://www.apartments.com/parc-88-townhomes-fremont-ca/vmwkj6d/,1½ BAs,987 Sq Ft,987,,Available Now,"$2,595",,,,
1791 Sebastopol Rd,Townhomes,Santa Rosa,CA,"[{'bedroom_type': 'Studio', 'price': '$1,595'}, {'bedroom_type': '3 Beds', 'price': '$2,745'}]","1791 Sebastopol Rd, Santa Rosa, CA 95407",https://www.apartments.com/sendero-townhomes-santa-rosa-ca/c40slcg/,2½ BAs,"1,235 Sq Ft","1,235",,Available Now,,"$2,745",,,"$1,595"
28000 S Western Ave,Townhomes,San Pedro,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,050'}, {'bedroom_type': '2 Beds', 'price': '$2,475'}, {'bedroom_type': '3 Beds', 'price': '$3,400'}]","28000 S Western Ave, San Pedro, CA 90732",https://www.apartments.com/seaport-homes-luxury-homes-townhouses-san-pedro-ca/wskx2xl/,1 BA,874 Sq Ft,874,6 - 18 Month Lease,Available Now,"$2,475","$3,400","$2,050",,
25590 Prospect Ave,Townhomes,Loma Linda,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,715'}, {'bedroom_type': '3 Beds', 'price': '$2,053'}]","25590 Prospect Ave, Loma Linda, CA 92354",https://www.apartments.com/oasis-townhome-apartments-loma-linda-ca/xfnsepq/,2½ BAs,"1,000 Sq Ft","1,000",,Available Soon,"$1,715","$2,053",,,
