City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,1 Bed,Studio,4 Beds,"
												Studio
										",4+ Beds,"
												2 Beds
														–
3 Beds										"
4611-4645 Stoner Ave,Townhomes,Culver City,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","4611-4645 Stoner Ave, Culver City, CA 90230",https://www.apartments.com/townhouse-gardens-culver-city-ca/989fj75/,1½ BAs,"1,250 Sq Ft","1,250",,Available Soon,"$3,300",,,,,,,
315 Mt Oso Ave,Townhomes,Tracy,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,300'}]","315 Mt Oso Ave, Tracy, CA 95376",https://www.apartments.com/tuscana-townhomes-tracy-ca/s5rwft7/,1 BA,860 Sq Ft,860,,Not Available,"$1,950","$2,300",,,,,,
9200 Monte Vista Ave,Townhomes,Montclair,CA,"[{'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,206'}]","9200 Monte Vista Ave, Montclair, CA 91763",https://www.apartments.com/lexington-townhomes-montclair-ca/26nlcsc/,1½ BAs,"1,216 Sq Ft","1,216",,Available Now,,"$2,206",,,,,,
801 Dutton Ave,Townhomes,Santa Rosa,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","801 Dutton Ave, Santa Rosa, CA 95407",https://www.apartments.com/walkham-townhomes-santa-rosa-ca/54d6qxn/,2½ BAs,"1,875 Sq Ft","1,875",,Not Available,,"$2,800",,,,,,
3074 Channel Dr,Townhomes,Ventura,CA,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$2,025'}]","3074 Channel Dr, Ventura, CA 93003",https://www.apartments.com/ocean-view-townhomes-ventura-ca/63wecpr/,1½ BAs,900 - 975 Sq Ft,900,,Available Now,"$2,025",,,,,,,
2000 E Main St,Townhomes,El Cajon,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,105'}]","2000 E Main St, El Cajon, CA 92021",https://www.apartments.com/canyon-springs-el-cajon-ca/vw43b6d/,1½ BAs,"1,200 Sq Ft","1,200",,Available Now,,"$2,105",,,,,,
25455 Whitman St,Townhomes,Hayward,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': '$2,550'}]","25455 Whitman St, Hayward, CA 94544",https://www.apartments.com/whitman-villa-townhomes-hayward-ca/74qh8wy/,2 BAs,925 Sq Ft,925,,Available Now,"$2,350","$2,550",,,,,,
15700 Washington Ave,Townhomes,San Lorenzo,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': '$2,570'}]","15700 Washington Ave, San Lorenzo, CA 94580",https://www.apartments.com/washington-townhomes-san-lorenzo-ca/lmfd95g/,1½ BAs,860 Sq Ft,860,,Available Now,"$2,350","$2,570",,,,,,
2060 Westwood Ct,Townhomes,Lancaster,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,645'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': '$2,065'}]","2060 Westwood Ct, Lancaster, CA 93536",https://www.apartments.com/westwood-park-townhomes-lancaster-ca/98cgzm6/,1 BA,779 Sq Ft,779,,Available Now,"$1,795","$2,065","$1,645",,,,,
20440 Anza Ave,Townhomes,Torrance,CA,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': ''}]","20440 Anza Ave, Torrance, CA 90503",https://www.apartments.com/seville-townhouse-torrance-ca/jd8jvf4/,1 BA,700 Sq Ft,700,,Available Now,,,"$1,695",,,,,
100 Cadillac Dr,Townhomes,Sacramento,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,350'}, {'bedroom_type': '2 Beds', 'price': '$1,625'}]","100 Cadillac Dr, Sacramento, CA 95825",https://www.apartments.com/cadillac-drive-townhomes-sacramento-ca/2kqw9d8/,1½ BAs,950 Sq Ft,950,,Jul 11,"$1,625",,"$1,350",,,,,
4151 Redwood Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,999'}]","4151 Redwood Ave, Los Angeles, CA 90066",https://www.apartments.com/r1-living-townhouses-los-angeles-ca/kpetvmc/,3½ BAs,"1,650 Sq Ft","1,650",,Jul 10,,"$4,999",,,,,,
1101 Carey Dr,Townhomes,Concord,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","1101 Carey Dr, Concord, CA 94520",https://www.apartments.com/converge-townhomes-concord-ca/x5vkkbq/,1½ BAs,900 Sq Ft,900,,Not Available,"$1,950",,,,,,,
1200 S Highland Ave,Townhomes,Fullerton,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,125'}]","1200 S Highland Ave, Fullerton, CA 92832",https://www.apartments.com/fullerton-townhouse-apartments-fullerton-ca/9thw7g6/,2 BAs,"1,100 Sq Ft","1,100",,Not Available,"$2,125",,,,,,,
4930 Polk St,Townhomes,North Highlands,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,445'}, {'bedroom_type': '3 Beds', 'price': '$1,745'}, {'bedroom_type': '4 Beds', 'price': '$1,895'}]","4930 Polk St, North Highlands, CA 95660",https://www.apartments.com/sierra-park-townhomes-north-highlands-ca/yxmqsjt/,2 BAs,706 Sq Ft,706,,Available Now,"$1,445","$1,745",,,"$1,895",,,
8031 Winter Gardens Blvd,Townhomes,El Cajon,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,995'}]","8031 Winter Gardens Blvd, El Cajon, CA 92021",https://www.apartments.com/shannon-wood-townhomes-el-cajon-ca/d2f0kdj/,2 BAs,"1,118 Sq Ft","1,118",,Available Now,,"$1,995",,,,,,
3680 Monroe St,Townhomes,Riverside,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,665'}]","3680 Monroe St, Riverside, CA 92504",https://www.apartments.com/presidential-townhomes-riverside-ca/nh4cvjn/,2½ BAs,"1,070 Sq Ft","1,070",12 Month Lease,Aug 1,"$1,665",,,,,,,
