City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,2 Beds,1 Bed
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","Santa Monica, CA 90403",https://www.apartments.com/1128-22nd-st-santa-monica-ca/tj9555b/,3½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$6,500",,,
Los Angeles,Townhomes,CA,90031,"[{'bedroom_type': '4 Beds', 'price': '$4,000'}]","Los Angeles, CA 90031",https://www.apartments.com/244-s-ave-18-ave-los-angeles-ca/3r2zl2f/,3 BAs,"1,950 Sq Ft","1,950",,Available Now,,"$4,000",,
Burbank,Townhomes,CA,91504,"[{'bedroom_type': '4 Beds', 'price': '$3,950'}]","Burbank, CA 91504",https://www.apartments.com/7761-va-rosa-maria-burbank-ca/3dkkm3g/,3 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Sep 1,,"$3,950",,
Culver City,Townhomes,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","4227 Ince Blvd, Culver City, CA 90232",https://www.apartments.com/4227-ince-blvd-culver-city-ca/c7nd32d/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Jul 10,"$6,500",,,
Redwood City,Townhomes,CA,94063,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]","Redwood City, CA 94063",https://www.apartments.com/101-wayne-ct-redwood-city-ca/zsty9lz/,2 BAs,"1,856 Sq Ft","1,856",12 Month Lease,Available Now,"$4,900",,,
Palm Desert,Townhomes,CA,92211,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","Palm Desert, CA 92211",https://www.apartments.com/217-paseo-gregario-palm-desert-ca/fyzmvzt/,2 BAs,"1,465 Sq Ft","1,465",,Available Now,,,"$1,800",
Los Angeles,Townhomes,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]","Los Angeles, CA 90019",https://www.apartments.com/2444-w-18th-st-los-angeles-ca/6b79wbv/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,995",,,
Fair Oaks,Townhomes,CA,95628,"[{'bedroom_type': '3 Beds', 'price': '$2,050'}]","Fair Oaks, CA 95628",https://www.apartments.com/7854-olympic-way-fair-oaks-ca/7ey8bpx/,1½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,"$2,050",,,
Los Angeles,Townhomes,CA,90004,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]","Los Angeles, CA 90004",https://www.apartments.com/476-oxford-n-ave-los-angeles-ca/vq35r1g/,3½ BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,"$3,995",,,
San Diego,Townhomes,CA,92037,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","San Diego, CA 92037",https://www.apartments.com/8791-gilman-dr-san-diego-ca/28qgcw8/,1½ BAs,"1,188 Sq Ft","1,188",12 Month Lease,Available Now,,,"$2,700",
Los Angeles,Townhomes,CA,90293,"[{'bedroom_type': '4 Beds', 'price': '$5,100'}]","427 Waterview St, Los Angeles, CA 90293",https://www.apartments.com/427-waterview-st-los-angeles-ca/h9yh233/,3 BAs,"1,800 Sq Ft","1,800",,Available Now,,"$5,100",,
San Diego,Townhomes,CA,92122,"[{'bedroom_type': '3 Beds', 'price': '$3,325'}]","San Diego, CA 92122",https://www.apartments.com/8830-via-andar-via-san-diego-ca/v6ky2te/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Aug 1,"$3,325",,,
