City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,4 Beds,4+ Beds
Newark,Townhomes,CA,94560,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]","Newark, CA 94560",https://www.apartments.com/39150-cedar-blvd-newark-ca/jv2wg76/,1 BA,520 Sq Ft,520,1 Month Lease,Available Now,"$2,495",,,,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","Santa Monica, CA 90403",https://www.apartments.com/2912-montana-ave-santa-monica-ca/f3jygkr/,2½ BAs,"1,587 Sq Ft","1,587",,Jul 5,,"$6,500",,,
Mountain View,Townhomes,CA,94041,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","Mountain View, CA 94041",https://www.apartments.com/222-okeefe-way-mountain-view-ca/l2177eg/,2½ BAs,"1,460 Sq Ft","1,460",,Available Now,,"$4,500",,,
El Segundo,Townhomes,CA,90245,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","El Segundo, CA 90245",https://www.apartments.com/5423-ocean-el-segundo-ca/5ejlvpn/,2½ BAs,"1,400 Sq Ft","1,400",,Aug 1,,,"$3,750",,
San Jose,Townhomes,CA,95132,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","San Jose, CA 95132",https://www.apartments.com/3348-mira-vista-cir-san-jose-ca/g16w1xw/,1½ BAs,"1,040 Sq Ft","1,040",12 Month Lease,Aug 1,,,"$3,000",,
Santa Monica,Townhomes,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$5,300'}]","1017 Pearl St, Santa Monica, CA 90405",https://www.apartments.com/1017-pearl-st-santa-monica-ca/lxxxrsg/,3 BAs,"1,220 Sq Ft","1,220",12 Month Lease,Aug 5,,,"$5,300",,
Los Angeles,Townhomes,CA,90064,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]","Los Angeles, CA 90064",https://www.apartments.com/2455-corinth-ave-los-angeles-ca/hvsdsf1/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,,"$2,595",,
San Diego,Townhomes,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","1440 Pacific Beach Dr, San Diego, CA 92109",https://www.apartments.com/1440-pacific-beach-dr-san-diego-ca/yr6yf7v/,1 BA,925 Sq Ft,925,6 Month Lease,Jul 20,,,"$2,850",,
Los Angeles,Townhomes,CA,90046,"[{'bedroom_type': '1 Bed', 'price': '$3,250'}]","807 N Curson Ave, Los Angeles, CA 90046",https://www.apartments.com/807-n-curson-ave-los-angeles-ca/5gmhtzm/,1 BA,710 Sq Ft,710,6 Month Lease,Aug 10,"$3,250",,,,
Los Angeles,Townhomes,CA,90019,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]","1613 Genesee S Ave, Los Angeles, CA 90019",https://www.apartments.com/1613-genesee-s-ave-los-angeles-ca/3hpmwkg/,1 BA,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,"$3,150",,
San Diego,Townhomes,CA,92104,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","San Diego, CA 92104",https://www.apartments.com/3259-bramson-pl-san-diego-ca/5y0gfsp/,2½ BAs,850 Sq Ft,850,12 Month Lease,Available Now,,,"$2,100",,
San Jose,Townhomes,CA,95110,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","San Jose, CA 95110",https://www.apartments.com/111-julian-w-st-san-jose-ca/7yznnmx/,3 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Oct 15,,"$5,000",,,
Burbank,Townhomes,CA,91506,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]","1801 Victory W Blvd, Burbank, CA 91506",https://www.apartments.com/1801-victory-w-blvd-burbank-ca/8z168p3/,1½ BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,,"$2,550",,
Los Angeles,Townhomes,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Los Angeles, CA 90045",https://www.apartments.com/8500-glider-ave-los-angeles-ca/nsp6klq/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,"$2,400",,
Los Angeles,Townhomes,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$3,395'}]","Los Angeles, CA 91401",https://www.apartments.com/5708-woodman-ave-los-angeles-ca/2sjqssc/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,"$3,395",,,
Santa Monica,Townhomes,CA,90404,"[{'bedroom_type': '3 Beds', 'price': '$4,300'}]","2020 20th St, Santa Monica, CA 90404",https://www.apartments.com/2020-20th-st-santa-monica-ca/y38xznt/,2½ BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,,"$4,300",,,
Pasadena,Townhomes,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]","Pasadena, CA 91107",https://www.apartments.com/411-vista-ave-pasadena-ca/cymj3cd/,1 BA,628 Sq Ft,628,,Jul 25,,,"$1,750",,
Lomita,Townhomes,CA,90717,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","2016 Bella Ln, Lomita, CA 90717",https://www.apartments.com/2016-bella-ln-lomita-ca/0k36ec3/,2½ BAs,"1,776 Sq Ft","1,776",12 Month Lease,Aug 1,,"$3,500",,,
Mountain View,Townhomes,CA,94040,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]","Mountain View, CA 94040",https://www.apartments.com/187-ortega-ave-mountain-view-ca/8q6n1z3/,2½ BAs,"1,755 Sq Ft","1,755",12 Month Lease,Available Now,,"$4,950",,,
Los Angeles,Townhomes,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]","2122 Carmona Ave, Los Angeles, CA 90016",https://www.apartments.com/2122-carmona-ave-los-angeles-ca/ygp5c0v/,3 BAs,"1,230 Sq Ft","1,230",12 Month Lease,Available Now,,"$3,800",,,
San Francisco,Townhomes,CA,94107,"[{'bedroom_type': '2 Beds', 'price': '$4,444'}]","San Francisco, CA 94107",https://www.apartments.com/620-pennsylvania-ave-san-francisco-ca/exvzskp/,1 BA,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,"$4,444",,
Lomita,Townhomes,CA,90717,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","Lomita, CA 90717",https://www.apartments.com/2024-bella-ln-lomita-ca/e8p0fqm/,2½ BAs,"1,776 Sq Ft","1,776",12 Month Lease,Aug 10,,"$3,500",,,
San Diego,Townhomes,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","San Diego, CA 92109",https://www.apartments.com/822-island-ct-san-diego-ca/8lhdyv1/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,,"$3,000",,
