City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,2 Beds,1 Bed,Studio,4+ Beds
1410 Dalmatia Dr,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,250'}]","Los Angeles, CA 90732",https://www.apartments.com/1410-dalmatia-dr-los-angeles-ca/75nzgxz/,3 BAs,"1,736 Sq Ft","1,736",,Jul 3,"$3,250",,,,,
6991 Vining St,Townhomes,Chino,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Chino, CA 91710",https://www.apartments.com/6991-vining-st-chino-ca/q17gcjw/,3 BAs,"1,378 Sq Ft","1,378",,Jul 3,,"$2,200",,,,
103 Woodvalley Dr,Townhomes,Danville,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]","Danville, CA 94506",https://www.apartments.com/103-woodvalley-dr-danville-ca/9lmefs4/,2½ BAs,"2,313 Sq Ft","2,313",,Available Now,,"$3,800",,,,
2521 N Whitewater Club Dr,Townhomes,Palm Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","Palm Springs, CA 92262",https://www.apartments.com/2521-n-whitewater-club-dr-palm-springs-ca/vzzr09f/,1½ BAs,"1,356 Sq Ft","1,356",,Available Now,,,"$1,895",,,
4606 Granada Way,Townhomes,Union City,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]","Union City, CA 94587",https://www.apartments.com/4606-granada-way-union-city-ca/tcy3vbb/,1½ BAs,"1,054 Sq Ft","1,054",,Available Now,,,"$2,650",,,
833 Columba Ln,Townhomes,Foster City,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]","Foster City, CA 94404",https://www.apartments.com/833-columba-ln-foster-city-ca/3kdwlle/,2½ BAs,"1,546 Sq Ft","1,546",,Available Now,,"$4,800",,,,
23927 De Ville Way,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$9,500'}]","Malibu, CA 90265",https://www.apartments.com/23927-de-ville-way-malibu-ca/zltcv1y/,3 BAs,,,,Jul 3,,"$9,500",,,,
Lakeside,Townhomes,CA,92040,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]","Lakeside, CA 92040",https://www.apartments.com/12553-mapleview-st-lakeside-ca/ybv7qkt/,1½ BAs,"1,024 Sq Ft","1,024",12 Month Lease,Jul 15,,,"$1,750",,,
1865 Olmo Way,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","Walnut Creek, CA 94598",https://www.apartments.com/1865-olmo-way-walnut-creek-ca/m29msyj/,1½ BAs,"1,169 Sq Ft","1,169",,Available Now,,,"$2,600",,,
912 Rain Dance,Townhomes,Milpitas,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","Milpitas, CA 95035",https://www.apartments.com/912-rain-dance-milpitas-ca/9qklgq4/,3½ BAs,"1,534 Sq Ft","1,534",,Available Now,,"$3,500",,,,
20910 Royal Ave,Townhomes,Hayward,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","Hayward, CA 94541",https://www.apartments.com/20910-royal-ave-hayward-ca/pdxxbqs/,1 BA,810 Sq Ft,810,,Available Now,,,"$2,300",,,
2255 Segundo Ct,Townhomes,Pleasanton,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Pleasanton, CA 94588",https://www.apartments.com/2255-segundo-ct-pleasanton-ca/ngk4jrp/,1 BA,810 Sq Ft,810,,Aug 1,,,"$2,100",,,
249 Kingston Way,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Walnut Creek, CA 94597",https://www.apartments.com/249-kingston-way-walnut-creek-ca/77hp1ny/,1½ BAs,"1,196 Sq Ft","1,196",,Jul 23,,,"$2,800",,,
5015 Pavo Ct,Townhomes,Livermore,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]","Livermore, CA 94551",https://www.apartments.com/5015-pavo-ct-livermore-ca/3n2qdkd/,1½ BAs,"1,171 Sq Ft","1,171",,Jul 10,,,"$2,350",,,
1295 Water Lily Way,Townhomes,San Jose,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,950'}]","San Jose, CA 95129",https://www.apartments.com/1295-water-lily-way-san-jose-ca/fd4059t/,2½ BAs,"1,811 Sq Ft","1,811",,Available Now,"$4,950",,,,,
810 Juno Ln,Townhomes,Foster City,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]","Foster City, CA 94404",https://www.apartments.com/810-juno-ln-foster-city-ca/tvtm2f8/,2½ BAs,"1,330 Sq Ft","1,330",,Available Now,,,"$3,600",,,
8 Clover Ln,Townhomes,San Carlos,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,895'}]","San Carlos, CA 94070",https://www.apartments.com/8-clover-ln-san-carlos-ca/s7s9484/,2½ BAs,"2,510 Sq Ft","2,510",,Available Now,,"$5,895",,,,
615 E Lugonia Ave,Townhomes,Redlands,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,950'}]","Redlands, CA 92374",https://www.apartments.com/615-e-lugonia-ave-redlands-ca/rk9bzs1/,3 BAs,"1,268 Sq Ft","1,268",,Available Now,,"$1,950",,,,
Sunnyvale,Townhomes,CA,94086,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]","Sunnyvale, CA 94086",https://www.apartments.com/713-golden-oak-dr-sunnyvale-ca/wxml0jj/,1½ BAs,793 Sq Ft,793,12 Month Lease,Available Now,,,"$2,195",,,
1022 Phoenix St,Townhomes,Danville,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]","Danville, CA 94506",https://www.apartments.com/1022-phoenix-st-danville-ca/rr8h0v0/,2 BAs,"1,404 Sq Ft","1,404",,Available Now,,"$3,400",,,,
49114 Rose Terrace,Townhomes,Fremont,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","Fremont, CA 94539",https://www.apartments.com/49114-rose-terrace-fremont-ca/65zfncv/,2 BAs,"1,112 Sq Ft","1,112",,Jul 10,,,"$3,200",,,
