Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$419,900","110 Maegan Pl Apt 10, Thousand Oaks, CA 91362",110 Maegan Pl Apt 10,Thousand Oaks,CA,91362,34.179592,-118.853061,"1,075",null,null,Condo,1986,2 spaces,$290/month,$391,"$416,208","$2,550/mo",https://www.zillow.com/homedetails/110-Maegan-Pl-APT-10-Thousand-Oaks-CA-91362/16477210_zpid/
Condo for sale,"$229,000","4310 54th St Apt 207, San Diego, CA 92115",4310 54th St Apt 207,San Diego,CA,92115,32.755394,-117.08015,700,null,null,Condo,1972,1 space,$340/month,$327,"$228,934","$1,550/mo",https://www.zillow.com/homedetails/4310-54th-St-APT-207-San-Diego-CA-92115/17004866_zpid/
Condo for sale,"$349,000","2507 Westberry Dr, Santa Rosa, CA 95403",2507 Westberry Dr ,Santa Rosa,CA,95403,38.455683,-122.738806,"1,061",null,null,Condo,1983,1 space,$400/month,$329,"$354,524","$2,200/mo",https://www.zillow.com/homedetails/2507-Westberry-Dr-Santa-Rosa-CA-95403/15783539_zpid/
Co-op for sale,"$194,000","858 Ronda Mendoza # Q, Laguna Woods, CA 92637",858 Ronda Mendoza # Q,Laguna Woods,CA,92637,33.595436,-117.704764,"1,057",null,null,Cooperative,1966,1 space,$681/month,$184,null,null,https://www.zillow.com/homedetails/858-Ronda-Mendoza-Q-Laguna-Woods-CA-92637/2078841841_zpid/
Condo for sale,"$550,000","33 Shepherds Knls, Pebble Beach, CA 93953",33 Shepherds Knls ,Pebble Beach,CA,93953,36.581807,-121.912417,"1,547",null,null,Condo,1981,"Off street, Detached Garage",$795/month,$356,"$542,747","$3,000/mo",https://www.zillow.com/homedetails/33-Shepherds-Knls-Pebble-Beach-CA-93953/19330210_zpid/
Condo for sale,"$277,000","6018 Glenbrook Ln, Stockton, CA 95207",6018 Glenbrook Ln ,Stockton,CA,95207,38.009152,-121.303223,"1,016",null,null,Condo,1964,1 space,None,$273,"$277,002","$1,550/mo",https://www.zillow.com/homedetails/6018-Glenbrook-Ln-Stockton-CA-95207/15287028_zpid/
For sale by owner,"$299,000","306 Bridge Pl, West Sacramento, CA 95691",306 Bridge Pl ,West Sacramento,CA,95691,38.550921,-121.543082,"1,150",null,null,Condo,1974,2 spaces,$370/month,$260,"$234,657","$1,750/mo",https://www.zillow.com/homedetails/306-Bridge-Pl-West-Sacramento-CA-95691/16529982_zpid/
Condo for sale,"$449,000","21830 S Vermont Ave # 106, Torrance, CA 90502",21830 S Vermont Ave # 106,Torrance,CA,90502,33.829762,-118.289624,"1,071",null,null,Condo,1994,2 spaces,$150/month,$419,"$449,003","$2,300/mo",https://www.zillow.com/homedetails/21830-S-Vermont-Ave-106-Torrance-CA-90502/21263398_zpid/
Condo for sale,"$339,000","3101 Linfield Ct, Turlock, CA 95382",3101 Linfield Ct ,Turlock,CA,95382,37.520843,-120.839163,"1,597",null,null,Condo,1979,2 spaces,None,$212,"$341,967","$1,800/mo",https://www.zillow.com/homedetails/3101-Linfield-Ct-Turlock-CA-95382/16048128_zpid/
Condo for sale,"$630,000","513 Rush Lily, Irvine, CA 92620",513 Rush Lily ,Irvine,CA,92620,33.683552,-117.760602,"1,182",null,null,Condo,2014,2 spaces,$135/month,$533,"$617,406","$2,800/mo",https://www.zillow.com/homedetails/513-Rush-Lily-Irvine-CA-92620/125132921_zpid/
