Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,House_type,House_website
For sale by owner,"$450,000","20961 83rd St, California City, CA 93505",20961 83rd St,CaliforniaCity,CA,93505,12,12,"6,032",Multi Family,https://www.zillow.com/homedetails/20961-83rd-St-California-City-CA-93505/2103136090_zpid/
Apartment for sale,"$475,000","1776 E Victoria Ave, San Bernardino, CA 92408",1776 E Victoria Ave,SanBernardino,CA,92408,7,4,"3,538",Multi Family,https://www.zillow.com/homedetails/1776-E-Victoria-Ave-San-Bernardino-CA-92408/17364199_zpid/
Apartment for sale,"$449,000","66164 Desert View Ave, Desert Hot Springs, CA 92240",66164 Desert View Ave,DesertHotSprings,CA,92240,5,4,"2,330",Multi Family,https://www.zillow.com/homedetails/66164-Desert-View-Ave-Desert-Hot-Springs-CA-92240/2107604582_zpid/
Foreclosure,"$375,000","1927 E 111th St, Los Angeles, CA 90059",1927 E 111th St,LosAngeles,CA,90059,6,3,"2,253",Multi Family,https://www.zillow.com/homedetails/1927-E-111th-St-Los-Angeles-CA-90059/20968042_zpid/
Apartment for sale,"$150,000","25450 Jade Rd, Barstow, CA 92311",25450 Jade Rd,Barstow,CA,92311,5,3,"2,917",Multi Family,https://www.zillow.com/homedetails/25450-Jade-Rd-Barstow-CA-92311/17485150_zpid/
Apartment for sale,"$330,000","44606 Date Ave, Lancaster, CA 93534",44606 Date Ave,Lancaster,CA,93534,5,2,2,Multi Family,https://www.zillow.com/homedetails/44606-Date-Ave-Lancaster-CA-93534/20293693_zpid/
Apartment for sale,"$659,000","2917 Capp St, Oakland, CA 94602",2917 Capp St,Oakland,CA,94602,3,2,"1,329",Multi Family,https://www.zillow.com/homedetails/2917-Capp-St-Oakland-CA-94602/24768172_zpid/
Apartment for sale,"$549,000","3309 Nicol Ave, Oakland, CA 94602",3309 Nicol Ave,Oakland,CA,94602,3,2,"1,327",Multi Family,https://www.zillow.com/homedetails/3309-Nicol-Ave-Oakland-CA-94602/24768553_zpid/
Apartment for sale,"$349,000","472 Magnolia Ave, San Bernardino, CA 92405",472 Magnolia Ave,SanBernardino,CA,92405,3,2,"1,680",Multi Family,https://www.zillow.com/homedetails/472-Magnolia-Ave-San-Bernardino-CA-92405/17233055_zpid/
Apartment for sale,"$377,000","10923 Aztec Ln, Adelanto, CA 92301",10923 Aztec Ln,Adelanto,CA,92301,8,4,"3,224",Multi Family,https://www.zillow.com/homedetails/10923-Aztec-Ln-Adelanto-CA-92301/17471032_zpid/
Apartment for sale,"$365,000","1185 Olive St, Chico, CA 95928",1185 Olive St,Chico,CA,95928,4,2,"1,704",Multi Family,https://www.zillow.com/homedetails/1185-Olive-St-Chico-CA-95928/18217958_zpid/
Apartment for sale,"$1,995,000","316 Moraga St, San Francisco, CA 94122",316 Moraga St,SanFrancisco,CA,94122,7,4,"3,675",Multi Family,https://www.zillow.com/homedetails/316-Moraga-St-San-Francisco-CA-94122/2078891899_zpid/
Apartment for sale,"$529,900","22327 Violeta Ave, Hawaiian Gardens, CA 90716",22327 Violeta Ave,HawaiianGardens,CA,90716,4,2,"1,686",Multi Family,https://www.zillow.com/homedetails/22327-Violeta-Ave-Hawaiian-Gardens-CA-90716/21135509_zpid/
Apartment for sale,"$309,900","66635 3rd St, Desert Hot Springs, CA 92240",66635 3rd St,DesertHotSprings,CA,92240,6,3,"2,432",Multi Family,https://www.zillow.com/homedetails/66635-3rd-St-Desert-Hot-Springs-CA-92240/2078882810_zpid/
Apartment for sale,"$1,099,000","2401 S Dunsmuir Ave, Los Angeles, CA 90016",2401 S Dunsmuir Ave,LosAngeles,CA,90016,4,4,"1,600",Multi Family,https://www.zillow.com/homedetails/2401-S-Dunsmuir-Ave-Los-Angeles-CA-90016/20597239_zpid/
Apartment for sale,"$499,000","6532 Live Oak St, Bell Gardens, CA 90201",6532 Live Oak St,BellGardens,CA,90201,3,2,"1,072",Multi Family,https://www.zillow.com/homedetails/6532-Live-Oak-St-Bell-Gardens-CA-90201/21090086_zpid/
Apartment for sale,"$234,900","1201 Nancy St, Barstow, CA 92311",1201 Nancy St,Barstow,CA,92311,5,4,"2,108",Multi Family,https://www.zillow.com/homedetails/1201-Nancy-St-Barstow-CA-92311/17273341_zpid/
Apartment for sale,"$165,000","1008 E Navajo St, Barstow, CA 92311",1008 E Navajo St,Barstow,CA,92311,7,2,"1,584",Multi Family,https://www.zillow.com/homedetails/1008-E-Navajo-St-Barstow-CA-92311/17274597_zpid/
Apartment for sale,"$1,695,000","127-129 Scott St, San Francisco, CA 94117",127-129 Scott St,SanFrancisco,CA,94117,4,2,"1,750",Multi Family,https://www.zillow.com/homedetails/127-129-Scott-St-San-Francisco-CA-94117/2078904061_zpid/
Apartment for sale,"$199,000","4734 Luna Rd #1-2, Phelan, CA 92371",4734 Luna Rd #1-2,Phelan,CA,92371,5,4,2,Multi Family,https://www.zillow.com/homedetails/4734-Luna-Rd-1-2-Phelan-CA-92371/17641914_zpid/
Apartment for sale,"$610,000","10320 Birmingham Way, Rancho Cordova, CA 95670",10320 Birmingham Way,RanchoCordova,CA,95670,8,--,892,Multi Family,https://www.zillow.com/homedetails/10320-Birmingham-Way-Rancho-Cordova-CA-95670/25895069_zpid/
Apartment for sale,"$325,000","701 E Oakland Ave, Hemet, CA 92543",701 E Oakland Ave,Hemet,CA,92543,4,2,--,Multi Family,https://www.zillow.com/homedetails/701-E-Oakland-Ave-Hemet-CA-92543/2078861796_zpid/
Apartment for sale,"$739,000","43627 8th St E, Lancaster, CA 93535",43627 8th St E,Lancaster,CA,93535,9,9,"4,468",Multi Family,https://www.zillow.com/homedetails/43627-8th-St-E-Lancaster-CA-93535/20295862_zpid/
Apartment for sale,"$225,000","1431-1433 W Hamilton Ave, El Centro, CA 92243",1431-1433 W Hamilton Ave,ElCentro,CA,92243,4,--,"1,612",Multi Family,https://www.zillow.com/homedetails/1431-1433-W-Hamilton-Ave-El-Centro-CA-92243/2078886859_zpid/
Apartment for sale,"$499,999","1234 W 97th St, Los Angeles, CA 90044",1234 W 97th St,LosAngeles,CA,90044,5,3,"1,528",Multi Family,https://www.zillow.com/homedetails/1234-W-97th-St-Los-Angeles-CA-90044/20962622_zpid/
Apartment for sale,"$799,900","1024 Esplanade, Chico, CA 95926",1024 Esplanade,Chico,CA,95926,8,4,"3,759",Multi Family,https://www.zillow.com/homedetails/1024-Esplanade-Chico-CA-95926/2094661361_zpid/
Apartment for sale,"$650,000","15316 Georgia Ave, Paramount, CA 90723",15316 Georgia Ave,Paramount,CA,90723,4,3,"1,966",Multi Family,https://www.zillow.com/homedetails/15316-Georgia-Ave-Paramount-CA-90723/21059078_zpid/
Apartment for sale,"$179,000","5668 Daisy Ave, Twentynine Palms, CA 92277",5668 Daisy Ave,TwentyninePalms,CA,92277,4,2,"1,600",Multi Family,https://www.zillow.com/homedetails/5668-Daisy-Ave-Twentynine-Palms-CA-92277/17501798_zpid/
Apartment for sale,"$349,000","99096 Corvina Dr, Mecca, CA 92254",99096 Corvina Dr,Mecca,CA,92254,10,6,"6,000",Multi Family,https://www.zillow.com/homedetails/99096-Corvina-Dr-Mecca-CA-92254/2106804655_zpid/
Apartment for sale,"$309,000","708 E Virginia Way, Barstow, CA 92311",708 E Virginia Way,Barstow,CA,92311,6,3,"3,392",Multi Family,https://www.zillow.com/homedetails/708-E-Virginia-Way-Barstow-CA-92311/17274335_zpid/
Apartment for sale,"$449,000","1121 N Anaheim Blvd, Anaheim, CA 92801",1121 N Anaheim Blvd,Anaheim,CA,92801,4,2,"2,000",Multi Family,https://www.zillow.com/homedetails/1121-N-Anaheim-Blvd-Anaheim-CA-92801/2079054163_zpid/
Apartment for sale,"$360,000","9825 N Loop Blvd, California City, CA 93505",9825 N Loop Blvd,CaliforniaCity,CA,93505,9,4,"3,684",Multi Family,https://www.zillow.com/homedetails/9825-N-Loop-Blvd-California-City-CA-93505/18962524_zpid/
Apartment for sale,"$3,195,000","507 36th St, Newport Beach, CA 92663",507 36th St,NewportBeach,CA,92663,4,4,"2,300",Multi Family,https://www.zillow.com/homedetails/507-36th-St-Newport-Beach-CA-92663/2088877250_zpid/
Apartment for sale,"$590,000","15424 S Vermont Ave, Gardena, CA 90247",15424 S Vermont Ave,Gardena,CA,90247,6,3,"2,090",Multi Family,https://www.zillow.com/homedetails/15424-S-Vermont-Ave-Gardena-CA-90247/79795786_zpid/
Apartment for sale,"$249,000","9225 Rea Ave, California City, CA 93505",9225 Rea Ave,CaliforniaCity,CA,93505,5,4,"2,065",Multi Family,https://www.zillow.com/homedetails/9225-Rea-Ave-California-City-CA-93505/82873817_zpid/
Apartment for sale,"$649,900","4200 E Addington Dr, Anaheim, CA 92807",4200 E Addington Dr,Anaheim,CA,92807,3,2,"1,240",Multi Family,https://www.zillow.com/homedetails/4200-E-Addington-Dr-Anaheim-CA-92807/25409293_zpid/
Apartment for sale,"$840,000","536 S Calle Palo Fierro, Palm Springs, CA 92264",536 S Calle Palo Fierro,PalmSprings,CA,92264,4,3,"2,113",Multi Family,https://www.zillow.com/homedetails/536-S-Calle-Palo-Fierro-Palm-Springs-CA-92264/2091180165_zpid/
Apartment for sale,"$1,495,000","47-49 Henry St, San Francisco, CA 94114",47-49 Henry St,SanFrancisco,CA,94114,5,--,"2,716",Multi Family,https://www.zillow.com/homedetails/47-49-Henry-St-San-Francisco-CA-94114/2078926568_zpid/
Apartment for sale,"$499,500","7380 Juniper Ave, Fontana, CA 92336",7380 Juniper Ave,Fontana,CA,92336,4,3,"2,000",Multi Family,https://www.zillow.com/homedetails/7380-Juniper-Ave-Fontana-CA-92336/17330825_zpid/
Apartment for sale,"$629,000","1601 Yulupa Ave, Santa Rosa, CA 95405",1601 Yulupa Ave,SantaRosa,CA,95405,5,3,"2,038",Multi Family,https://www.zillow.com/homedetails/1601-Yulupa-Ave-Santa-Rosa-CA-95405/15762752_zpid/
Apartment for sale,"$2,495,000","2444-2446 Fulton St, San Francisco, CA 94118",2444-2446 Fulton St,SanFrancisco,CA,94118,7,3,"3,400",Multi Family,https://www.zillow.com/homedetails/2444-2446-Fulton-St-San-Francisco-CA-94118/2078886470_zpid/
Apartment for sale,"$949,000","866 Ventura St, Altadena, CA 91001",866 Ventura St,Altadena,CA,91001,4,3,"1,811",Multi Family,https://www.zillow.com/homedetails/866-Ventura-St-Altadena-CA-91001/20907319_zpid/
Apartment for sale,"$509,000","586 Charlotte Dr, San Marcos, CA 92069",586 Charlotte Dr,SanMarcos,CA,92069,4,2,"1,488",Multi Family,https://www.zillow.com/homedetails/586-Charlotte-Dr-San-Marcos-CA-92069/16669815_zpid/
Apartment for sale,"$1,999,000","8516 N Langdon Ave, North Hills, CA 91343",8516 N Langdon Ave,NorthHills,CA,91343,10,8,"5,568",Multi Family,https://www.zillow.com/homedetails/8516-N-Langdon-Ave-North-Hills-CA-91343/2078861407_zpid/
Apartment for sale,"$299,999","2202 Fairfield St, Sacramento, CA 95815",2202 Fairfield St,Sacramento,CA,95815,3,--,"1,439",Multi Family,https://www.zillow.com/homedetails/2202-Fairfield-St-Sacramento-CA-95815/26089649_zpid/
Apartment for sale,"$480,000","3430 E 2nd St, Los Angeles, CA 90063",3430 E 2nd St,LosAngeles,CA,90063,2,2,936,Multi Family,https://www.zillow.com/homedetails/3430-E-2nd-St-Los-Angeles-CA-90063/20631614_zpid/
Apartment for sale,"$899,900","6011 La Prada St, Los Angeles, CA 90042",6011 La Prada St,LosAngeles,CA,90042,4,3,"2,039",Multi Family,https://www.zillow.com/homedetails/6011-La-Prada-St-Los-Angeles-CA-90042/20771439_zpid/
