Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
For sale by owner,"$450,000","20961 83rd St, California City, CA 93505",20961 83rd St ,California City,CA,93505,35.1252,-117.9801,"6,032",null,null,Multi Family,1986,No Data,null,$75,"$319,106","$1,200/mo",https://www.zillow.com/homedetails/20961-83rd-St-California-City-CA-93505/2103136090_zpid/
Apartment for sale,"$330,000","44606 Date Ave, Lancaster, CA 93534",44606 Date Ave ,Lancaster,CA,93534,34.692773,-118.139575,2,null,null,Multi Family,1928,3 spaces,None,"$165,000","$330,002","$1,799/mo",https://www.zillow.com/homedetails/44606-Date-Ave-Lancaster-CA-93534/20293693_zpid/
Apartment for sale,"$549,000","3309 Nicol Ave, Oakland, CA 94602",3309 Nicol Ave ,Oakland,CA,94602,37.790758,-122.210887,"1,327",null,null,Multi Family,1944,2 spaces,null,$414,"$599,426","$2,500/mo",https://www.zillow.com/homedetails/3309-Nicol-Ave-Oakland-CA-94602/24768553_zpid/
Apartment for sale,"$449,000","66164 Desert View Ave, Desert Hot Springs, CA 92240",66164 Desert View Ave ,Desert Hot Springs,CA,92240,33.958065,-116.507321,"2,330",null,null,Multi Family,1950,7 spaces,null,$193,"$275,606","$2,200/mo",https://www.zillow.com/homedetails/66164-Desert-View-Ave-Desert-Hot-Springs-CA-92240/2107604582_zpid/
Apartment for sale,"$377,000","10923 Aztec Ln, Adelanto, CA 92301",10923 Aztec Ln ,Adelanto,CA,92301,34.577199,-117.425801,"3,224",null,null,Multi Family,1985,4 spaces,null,$117,"$377,001","$1,250/mo",https://www.zillow.com/homedetails/10923-Aztec-Ln-Adelanto-CA-92301/17471032_zpid/
Apartment for sale,"$529,900","22327 Violeta Ave, Hawaiian Gardens, CA 90716",22327 Violeta Ave ,Hawaiian Gardens,CA,90716,33.825118,-118.079515,"1,686",null,null,Multi Family,1930,5 spaces,null,$314,"$531,786","$2,395/mo",https://www.zillow.com/homedetails/22327-Violeta-Ave-Hawaiian-Gardens-CA-90716/21135509_zpid/
Apartment for sale,"$659,000","2917 Capp St, Oakland, CA 94602",2917 Capp St ,Oakland,CA,94602,37.793314,-122.216897,"1,329",null,null,Multi Family,1944,2 spaces,null,$496,"$680,909","$2,500/mo",https://www.zillow.com/homedetails/2917-Capp-St-Oakland-CA-94602/24768172_zpid/
Apartment for sale,"$739,000","43627 8th St E, Lancaster, CA 93535",43627 8th St E ,Lancaster,CA,93535,34.675916,-118.114965,"4,468",null,null,Multi Family,1987,Attached Garage,null,$165,"$739,001","$2,400/mo",https://www.zillow.com/homedetails/43627-8th-St-E-Lancaster-CA-93535/20295862_zpid/
Apartment for sale,"$309,900","66635 3rd St, Desert Hot Springs, CA 92240",66635 3rd St ,Desert Hot Springs,CA,92240,33.963935,-116.498846,"2,432",null,null,Multi Family,1985,3 spaces,None,$127,null,null,https://www.zillow.com/homedetails/66635-3rd-St-Desert-Hot-Springs-CA-92240/2078882810_zpid/
Apartment for sale,"$325,000","701 E Oakland Ave, Hemet, CA 92543",701 E Oakland Ave ,Hemet,CA,92543,33.754641,-116.964881,,null,null,Multi Family,1962,No Data,null,No Data,null,null,https://www.zillow.com/homedetails/701-E-Oakland-Ave-Hemet-CA-92543/2078861796_zpid/
Apartment for sale,"$165,000","1008 E Navajo St, Barstow, CA 92311",1008 E Navajo St ,Barstow,CA,92311,34.88973,-117.011554,"1,584",null,null,Multi Family,1956,2 spaces,None,$104,"$165,001",$900/mo,https://www.zillow.com/homedetails/1008-E-Navajo-St-Barstow-CA-92311/17274597_zpid/
For sale by owner,"$520,000","9951 Arrowhead Rd, Phelan, CA 92371",9951 Arrowhead Rd ,Phelan,CA,92371,34.431512,-117.454273,"2,609",null,null,Multi Family,2002,2 spaces,null,$199,"$420,642","$2,100/mo",https://www.zillow.com/homedetails/9951-Arrowhead-Rd-Phelan-CA-92371/59203394_zpid/
Apartment for sale,"$1,099,000","2401 S Dunsmuir Ave, Los Angeles, CA 90016",2401 S Dunsmuir Ave ,Los Angeles,CA,90016,34.035706,-118.358651,"1,600",null,null,Multi Family,1925,2 spaces,null,$687,"$1,092,532","$3,000/mo",https://www.zillow.com/homedetails/2401-S-Dunsmuir-Ave-Los-Angeles-CA-90016/20597239_zpid/
Apartment for sale,"$798,000","2148 Kays Ave, Rosemead, CA 91770",2148 Kays Ave ,Rosemead,CA,91770,34.052915,-118.107594,"2,112",null,null,Multi Family,1955,12 spaces,None,$378,"$798,133","$2,700/mo",https://www.zillow.com/homedetails/2148-Kays-Ave-Rosemead-CA-91770/20675859_zpid/
Apartment for sale,"$3,195,000","507 36th St, Newport Beach, CA 92663",507 36th St ,Newport Beach,CA,92663,33.618807,-117.932023,"2,300",null,null,Multi Family,1950,2 spaces,None,"$1,389","$3,069,188","$9,190/mo",https://www.zillow.com/homedetails/507-36th-St-Newport-Beach-CA-92663/2088877250_zpid/
Apartment for sale,"$360,000","9825 N Loop Blvd, California City, CA 93505",9825 N Loop Blvd ,California City,CA,93505,35.133536,-117.95322,"3,684",null,null,Multi Family,1990,3 spaces,None,$98,"$350,075","$1,050/mo",https://www.zillow.com/homedetails/9825-N-Loop-Blvd-California-City-CA-93505/18962524_zpid/
Apartment for sale,"$225,000","1431-1433 W Hamilton Ave, El Centro, CA 92243",1431-1433 W Hamilton Ave ,El Centro,CA,92243,32.785733,-115.568826,"1,612",null,null,Multi Family,1949,No Data,null,$140,null,null,https://www.zillow.com/homedetails/1431-1433-W-Hamilton-Ave-El-Centro-CA-92243/2078886859_zpid/
Apartment for sale,"$379,999","3700 S San Pedro St, Los Angeles, CA 90011",3700 S San Pedro St ,Los Angeles,CA,90011,34.012527,-118.266786,"1,280",null,null,Multi Family,1919,No Data,null,$297,"$399,001","$2,500/mo",https://www.zillow.com/homedetails/3700-S-San-Pedro-St-Los-Angeles-CA-90011/20622150_zpid/
Apartment for sale,"$349,950","1942 Comstock Dr, Stockton, CA 95209",1942 Comstock Dr ,Stockton,CA,95209,38.03751,-121.337581,900,null,null,Multi Family,1980,3 spaces,None,$389,"$349,951","$1,550/mo",https://www.zillow.com/homedetails/1942-Comstock-Dr-Stockton-CA-95209/15277105_zpid/
Apartment for sale,"$299,999","2202 Fairfield St, Sacramento, CA 95815",2202 Fairfield St ,Sacramento,CA,95815,38.606657,-121.452902,"1,439",null,null,Multi Family,1950,4 spaces,None,$208,"$305,274","$1,375/mo",https://www.zillow.com/homedetails/2202-Fairfield-St-Sacramento-CA-95815/26089649_zpid/
Apartment for sale,"$269,000","7470 Fox Trl Apt A, Yucca Valley, CA 92284",7470 Fox Trl Apt A,Yucca Valley,CA,92284,34.116267,-116.448864,"1,616",null,null,Multi Family,1947,2 spaces,null,$166,"$262,384","$1,150/mo",https://www.zillow.com/homedetails/7470-Fox-Trl-APT-A-Yucca-Valley-CA-92284/17491046_zpid/
Apartment for sale,"$279,900","1100 S Edison St, Visalia, CA 93292",1100 S Edison St ,Visalia,CA,93292,36.321163,-119.280512,"2,070",null,null,Multi Family,1979,2 spaces,null,$135,"$279,900",$950/mo,https://www.zillow.com/homedetails/1100-S-Edison-St-Visalia-CA-93292/16241423_zpid/
For sale by owner,"$399,000","694-980 Gold Run Rd, Susanville, CA 96130",694-980 Gold Run Rd ,Susanville,CA,96130,40.356764,-120.7017,"1,897",null,null,Multi Family,1965,1 space,None,$210,null,null,https://www.zillow.com/homedetails/694-980-Gold-Run-Rd-Susanville-CA-96130/19108899_zpid/
Apartment for sale,"$295,817","5426 13th Ave, Sacramento, CA 95820",5426 13th Ave ,Sacramento,CA,95820,38.540109,-121.44199,"1,258",null,null,Multi Family,1947,No Data,None,$235,"$305,770","$1,500/mo",https://www.zillow.com/homedetails/5426-13th-Ave-Sacramento-CA-95820/25802628_zpid/
Apartment for sale,"$629,000","1601 Yulupa Ave, Santa Rosa, CA 95405",1601 Yulupa Ave ,Santa Rosa,CA,95405,38.439215,-122.671699,"2,038",null,null,Multi Family,1974,2 spaces,null,$309,"$710,297","$2,500/mo",https://www.zillow.com/homedetails/1601-Yulupa-Ave-Santa-Rosa-CA-95405/15762752_zpid/
Apartment for sale,"$590,000","15424 S Vermont Ave, Gardena, CA 90247",15424 S Vermont Ave ,Gardena,CA,90247,33.89092,-118.291327,"2,090",null,null,Multi Family,2006,2 spaces,null,$282,"$589,208","$2,550/mo",https://www.zillow.com/homedetails/15424-S-Vermont-Ave-Gardena-CA-90247/79795786_zpid/
Apartment for sale,"$550,000","1722 W 57th St, Los Angeles, CA 90062",1722 W 57th St ,Los Angeles,CA,90062,33.99034,-118.307645,"1,692",null,null,Multi Family,1939,1 space,None,$325,"$555,722","$2,450/mo",https://www.zillow.com/homedetails/1722-W-57th-St-Los-Angeles-CA-90062/20562777_zpid/
Apartment for sale,"$185,000","7509 Utah Trl, Twentynine Palms, CA 92277",7509 Utah Trl ,Twentynine Palms,CA,92277,34.117516,-116.036117,"1,995",null,null,Multi Family,1937,Attached Garage,null,$93,"$185,019","$1,050/mo",https://www.zillow.com/homedetails/7509-Utah-Trl-Twentynine-Palms-CA-92277/17495263_zpid/
Apartment for sale,"$309,000","708 E Virginia Way, Barstow, CA 92311",708 E Virginia Way ,Barstow,CA,92311,34.887873,-117.017916,"3,392",null,null,Multi Family,1981,4 spaces,None,$91,"$309,000",$950/mo,https://www.zillow.com/homedetails/708-E-Virginia-Way-Barstow-CA-92311/17274335_zpid/
Apartment for sale,"$754,900","877 E Cottonwood Rd, Palm Springs, CA 92262",877 E Cottonwood Rd ,Palm Springs,CA,92262,33.843905,-116.538215,"2,395",null,null,Multi Family,1975,6 spaces,null,$315,null,null,https://www.zillow.com/homedetails/877-E-Cottonwood-Rd-Palm-Springs-CA-92262/2085570109_zpid/
Apartment for sale,"$499,999","1234 W 97th St, Los Angeles, CA 90044",1234 W 97th St ,Los Angeles,CA,90044,33.94749,-118.297261,"1,528",null,null,Multi Family,1923,2 spaces,None,$327,"$500,003","$2,500/mo",https://www.zillow.com/homedetails/1234-W-97th-St-Los-Angeles-CA-90044/20962622_zpid/
