Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$499,900","4589 Hartley St, San Diego, CA 92102",4589 Hartley St ,San Diego,CA,92102,32.710017,-117.095266,"1,320","5,092 sqft",5092.0,Single Family,1958,3 spaces,None,$379,"$505,679","$2,450/mo",https://www.zillow.com/homedetails/4589-Hartley-St-San-Diego-CA-92102/17087062_zpid/
House for sale,"$234,900","56790 Bonanza Dr, Yucca Valley, CA 92284",56790 Bonanza Dr ,Yucca Valley,CA,92284,34.103071,-116.425243,"1,586",0.41 acres,17859.6,Single Family,1972,2 spaces,None,$148,"$201,639","$1,400/mo",https://www.zillow.com/homedetails/56790-Bonanza-Dr-Yucca-Valley-CA-92284/17489491_zpid/
House for sale,"$199,000","39516 163rd St E, Palmdale, CA 93591",39516 163rd St E ,Palmdale,CA,93591,34.599952,-117.840083,"1,402",0.5 acres,21780.0,Single Family,1988,2 spaces,None,$142,"$195,576","$1,800/mo",https://www.zillow.com/homedetails/39516-163rd-St-E-Palmdale-CA-93591/20275913_zpid/
House for sale,"$320,000","41847 Johnston Ave, Hemet, CA 92544",41847 Johnston Ave ,Hemet,CA,92544,33.732971,-116.930943,"2,227","7,840 sqft",7840.0,Single Family,1979,2 spaces,None,$144,"$320,002","$2,095/mo",https://www.zillow.com/homedetails/41847-Johnston-Ave-Hemet-CA-92544/17985202_zpid/
House for sale,"$349,000","1800 Jerrilynn Dr, Arnold, CA 95223",1800 Jerrilynn Dr ,Arnold,CA,95223,38.24836,-120.343033,"2,072",0.38 acres,16552.8,Single Family,1978,1 space,$65/month,$168,null,null,https://www.zillow.com/homedetails/1800-Jerrilynn-Dr-Arnold-CA-95223/52442774_zpid/
House for sale,"$699,996","2190 Eucalyptus Ave, Long Beach, CA 90806",2190 Eucalyptus Ave ,Long Beach,CA,90806,33.796968,-118.196667,"2,006","6,342 sqft",6342.0,Single Family,1940,2 spaces,None,$349,"$701,164","$2,950/mo",https://www.zillow.com/homedetails/2190-Eucalyptus-Ave-Long-Beach-CA-90806/21194800_zpid/
House for sale,"$779,999","3911 Lees Ave, Long Beach, CA 90808",3911 Lees Ave ,Long Beach,CA,90808,33.827927,-118.098291,"1,797","5,458 sqft",5458.0,Single Family,1953,2 spaces,None,$434,"$780,004","$2,900/mo",https://www.zillow.com/homedetails/3911-Lees-Ave-Long-Beach-CA-90808/21135573_zpid/
House for sale,"$350,000","1509 Park Ave, San Jacinto, CA 92583",1509 Park Ave ,San Jacinto,CA,92583,33.761176,-116.935159,"2,550",0.35 acres,15246.0,Single Family,1992,3 spaces,None,$137,"$350,001","$2,200/mo",https://www.zillow.com/homedetails/1509-Park-Ave-San-Jacinto-CA-92583/17972074_zpid/
House for sale,"$390,000","6602 Adainville Dr, Palmdale, CA 93552",6602 Adainville Dr ,Palmdale,CA,93552,34.577184,-118.011269,"2,461","9,147 sqft",9147.0,Single Family,2008,2 spaces,$60/month,$158,"$390,002","$2,500/mo",https://www.zillow.com/homedetails/6602-Adainville-Dr-Palmdale-CA-93552/95546512_zpid/
House for sale,"$449,999","10728 Palm Ave, Bakersfield, CA 93312",10728 Palm Ave ,Bakersfield,CA,93312,35.37667,-119.125672,"2,213",0.51 acres,22215.6,Single Family,1976,2 spaces,null,$203,"$361,816","$2,194/mo",https://www.zillow.com/homedetails/10728-Palm-Ave-Bakersfield-CA-93312/18918676_zpid/
House for sale,"$265,000","19856 Big Bend Dr, Cottonwood, CA 96022",19856 Big Bend Dr ,Cottonwood,CA,96022,40.370693,-122.200924,"1,655",0.27 acres,11761.2,Single Family,1979,2 spaces,null,$160,"$268,353","$1,450/mo",https://www.zillow.com/homedetails/19856-Big-Bend-Dr-Cottonwood-CA-96022/16183257_zpid/
House for sale,"$399,000","9060 Buena Vista St, Apple Valley, CA 92308",9060 Buena Vista St ,Apple Valley,CA,92308,34.416441,-117.177557,"1,869",0.92 acres,40075.2,Single Family,2007,2 spaces,null,$213,"$398,988","$2,100/mo",https://www.zillow.com/homedetails/9060-Buena-Vista-St-Apple-Valley-CA-92308/82921534_zpid/
