Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Townhouse for sale,"$560,000","13142 Riverside Dr Apt 2, Los Angeles, CA 91423",13142 Riverside Dr Apt 2,Los Angeles,CA,91423,34.157447,-118.419747,"1,402","8,398 sqft",8398.0,Townhouse,1983,2 spaces,$400/month,$399,"$568,000","$3,100/mo",https://www.zillow.com/homedetails/13142-Riverside-Dr-APT-2-Los-Angeles-CA-91423/20021868_zpid/
Townhouse for sale,"$497,000","28494 Lucca Ct, Trabuco Canyon, CA 92679",28494 Lucca Ct ,Trabuco Canyon,CA,92679,33.676383,-117.63333,950,No Data,null,Townhouse,1994,2 spaces,$200/month,$523,"$497,001","$2,250/mo",https://www.zillow.com/homedetails/28494-Lucca-Ct-Trabuco-Canyon-CA-92679/25685669_zpid/
Townhouse for sale,"$740,000","18975 Pelham Way, Yorba Linda, CA 92886",18975 Pelham Way ,Yorba Linda,CA,92886,33.903745,-117.802986,"2,601","3,000 sqft",3000.0,Townhouse,2005,2 spaces,$300/month,$285,"$735,542","$3,600/mo",https://www.zillow.com/homedetails/18975-Pelham-Way-Yorba-Linda-CA-92886/69257870_zpid/
Townhouse for sale,"$749,000","595 Cabot Ct, Walnut Creek, CA 94598",595 Cabot Ct ,Walnut Creek,CA,94598,37.924363,-122.039907,"1,700","2,465 sqft",2465.0,Townhouse,1976,2 spaces,$375/month,$441,null,null,https://www.zillow.com/homedetails/595-Cabot-Ct-Walnut-Creek-CA-94598/18383440_zpid/
Townhouse for sale,"$372,000","7600 N Lake Blvd # 11, Tahoe Vista, CA 96148",7600 N Lake Blvd # 11,Tahoe Vista,CA,96148,39.238339,-120.037995,723,704 sqft,704.0,Townhouse,1973,No Data,null,$515,"$360,190","$1,900/mo",https://www.zillow.com/homedetails/7600-N-Lake-Blvd-11-Tahoe-Vista-CA-96148/17711153_zpid/
Townhouse for sale,"$639,900","2226 Granby Way, San Marcos, CA 92078",2226 Granby Way ,San Marcos,CA,92078,33.108752,-117.222207,"1,775",0.53 acres,23086.8,Townhouse,2010,2 spaces,$267/month,$361,"$640,028","$2,900/mo",https://www.zillow.com/homedetails/2226-Granby-Way-San-Marcos-CA-92078/102972007_zpid/
Townhouse for sale,"$519,000","27447 Ponderosa Ct, Hayward, CA 94545",27447 Ponderosa Ct ,Hayward,CA,94545,37.627776,-122.09643,"1,254",945 sqft,945.0,Townhouse,1970,Carport,$268/month,$414,"$522,223","$3,000/mo",https://www.zillow.com/homedetails/27447-Ponderosa-Ct-Hayward-CA-94545/24989118_zpid/
Townhouse for sale,"$324,900","5202 Lake Knoll Ln, Fair Oaks, CA 95628",5202 Lake Knoll Ln ,Fair Oaks,CA,95628,38.661095,-121.27607,"1,684","1,616 sqft",1616.0,Townhouse,1973,2 spaces,$375/month,$193,"$324,902","$1,750/mo",https://www.zillow.com/homedetails/5202-Lake-Knoll-Ln-Fair-Oaks-CA-95628/26032488_zpid/
Townhouse for sale,"$849,000","1301 Franklin St Apt 1, Santa Monica, CA 90404",1301 Franklin St Apt 1,Santa Monica,CA,90404,34.039178,-118.469676,928,0.67 acres,29185.2,Townhouse,1956,No Data,$436/month,$915,"$849,004","$3,400/mo",https://www.zillow.com/homedetails/1301-Franklin-St-APT-1-Santa-Monica-CA-90404/20470382_zpid/
Townhouse for sale,"$1,995,000","870 Haverford Ave Unit 203, Pacific Palisades, CA 90272",870 Haverford Ave Unit 203,Pacific Palisades,CA,90272,34.0469,-118.528153,"2,130",0.33 acres,14374.8,Townhouse,2008,2 spaces,$940/month,$937,"$1,965,508","$6,800/mo",https://www.zillow.com/homedetails/870-Haverford-Ave-UNIT-203-Pacific-Palisades-CA-90272/89462109_zpid/
Townhouse for sale,"$999,888","5 Lago Norte # 3, Irvine, CA 92612",5 Lago Norte # 3,Irvine,CA,92612,33.65878,-117.83145,"1,884","2,299 sqft",2299.0,Townhouse,1974,2 spaces,$486/month,$531,"$984,168","$3,600/mo",https://www.zillow.com/homedetails/5-Lago-Norte-3-Irvine-CA-92612/25704372_zpid/
Townhouse for sale,"$345,000","6258 Lonetree Blvd, Rocklin, CA 95765",6258 Lonetree Blvd ,Rocklin,CA,95765,38.807029,-121.295439,"1,771","1,197 sqft",1197.0,Townhouse,2008,2 spaces,$235/month,$195,"$345,002","$2,095/mo",https://www.zillow.com/homedetails/6258-Lonetree-Blvd-Rocklin-CA-95765/79549654_zpid/
Townhouse for sale,"$419,900","9802 Karmont Ave, South Gate, CA 90280",9802 Karmont Ave ,South Gate,CA,90280,33.940895,-118.163744,"1,571","1,546 sqft",1546.0,Townhouse,1972,2 spaces,$288/month,$267,"$437,947","$2,500/mo",https://www.zillow.com/homedetails/9802-Karmont-Ave-South-Gate-CA-90280/21040914_zpid/
New construction,"$970,000","6152 Pacific Coast Hwy, Redondo Beach, CA 90277",6152 Pacific Coast Hwy ,Redondo Beach,CA,90277,33.817041,-118.380999,"1,124","10,315 sqft",10315.0,Townhouse,2020,2 spaces,$343/month,$863,null,null,https://www.zillow.com/homedetails/6152-Pacific-Coast-Hwy-Redondo-Beach-CA-90277/2078930710_zpid/
New construction,"$970,000","6158 Pacific Coast Hwy, Redondo Beach, CA 90277",6158 Pacific Coast Hwy ,Redondo Beach,CA,90277,33.817115,-118.381116,"1,198","10,315 sqft",10315.0,Townhouse,2020,2 spaces,$343/month,$810,null,null,https://www.zillow.com/homedetails/6158-Pacific-Coast-Hwy-Redondo-Beach-CA-90277/2078930708_zpid/
New construction,"$970,000","6156 Pacific Coast Hwy, Redondo Beach, CA 90277",6156 Pacific Coast Hwy ,Redondo Beach,CA,90277,33.81709,-118.381077,"1,198","10,315 sqft",10315.0,Townhouse,2020,2 spaces,$343/month,$810,null,null,https://www.zillow.com/homedetails/6156-Pacific-Coast-Hwy-Redondo-Beach-CA-90277/2078930711_zpid/
New construction,"$970,000","6154 Pacific Coast Hwy, Redondo Beach, CA 90277",6154 Pacific Coast Hwy ,Redondo Beach,CA,90277,33.817065,-118.381038,"1,198","10,315 sqft",10315.0,Townhouse,2020,2 spaces,$343/month,$810,null,null,https://www.zillow.com/homedetails/6154-Pacific-Coast-Hwy-Redondo-Beach-CA-90277/2078930712_zpid/
Townhouse for sale,"$1,249,990","31 East Ct, San Mateo, CA 94404",31 East Ct ,San Mateo,CA,94404,37.555658,-122.269634,"1,530",919 sqft,919.0,Townhouse,1986,Attached Garage,$418/month,$817,null,null,https://www.zillow.com/homedetails/31-East-Ct-San-Mateo-CA-94404/2078931400_zpid/
Townhouse for sale,"$869,000","756 Arcadia Ave Unit A, Arcadia, CA 91007",756 Arcadia Ave Unit A,Arcadia,CA,91007,34.126781,-118.05731,"2,146",0.41 acres,17859.6,Townhouse,1999,2 spaces,$200/month,$405,"$869,038","$3,150/mo",https://www.zillow.com/homedetails/756-Arcadia-Ave-UNIT-A-Arcadia-CA-91007/50877582_zpid/
Townhouse for sale,"$1,250,000","1307 Via Tornasol, Aptos, CA 95003",1307 Via Tornasol ,Aptos,CA,95003,36.954308,-121.880736,"1,842","1,001 sqft",1001.0,Townhouse,1986,Attached Garage,$525/month,$679,"$1,250,008","$3,600/mo",https://www.zillow.com/homedetails/1307-Via-Tornasol-Aptos-CA-95003/16147242_zpid/
Townhouse for sale,"$398,000","14685 Red Hill Ave, Tustin, CA 92780",14685 Red Hill Ave ,Tustin,CA,92780,33.725934,-117.823435,"1,008","1,389 sqft",1389.0,Townhouse,1964,3 spaces,$255/month,$395,"$398,002","$2,250/mo",https://www.zillow.com/homedetails/14685-Red-Hill-Ave-Tustin-CA-92780/25471963_zpid/
Townhouse for sale,"$580,000","325 S Chapel Ave Apt D, Alhambra, CA 91801",325 S Chapel Ave Apt D,Alhambra,CA,91801,34.092604,-118.121273,"1,128","7,291 sqft",7291.0,Townhouse,1992,2 spaces,$150/month,$514,"$588,072","$2,500/mo",https://www.zillow.com/homedetails/325-S-Chapel-Ave-APT-D-Alhambra-CA-91801/20709042_zpid/
Townhouse for sale,"$515,000","1134 N A St, Oxnard, CA 93030",1134 N A St ,Oxnard,CA,93030,34.212611,-119.177936,"1,926","1,045 sqft",1045.0,Townhouse,2006,2 spaces,$105/month,$267,"$512,180","$2,775/mo",https://www.zillow.com/homedetails/1134-N-A-St-Oxnard-CA-93030/70588531_zpid/
Townhouse for sale,"$618,000","6121 Shoup Ave Unit 9, Los Angeles, CA 91367",6121 Shoup Ave Unit 9,Los Angeles,CA,91367,34.181955,-118.616021,"1,764",2.89 acres,125888.4,Townhouse,1975,2 spaces,$515/month,$350,"$618,003","$3,000/mo",https://www.zillow.com/homedetails/6121-Shoup-Ave-UNIT-9-Los-Angeles-CA-91367/19877197_zpid/
Townhouse for sale,"$549,900","9959 Maya Linda Rd Unit 22, San Diego, CA 92126",9959 Maya Linda Rd Unit 22,San Diego,CA,92126,32.901083,-117.121189,"1,588",4.83 acres,210394.8,Townhouse,1986,2 spaces,$410/month,$346,"$550,826","$2,900/mo",https://www.zillow.com/homedetails/9959-Maya-Linda-Rd-UNIT-22-San-Diego-CA-92126/16833593_zpid/
New construction,"$534,900","2510 Cheyne Way, Oceanside, CA 92056",2510 Cheyne Way ,Oceanside,CA,92056,33.201599,-117.289323,"1,659",No Data,null,Townhouse,2020,2 spaces,$293/month,$322,null,null,https://www.zillow.com/homedetails/2510-Cheyne-Way-Oceanside-CA-92056/2078932732_zpid/
New construction,"$583,900","3585 Conner Way, Oceanside, CA 92056",3585 Conner Way ,Oceanside,CA,92056,33.201599,-117.289323,"2,213",No Data,null,Townhouse,2020,2 spaces,$293/month,$264,null,null,https://www.zillow.com/homedetails/3585-Conner-Way-Oceanside-CA-92056/2078932775_zpid/
Townhouse for sale,"$519,000","6470 Viewpoint Ct, Martinez, CA 94553",6470 Viewpoint Ct ,Martinez,CA,94553,37.961591,-122.100819,"1,322","2,099 sqft",2099.0,Townhouse,1976,2 spaces,$330/month,$393,null,null,https://www.zillow.com/homedetails/6470-Viewpoint-Ct-Martinez-CA-94553/18402536_zpid/
Townhouse for sale,"$519,000","6470 Viewpoint Ct, Martinez, CA 94553",6470 Viewpoint Ct ,Martinez,CA,94553,37.961591,-122.100819,"1,322","2,099 sqft",2099.0,Townhouse,1976,2 spaces,$330/month,$393,null,null,https://www.zillow.com/homedetails/6470-Viewpoint-Ct-Martinez-CA-94553/18402536_zpid/
Townhouse for sale,"$495,500","6540 Hayvenhurst Ave Unit 34, Los Angeles, CA 91406",6540 Hayvenhurst Ave Unit 34,Los angeles,CA,91406,34.18974,-118.491774,"1,391",1.69 acres,73616.4,Townhouse,1981,2 spaces,$465/month,$356,"$495,763","$2,600/mo",https://www.zillow.com/homedetails/6540-Hayvenhurst-Ave-UNIT-34-Los-Angeles-CA-91406/19966869_zpid/
Townhouse for sale,"$330,000","192 Deer Creek Xing, Clio, CA 96106",192 Deer Creek Xing ,Clio,CA,96106,39.719813,-120.543349,"1,715","4,356 sqft",4356.0,Townhouse,1995,2 spaces,null,$192,"$314,054","$2,245/mo",https://www.zillow.com/homedetails/192-Deer-Creek-Xing-Clio-CA-96106/112380666_zpid/
Townhouse for sale,"$334,900","1030 W Macarthur Blvd Apt 154, Santa Ana, CA 92707",1030 W Macarthur Blvd Apt 154,Santa Ana,CA,92707,33.699782,-117.882521,905,No Data,null,Townhouse,1969,1 space,$352/month,$370,"$334,900","$1,995/mo",https://www.zillow.com/homedetails/1030-W-Macarthur-Blvd-APT-154-Santa-Ana-CA-92707/25737081_zpid/
Townhouse for sale,"$599,900","224 Sandcastle, Aliso Viejo, CA 92656",224 Sandcastle ,Aliso Viejo,CA,92656,33.565339,-117.722575,"1,362",100 sqft,100.0,Townhouse,1989,2 spaces,$265/month,$440,"$594,425","$3,100/mo",https://www.zillow.com/homedetails/224-Sandcastle-Aliso-Viejo-CA-92656/25667467_zpid/
Townhouse for sale,"$859,000","28 Tanglewood Dr, Irvine, CA 92604",28 Tanglewood Dr ,Irvine,CA,92604,33.684643,-117.804616,"1,851","2,308 sqft",2308.0,Townhouse,1976,2 spaces,$105/month,$464,"$843,274","$3,400/mo",https://www.zillow.com/homedetails/28-Tanglewood-Dr-Irvine-CA-92604/25488484_zpid/
Townhouse for sale,"$2,195,000","1276 Sharon Park Dr, Menlo Park, CA 94025",1276 Sharon Park Dr ,Menlo Park,CA,94025,37.425633,-122.218342,"2,310","2,265 sqft",2265.0,Townhouse,1976,Attached Garage,$542/month,$950,"$2,263,524","$5,500/mo",https://www.zillow.com/homedetails/1276-Sharon-Park-Dr-Menlo-Park-CA-94025/15600237_zpid/
Townhouse for sale,"$479,000","10620 Boulders Rd Apt 1, Truckee, CA 96161",10620 Boulders Rd Apt 1,Truckee,CA,96161,39.32028,-120.210782,"1,218",No Data,null,Townhouse,2003,1 space,$285/month,$393,null,null,https://www.zillow.com/homedetails/10620-Boulders-Rd-APT-1-Truckee-CA-96161/2104046194_zpid/
Townhouse for sale,"$499,999","9250 Sunland Blvd Apt 2, Los Angeles, CA 91352",9250 Sunland Blvd Apt 2,Los Angeles,CA,91352,34.237651,-118.367002,"1,124",3.31 acres,144183.6,Townhouse,1984,2 spaces,$390/month,$445,"$500,069","$2,600/mo",https://www.zillow.com/homedetails/9250-Sunland-Blvd-APT-2-Los-Angeles-CA-91352/20089726_zpid/
Townhouse for sale,"$1,125,000","383 S Marengo Ave # 103, Pasadena, CA 91101",383 S Marengo Ave # 103,Pasadena,CA,91101,34.138973,-118.146315,"1,660",0.89 acres,38768.4,Townhouse,2017,2 spaces,$418/month,$678,"$1,125,408","$4,036/mo",https://www.zillow.com/homedetails/383-S-Marengo-Ave-103-Pasadena-CA-91101/2092875972_zpid/
Townhouse for sale,"$679,500","19014 Windridge Ln, Huntington Beach, CA 92646",19014 Windridge Ln ,Huntington Beach,CA,92646,33.686588,-117.961697,"1,700","1,115 sqft",1115.0,Townhouse,1992,2 spaces,$240/month,$400,"$679,501","$3,000/mo",https://www.zillow.com/homedetails/19014-Windridge-Ln-Huntington-Beach-CA-92646/25278172_zpid/
Townhouse for sale,"$849,000","6299 Rocky Point Ct, Oakland, CA 94605",6299 Rocky Point Ct ,Oakland,CA,94605,37.778138,-122.162452,"2,513","2,374 sqft",2374.0,Townhouse,2011,2 spaces,$405/month,$338,"$992,530","$3,700/mo",https://www.zillow.com/homedetails/6299-Rocky-Point-Ct-Oakland-CA-94605/111408702_zpid/
Townhouse for sale,"$460,000","10201 Mason Ave Unit 36, Los Angeles, CA 91311",10201 Mason Ave Unit 36,Los angeles,CA,91311,34.254339,-118.58016,"1,520",7.62 acres,331927.2,Townhouse,1980,2 spaces,$488/month,$303,"$460,145","$2,600/mo",https://www.zillow.com/homedetails/10201-Mason-Ave-UNIT-36-Los-Angeles-CA-91311/20170436_zpid/
Townhouse for sale,"$549,900","318 Rock Creek Way, Pleasant Hill, CA 94523",318 Rock Creek Way ,Pleasant Hill,CA,94523,37.960505,-122.055337,"1,162",784 sqft,784.0,Townhouse,1985,1 space,$440/month,$473,"$549,903","$2,650/mo",https://www.zillow.com/homedetails/318-Rock-Creek-Way-Pleasant-Hill-CA-94523/18365309_zpid/
Townhouse for sale,"$818,000","750 Ryan Ter, San Ramon, CA 94583",750 Ryan Ter ,San Ramon,CA,94583,37.777839,-121.983367,"1,791","2,000 sqft",2000.0,Townhouse,2017,2 spaces,$290/month,$457,"$818,005","$3,600/mo",https://www.zillow.com/homedetails/750-Ryan-Ter-San-Ramon-CA-94583/241642184_zpid/
Townhouse for sale,"$650,000","3196 Cropley Ave, San Jose, CA 95132",3196 Cropley Ave ,San Jose,CA,95132,37.411244,-121.865239,"1,003",744 sqft,744.0,Townhouse,1976,1 space,$350/month,$648,"$650,005","$2,675/mo",https://www.zillow.com/homedetails/3196-Cropley-Ave-San-Jose-CA-95132/19770370_zpid/
Townhouse for sale,"$1,295,000","1176 Alta Mesa Dr, Moraga, CA 94556",1176 Alta Mesa Dr ,Moraga,CA,94556,37.838063,-122.119653,"2,785","4,081 sqft",4081.0,Townhouse,1975,2 spaces,$524/month,$465,"$1,299,504","$4,500/mo",https://www.zillow.com/homedetails/1176-Alta-Mesa-Dr-Moraga-CA-94556/18473747_zpid/
