Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
3 Beds											","
Studio																	–
4 Beds													","
2 																	–
5 Beds													","
Studio																	–
3 Beds													","
3 Beds													","
													Studio
											","
													Studio
															–
2 Beds											","
													Studio
															–
3 Beds											","
													1 Bed
															–
2 Beds											"
Atlas,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,399'}, {'bedroom_type': '1 Bed', 'price': '$2,635'}, {'bedroom_type': '2 Beds', 'price': '$3,540'}]","1314 Franklin St, Oakland, CA 94612",https://www.apartments.com/atlas-oakland-ca/drpzh4l/,"$2,399","$2,635","$3,540",,,,,,,,,,,
Mariposa on 3rd,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$2,299'}, {'bedroom_type': '2 Beds', 'price': '$3,279'}]","269 S Mariposa Ave, Los Angeles, CA 90004",https://www.apartments.com/mariposa-on-3rd-los-angeles-ca/d73wkdh/,,"$2,299","$3,279",,,,,,,,,,,
Amelia,Oakland,Apartment,CA,94609,"[{'bedroom_type': '1 Bed', 'price': '$2,310'}, {'bedroom_type': '2 Beds', 'price': '$3,230'}]","411 29th St, Oakland, CA 94609",https://www.apartments.com/amelia-oakland-ca/rnfzrx3/,,"$2,310","$3,230",,,,,,,,,,,
Palazzo West,Los Angeles,Apartment,CA,90036,"[{'bedroom_type': '1 Bed', 'price': '$2,440'}, {'bedroom_type': '2 Beds', 'price': '$3,361'}, {'bedroom_type': '3 Beds', 'price': '$6,396'}]","6220 W 3rd St, Los Angeles, CA 90036",https://www.apartments.com/palazzo-west-los-angeles-ca/lcvb9pg/,,"$2,440","$3,361","$6,396",,,,,,,,,,
Mission Lofts,Riverside,Apartment,CA,92507,"[{'bedroom_type': 'Studio', 'price': '$1,627'}, {'bedroom_type': '1 Bed', 'price': '$1,802'}, {'bedroom_type': '2 Beds', 'price': '$2,192'}]","3050 Mission Inn Ave, Riverside, CA 92507",https://www.apartments.com/mission-lofts-riverside-ca/41rehmk/,"$1,627","$1,802","$2,192",,,,,,,,,,,
The Rise Hayes Valley,San Francisco,Apartment,CA,94103,"[{'bedroom_type': 'Studio', 'price': '$2,375'}, {'bedroom_type': '1 Bed', 'price': '$3,135'}, {'bedroom_type': '2 Beds', 'price': '$4,150'}]","1699 Market St, San Francisco, CA 94103",https://www.apartments.com/the-rise-hayes-valley-san-francisco-ca/plmhlcr/,"$2,375","$3,135","$4,150",,,,,,,,,,,
The Skylyne at Temescal,Oakland,Apartment,CA,94609,"[{'bedroom_type': 'Studio', 'price': '$2,225'}, {'bedroom_type': '1 Bed', 'price': '$2,415'}, {'bedroom_type': '2 Beds', 'price': '$3,315'}, {'bedroom_type': '3 Beds', 'price': '$4,775'}]","3883 Turquoise Way, Oakland, CA 94609",https://www.apartments.com/the-skylyne-at-temescal-oakland-ca/kemfw7c/,"$2,225","$2,415","$3,315","$4,775",,,,,,,,,,
Anson,Burlingame,Apartment,CA,94010,"[{'bedroom_type': '1 Bed', 'price': '$3,145'}, {'bedroom_type': '2 Beds', 'price': '$4,035'}, {'bedroom_type': '3 Beds', 'price': '$5,765'}]","1008 Carolan Ave, Burlingame, CA 94010",https://www.apartments.com/anson-burlingame-ca/pb9pfct/,,"$3,145","$4,035","$5,765",,,,,,,,,,
Art Set NoHo,North Hollywood,Apartment,CA,91601,"[{'bedroom_type': 'Studio', 'price': '$1,976'}]","11525 Chandler Blvd, North Hollywood, CA 91601",https://www.apartments.com/art-set-noho-north-hollywood-ca/r3f1hr0/,"$1,976",,,,,,,,,,,,,
Monarch Buena Vista,Vista,Apartment,CA,92084,"[{'bedroom_type': '1 Bed', 'price': '$2,175'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}, {'bedroom_type': '3 Beds', 'price': '$3,075'}]","740 Paseo Bueno Vista, Vista, CA 92084",https://www.apartments.com/monarch-buena-vista-vista-ca/f20qt8s/,,"$2,175","$2,495","$3,075",,,,,,,,,,
Alira,Sacramento,Apartment,CA,95834,"[{'bedroom_type': 'Studio', 'price': '$1,655'}, {'bedroom_type': '1 Bed', 'price': '$1,744'}, {'bedroom_type': '2 Beds', 'price': '$2,310'}, {'bedroom_type': '3 Beds', 'price': '$2,859'}]","4100 Innovator Dr, Sacramento, CA 95834",https://www.apartments.com/alira-sacramento-ca/m28q0dk/,"$1,655","$1,744","$2,310","$2,859",,,,,,,,,,
The Madelon,San Francisco,Apartment,CA,94110,"[{'bedroom_type': 'Studio', 'price': '$2,596'}, {'bedroom_type': '1 Bed', 'price': '$2,786'}, {'bedroom_type': '2 Beds', 'price': '$3,896'}]","2000 Bryant St, San Francisco, CA 94110",https://www.apartments.com/the-madelon-san-francisco-ca/q78lfcx/,"$2,596","$2,786","$3,896",,,,,,,,,,,
Broadstone Archive,Santa Ana,Apartment,CA,92705,"[{'bedroom_type': 'Studio', 'price': '$2,008'}, {'bedroom_type': '1 Bed', 'price': '$2,110'}, {'bedroom_type': '2 Beds', 'price': '$2,650'}, {'bedroom_type': '3 Beds', 'price': '$3,839'}]","1901 E Dyer Rd, Santa Ana, CA 92705",https://www.apartments.com/broadstone-archive-santa-ana-ca/810kzk1/,"$2,008","$2,110","$2,650","$3,839",,,,,,,,,,
"THE MARC, PALO ALTO",Palo Alto,Apartment,CA,94301,"[{'bedroom_type': '1 Bed', 'price': '$3,499'}, {'bedroom_type': '2 Beds', 'price': '$3,450'}, {'bedroom_type': '3 Beds', 'price': ''}]","501 Forest Ave, Palo Alto, CA 94301",https://www.apartments.com/the-marc-palo-alto-palo-alto-ca/mwmch1j/,,"$3,499","$3,450",,,,,,,,,,,
Violet on Virgil,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': 'Studio', 'price': '$1,499'}, {'bedroom_type': '1 Bed', 'price': '$1,860'}, {'bedroom_type': '2 Beds', 'price': '$2,348'}]","160 S Virgil Ave, Los Angeles, CA 90004",https://www.apartments.com/violet-on-virgil-los-angeles-ca/rfx7km0/,"$1,499","$1,860","$2,348",,,,,,,,,,,
Stoneridge,Pleasanton,Apartment,CA,94588,"[{'bedroom_type': 'Studio', 'price': '$1,790'}, {'bedroom_type': '1 Bed', 'price': '$2,115'}, {'bedroom_type': '2 Beds', 'price': '$2,567'}]","6250 Stoneridge Mall Rd, Pleasanton, CA 94588",https://www.apartments.com/stoneridge-pleasanton-ca/hml8fe3/,"$1,790","$2,115","$2,567",,,,,,,,,,,
VUE AT THE LAKE,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,835'}, {'bedroom_type': '3 Beds', 'price': '$2,205'}]","407 Florin Rd, Sacramento, CA 95831",https://www.apartments.com/vue-at-the-lake-sacramento-ca/6p7nffs/,,,"$1,835","$2,205",,,,,,,,,,
Living at Santa Monica,Santa Monica,Apartment,CA,90401,"[{'bedroom_type': 'Studio', 'price': '$2,018'}, {'bedroom_type': '1 Bed', 'price': '$1,973'}, {'bedroom_type': '2 Beds', 'price': '$2,694'}]","1519 6th St, Santa Monica, CA 90401",https://www.apartments.com/living-at-santa-monica-santa-monica-ca/zre61pw/,"$2,018","$1,973","$2,694",,,,,,,,,,,
Vendome Place Apartments,San Jose,Apartment,CA,95110,"[{'bedroom_type': 'Studio', 'price': '$2,074'}, {'bedroom_type': '1 Bed', 'price': '$1,870'}, {'bedroom_type': '2 Beds', 'price': '$1,650'}]","750 Miller St, San Jose, CA 95110",https://www.apartments.com/vendome-place-apartments-san-jose-ca/y8trhss/,"$2,074","$1,870","$1,650",,,,,,,,,,,
Marina Tower,Marina Del Rey,Apartment,CA,90292,"[{'bedroom_type': 'Studio', 'price': '$1,995'}, {'bedroom_type': '1 Bed', 'price': '$2,745'}]","415 Washington Blvd, Marina Del Rey, CA 90292",https://www.apartments.com/marina-tower-marina-del-rey-ca/1929r57/,"$1,995","$2,745",,,,,,,,,,,,
Park Hacienda,Pleasanton,Apartment,CA,94588,"[{'bedroom_type': '1 Bed', 'price': '$2,375'}, {'bedroom_type': '2 Beds', 'price': '$2,549'}, {'bedroom_type': '3 Beds', 'price': '$3,875'}]","5650 Owens Dr, Pleasanton, CA 94588",https://www.apartments.com/park-hacienda-pleasanton-ca/94gxbc5/,,"$2,375","$2,549","$3,875",,,,,,,,,,
