Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
2 Beds											","
													1 Bed
															–
3 Beds											"
Block C Apartments,San Marcos,Apartment,CA,92078,"[{'bedroom_type': 'Studio', 'price': '$1,699'}, {'bedroom_type': '1 Bed', 'price': '$1,830'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,675'}]","250 North City Dr, San Marcos, CA 92078",https://www.apartments.com/block-c-apartments-san-marcos-ca/s0qcbm4/,"$1,699","$1,830",,"$2,675",,,
Villas Fashion Island,Newport Beach,Apartment,CA,92660,"[{'bedroom_type': '1 Bed', 'price': '$3,270'}, {'bedroom_type': '2 Beds', 'price': '$4,855'}, {'bedroom_type': '3 Beds', 'price': '$5,580'}]","1000 San Joaquin Plz, Newport Beach, CA 92660",https://www.apartments.com/villas-fashion-island-newport-beach-ca/ppeym6r/,,"$3,270","$4,855","$5,580",,,
Valentia Apartment Homes,La Habra,Apartment,CA,90631,"[{'bedroom_type': '1 Bed', 'price': '$2,072'}, {'bedroom_type': '2 Beds', 'price': '$2,505'}, {'bedroom_type': '3 Beds', 'price': ''}]","951 S Beach Blvd, La Habra, CA 90631",https://www.apartments.com/valentia-apartment-homes-la-habra-ca/gc4c0mz/,,"$2,072","$2,505",,,,
Canyon Ridge at Napa Junction,American Canyon,Apartment,CA,94503,"[{'bedroom_type': '1 Bed', 'price': '$1,851'}, {'bedroom_type': '2 Beds', 'price': '$2,498'}]","800 Reliant Way, American Canyon, CA 94503",https://www.apartments.com/canyon-ridge-at-napa-junction-american-canyon-ca/3hrcp0g/,,"$1,851","$2,498",,,,
Mira,Canoga Park,Apartment,CA,91303,"[{'bedroom_type': 'Studio', 'price': '$2,080'}, {'bedroom_type': '1 Bed', 'price': '$2,069'}, {'bedroom_type': '2 Beds', 'price': '$2,571'}]","21425 Vanowen St, Canoga Park, CA 91303",https://www.apartments.com/mira-canoga-park-ca/38l7eqg/,"$2,080","$2,069","$2,571",,,,
The Union Flats,Union City,Apartment,CA,94587,"[{'bedroom_type': '1 Bed', 'price': '$2,015'}, {'bedroom_type': '2 Beds', 'price': '$3,280'}]","34588 11th St, Union City, CA 94587",https://www.apartments.com/the-union-flats-union-city-ca/dd1ekmk/,,"$2,015","$3,280",,,,
Cadence,Hayward,Apartment,CA,94544,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$2,799'}]","28850 Dixon St, Hayward, CA 94544",https://www.apartments.com/cadence-hayward-ca/lwhqrze/,,"$1,999","$2,799",,,,
The Lex,San Jose,Apartment,CA,95123,"[{'bedroom_type': 'Studio', 'price': '$1,970'}, {'bedroom_type': '1 Bed', 'price': '$2,100'}, {'bedroom_type': '2 Beds', 'price': '$2,675'}]","5560 Lexington Ave, San Jose, CA 95123",https://www.apartments.com/the-lex-san-jose-ca/f72t6dt/,"$1,970","$2,100","$2,675",,,,
777 Broadway,Oakland,Apartment,CA,94607,"[{'bedroom_type': '1 Bed', 'price': '$2,210'}, {'bedroom_type': '2 Beds', 'price': '$2,854'}]","777 Broadway, Oakland, CA 94607",https://www.apartments.com/777-broadway-oakland-ca/rfcdjq1/,,"$2,210","$2,854",,,,
7403,Los Angeles,Apartment,CA,90045,"[{'bedroom_type': 'Studio', 'price': '$1,899'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$3,199'}]","7403 La Tijera Blvd, Los Angeles, CA 90045",https://www.apartments.com/7403-los-angeles-ca/77xr18z/,"$1,899","$2,250","$3,199",,,,
Alexan Bahay,Los Angeles,Apartment,CA,90026,"[{'bedroom_type': 'Studio', 'price': '$1,625'}, {'bedroom_type': '1 Bed', 'price': '$2,085'}, {'bedroom_type': '2 Beds', 'price': '$2,900'}]","330 N Westlake Ave, Los Angeles, CA 90026",https://www.apartments.com/alexan-bahay-los-angeles-ca/7jfxnrx/,"$1,625","$2,085","$2,900",,,,
