City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,Studio,2 – 3 Beds,Studio – 2 Beds,1 – 2 Beds
Irvine,Condos,CA,92606,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Irvine, CA 92606",https://www.apartments.com/1410-reggio-aisle-irvine-ca-unit-aventura/ywg3pjt/,2 BAs,"1,090 Sq Ft","1,090",9 Month Lease,Available Now,"$2,60",,,,,,
Los Gatos,Condos,CA,95033,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Los Gatos, CA 95033",https://www.apartments.com/30600-loma-chiquita-rd-los-gatos-ca/yj8171r/,1 BA,900 Sq Ft,900,6 Month Lease,Oct 14,"$1,99",,,,,,
Oakland,Condos,CA,94609,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Oakland, CA 94609",https://www.apartments.com/6520-telegraph-ave-oakland-ca/0btktq2/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$2,20",,,,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$2,79'}]","Los Angeles, CA 90066",https://www.apartments.com/3736-sawtelle-blvd-los-angeles-ca/zdpg80z/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,79",,,,,,
Los Angeles,Condos,CA,90029,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","Los Angeles, CA 90029",https://www.apartments.com/1271-n-commonwealth-ave-los-angeles-ca/yslh2tv/,1 BA,"1,089 Sq Ft","1,089",12 Month Lease,Available Now,"$2,45",,,,,,
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}]","Los Angeles, CA 90027",https://www.apartments.com/1800-n-kingsley-dr-los-angeles-ca/rzpm5l0/,1 BA,525 Sq Ft,525,12 Month Lease,Available Now,,"$1,895",,,,,
Los Angeles,Condos,CA,90048,"[{'bedroom_type': '1 Bed', 'price': '$2,69'}]","321 S San Vicente Blvd, Los Angeles, CA 90048",https://www.apartments.com/321-s-san-vicente-blvd-los-angeles-ca-unit-805/e1ffdjq/,1½ BAs,959 Sq Ft,959,12 Month Lease,Nov 7,,"$2,69",,,,,
Los Angeles,Condos,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","5160 Denny Ave, Los Angeles, CA 91601",https://www.apartments.com/5160-denny-ave-los-angeles-ca/n32317q/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,65",,,,,
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '3 Beds', 'price': '$3,75'}]","Los Angeles, CA 90027",https://www.apartments.com/4711-ambrose-ave-los-angeles-ca-unit-203/mk0ptyh/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$3,75",,,,
Redondo Beach,Condos,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","Redondo Beach, CA 90277",https://www.apartments.com/509-n-elena-ave-redondo-beach-ca/8ffws60/,1 BA,"1,200 Sq Ft","1,200",10 Month Lease,Nov 1,"$3,25",,,,,,
