City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,Studio,3 Beds
Upland,Condos,CA,91786,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","Upland, CA 91786",https://www.apartments.com/1032-w-pine-st-upland-ca/qzysd9y/,1½ BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$1,75",,,,
Davis,Condos,CA,95616,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Davis, CA 95616",https://www.apartments.com/1309-f-st-davis-ca/84zr1n1/,1½ BAs,850 Sq Ft,850,12 Month Lease,Available Now,"$2,00",,,,
Compton,Condos,CA,90220,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","Compton, CA 90220",https://www.apartments.com/305-n-willowbrook-ave-compton-ca/xhj3t2n/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$1,75",,,,
San Diego,Condos,CA,92105,"[{'bedroom_type': '2 Beds', 'price': '$1,50'}]","San Diego, CA 92105",https://www.apartments.com/3838-chamoune-ave-san-diego-ca/ec1rcvq/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,50",,,,
Sacramento,Condos,CA,95821,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","Sacramento, CA 95821",https://www.apartments.com/4209-robertson-ave-sacramento-ca/trgwlxb/,1 BA,960 Sq Ft,960,12 Month Lease,Available Now,"$2,70",,,,
San Francisco,Condos,CA,94122,"[{'bedroom_type': '4 Beds', 'price': '$3,70'}]","San Francisco, CA 94122",https://www.apartments.com/1375-47th-ave-san-francisco-ca/09t6nc3/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,70",,,
San Bruno,Condos,CA,94066,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","San Bruno, CA 94066",https://www.apartments.com/402-boardwalk-ave-san-bruno-ca-unit-19/zsy003z/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,"$2,20",,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","San Mateo, CA 94403",https://www.apartments.com/2660-flores-st-san-mateo-ca/6wd4yvr/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$2,50",,
Santa Ana,Condos,CA,92704,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","Santa Ana, CA 92704",https://www.apartments.com/2534-w-macarthur-blvd-santa-ana-ca-unit-l/y85cy4r/,2 BAs,"1,177 Sq Ft","1,177",12 Month Lease,Available Now,"$2,35",,,,
Pasadena,Condos,CA,91106,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Pasadena, CA 91106",https://www.apartments.com/52-n-allen-ave-pasadena-ca/whx5gmj/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,20",,,,
Berkeley,Condos,CA,94702,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","Berkeley, CA 94702",https://www.apartments.com/1379-harmon-st-berkeley-ca/xlh7wym/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,75",,,,
