City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,Studio,2 Beds,3 Beds,5 Beds,4 Beds
Davis,Condos,CA,95616,"[{'bedroom_type': '1 Bed', 'price': '$95'}]","Davis, CA 95616",https://www.apartments.com/819-h-st-davis-ca/kqwkkwc/,1 BA,"1,500 Sq Ft","1,500",11 Month Lease,Available Now,$95,,,,,
Los Angeles,Condos,CA,91423,"[{'bedroom_type': 'Studio', 'price': '$2,00'}]","Los Angeles, CA 91423",https://www.apartments.com/14431-dunbar-pl-los-angeles-ca/ql0flyz/,1 BA,405 Sq Ft,405,12 Month Lease,Available Now,,"$2,00",,,,
Pomona,Condos,CA,91766,"[{'bedroom_type': 'Studio', 'price': '$2,30'}]","Pomona, CA 91766",https://www.apartments.com/855-w-2nd-st-pomona-ca/7tjzc4w/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,30",,,,
Los Angeles,Condos,CA,90023,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","Los Angeles, CA 90023",https://www.apartments.com/1356-s-sunol-dr-los-angeles-ca/xfd50ym/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,"$1,50",,,,,
San Diego,Condos,CA,92130,"[{'bedroom_type': '2 Beds', 'price': '$2,42'}]","San Diego, CA 92130",https://www.apartments.com/3617-bernwood-pl-san-diego-ca-unit-102/6r9ymlt/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,42",,,
Ontario,Condos,CA,91761,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","Ontario, CA 91761",https://www.apartments.com/1638-e-fairfield-ct-ontario-ca/9lfwjb7/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$1,85",,,
Kentfield,Condos,CA,94904,"[{'bedroom_type': '2 Beds', 'price': '$3,39'}]","Kentfield, CA 94904",https://www.apartments.com/50-corte-real-kentfield-ca/mkmg20h/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$3,39",,,
Milpitas,Condos,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","Milpitas, CA 95035",https://www.apartments.com/1784-snell-pl-milpitas-ca-unit-1784/1e1n3j6/,2 BAs,"1,360 Sq Ft","1,360",12 Month Lease,Nov 1,,,"$3,40",,,
Apple Valley,Condos,CA,92307,"[{'bedroom_type': '2 Beds', 'price': '$1,40'}]","Apple Valley, CA 92307",https://www.apartments.com/16025-chehalis-rd-apple-valley-ca/zj3p5ty/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Oct 19,,,"$1,40",,,
San Mateo,Condos,CA,94404,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","San Mateo, CA 94404",https://www.apartments.com/615-port-dr-san-mateo-ca-unit-302/nh03d8n/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,50",,,
Sunnyvale,Condos,CA,94085,"[{'bedroom_type': '1 Bed', 'price': '$1,67'}]","Sunnyvale, CA 94085",https://www.apartments.com/565-n-britton-ave-sunnyvale-ca/0l0dcg2/,1 BA,483 Sq Ft,483,6 Month Lease,Available Now,"$1,67",,,,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Glendale, CA 91205",https://www.apartments.com/1517-e-garfield-ave-glendale-ca-unit-53/5zdx0rn/,2 BAs,"1,080 Sq Ft","1,080",12 Month Lease,Oct 15,,,"$2,60",,,
Long Beach,Condos,CA,90805,"[{'bedroom_type': '2 Beds', 'price': '$1,82'}]","Long Beach, CA 90805",https://www.apartments.com/92-e-market-st-long-beach-ca/wcqw77k/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Nov 8,,,"$1,82",,,
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Huntington Beach, CA 92649",https://www.apartments.com/16852-blanton-lane-huntington-beach-ca/c2c5bgg/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,59",,,,,
La Crescenta-Montrose,Condos,CA,91020,"[{'bedroom_type': 'Studio', 'price': '$2,40'}]","La Crescenta-Montrose, CA 91020",https://www.apartments.com/2313-montrose-ave-la-crescenta-montrose-ca/74p4mjx/,1 BA,600 Sq Ft,600,3 Month Lease,Available Now,,"$2,40",,,,
Los Angeles,Condos,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$3,75'}]","Los Angeles, CA 90016",https://www.apartments.com/5232-w-20th-st-los-angeles-ca/mkrtwfl/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,,"$3,75",,
