City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,4 Beds,6 Beds,5 Beds
Los Angeles,Houses,CA,90039,"[{'bedroom_type': '2 Beds', 'price': '$2,97'}]","Los Angeles, CA 90039",https://www.apartments.com/4020-brunswick-ave-los-angeles-ca/ddx6dgh/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,97",,,,,
Mountain View,Houses,CA,94040,"[{'bedroom_type': '1 Bed', 'price': '$2,65'}]","Mountain View, CA 94040",https://www.apartments.com/135-carmelita-dr-mountain-view-ca/fsvbj3r/,1 BA,875 Sq Ft,875,12 Month Lease,Available Now,,"$2,65",,,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,79'}]","847 Venezia Ave, Los Angeles, CA 90291",https://www.apartments.com/847-venezia-ave-los-angeles-ca/ytrb1dt/,1 BA,690 Sq Ft,690,12 Month Lease,Available Now,,"$2,79",,,,
San Francisco,Houses,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$7,00'}]","San Francisco, CA 94131",https://www.apartments.com/615-27th-st-san-francisco-ca/wphx8fk/,2 BAs,"2,012 Sq Ft","2,012",12 Month Lease,Available Now,,,"$7,00",,,
Burbank,Houses,CA,91505,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","4217 McFarlane Ave, Burbank, CA 91505",https://www.apartments.com/4217-mcfarlane-ave-burbank-ca/3nfm1sg/,1 BA,650 Sq Ft,650,12 Month Lease,Oct 6,,"$2,50",,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$5,49'}]","Manhattan Beach, CA 90266",https://www.apartments.com/1741-1st-st-manhattan-beach-ca/rvms0j1/,2 BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,"$5,49",,,
El Segundo,Houses,CA,90245,"[{'bedroom_type': '3 Beds', 'price': '$4,79'}]","El Segundo, CA 90245",https://www.apartments.com/771-california-st-el-segundo-ca/l9hdd6f/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$4,79",,,
Culver City,Houses,CA,90230,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","Culver City, CA 90230",https://www.apartments.com/10710-northgate-st-culver-city-ca/pl3xg1t/,1 BA,850 Sq Ft,850,12 Month Lease,Oct 12,"$3,10",,,,,
Los Angeles,Houses,CA,90039,"[{'bedroom_type': '4 Beds', 'price': '$7,37'}]","Los Angeles, CA 90039",https://www.apartments.com/2419-meadow-valley-ter-los-angeles-ca/y8hgctr/,3½ BAs,"2,725 Sq Ft","2,725",12 Month Lease,Available Now,,,,"$7,37",,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,69'}]","4461 W 28th St, Los Angeles, CA 90016",https://www.apartments.com/4461-w-28th-st-los-angeles-ca/8rmhx01/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,69",,,,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '6 Beds', 'price': '$9,40'}]","3110 Military Ave, Los Angeles, CA 90034",https://www.apartments.com/3110-military-ave-los-angeles-ca/hrn8gc3/,5 BAs,"3,250 Sq Ft","3,250",24 Month Lease,Oct 10,,,,,"$9,40",
Venice,Houses,CA,90291,"[{'bedroom_type': '4 Beds', 'price': '$5,95'}]","Venice, CA 90291",https://www.apartments.com/818-commonwealth-ave-venice-ca/sm0xm55/,2 BAs,"1,873 Sq Ft","1,873",6 Month Lease,Oct 7,,,,"$5,95",,
Pacifica,Houses,CA,94044,"[{'bedroom_type': '6 Beds', 'price': '$6,00'}]","Pacifica, CA 94044",https://www.apartments.com/47-timberhill-ct-pacifica-ca/y40j6ft/,3 BAs,"2,800 Sq Ft","2,800",12 Month Lease,Available Now,,,,,"$6,00",
Los Angeles,Houses,CA,90012,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","Los Angeles, CA 90012",https://www.apartments.com/958-white-knoll-dr-los-angeles-ca/mm3qe9k/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$3,00",,,
Glendale,Houses,CA,91205,"[{'bedroom_type': '5 Beds', 'price': '$4,40'}]","Glendale, CA 91205",https://www.apartments.com/641-e-harvard-st-glendale-ca/f9lhvhv/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Available Now,,,,,,"$4,40"
Palo Alto,Houses,CA,94303,"[{'bedroom_type': '2 Beds', 'price': '$4,20'}]","Palo Alto, CA 94303",https://www.apartments.com/865-marshall-dr-palo-alto-ca/knnc5xc/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,"$4,20",,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$6,49'}]","1433 Cabrillo Ave, Venice, CA 90291",https://www.apartments.com/1433-cabrillo-ave-venice-ca/v5hw36d/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$6,49",,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","Los Angeles, CA 90019",https://www.apartments.com/1052-s-cloverdale-ave-los-angeles-ca/gbehgwz/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$3,80",,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","Los Angeles, CA 90066",https://www.apartments.com/2445-walgrove-ave-los-angeles-ca/nbygn1m/,2 BAs,"1,600 Sq Ft","1,600",4 Month Lease,Available Now,,,"$5,00",,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '1 Bed', 'price': '$2,25'}]","Los Angeles, CA 90016",https://www.apartments.com/2637-wellington-rd-los-angeles-ca/y87kjyv/,1 BA,900 Sq Ft,900,12 Month Lease,Oct 10,,"$2,25",,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$7,89'}]","Venice, CA 90291",https://www.apartments.com/320-market-st-venice-ca/nc047sq/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$7,89",,,
