City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,4 Beds,2 Beds,5 Beds,6 Beds,1 – 2 Beds,Studio,2 – 3 Beds
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '1 Bed', 'price': '$1,25'}]","17043 Strawberry Dr, Los Angeles, CA 91436",https://www.apartments.com/17043-strawberry-dr-los-angeles-ca/qp2rhzz/,1 BA,250 Sq Ft,250,6 Month Lease,Available Now,"$1,25",,,,,,,,
West Hollywood,Houses,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","7557 Romaine St, West Hollywood, CA 90046",https://www.apartments.com/7557-romaine-st-west-hollywood-ca/dbkrb7l/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$4,75",,,,,,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '4 Beds', 'price': '$8,50'}]","Santa Monica, CA 90405",https://www.apartments.com/1625-wellesley-dr-santa-monica-ca/0jgc4c0/,2½ BAs,"2,520 Sq Ft","2,520",12 Month Lease,Available Now,,,"$8,50",,,,,,
San Diego,Houses,CA,92116,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","San Diego, CA 92116",https://www.apartments.com/4232-adams-ave-san-diego-ca/x3l1lvm/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,15",,,,,,,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","Los Angeles, CA 90034",https://www.apartments.com/8659-guthrie-ave-los-angeles-ca/s97q9l4/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,90",,,,,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '3 Beds', 'price': '$3,09'}]","Los Angeles, CA 90065",https://www.apartments.com/3109-estara-ave-los-angeles-ca/746f2cx/,2½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,09",,,,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '4 Beds', 'price': '$3,99'}]","Los Angeles, CA 90065",https://www.apartments.com/3109-estara-ave-los-angeles-ca/r3czwf0/,4 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,"$3,99",,,,,,
Monterey,Houses,CA,93940,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","Monterey, CA 93940",https://www.apartments.com/317-monroe-st-monterey-ca/nyc02kn/,1 BA,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,"$3,30",,,,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","Los Angeles, CA 90046",https://www.apartments.com/7560-willoughby-ave-los-angeles-ca/0tped91/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,,"$3,30",,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$1,90'}]","Los Angeles, CA 90066",https://www.apartments.com/12607-brooklake-st-los-angeles-ca/y18epts/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Oct 10,,"$1,90",,,,,,,
Los Angeles,Houses,CA,91316,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Los Angeles, CA 91316",https://www.apartments.com/3934-alonzo-ave-los-angeles-ca/zsq00mz/,1 BA,550 Sq Ft,550,,Available Now,"$1,59",,,,,,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","7053 S La Cienega Blvd, Los Angeles, CA 90045",https://www.apartments.com/7053-s-la-cienega-blvd-los-angeles-ca/d1fhcsj/,1 BA,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,"$2,49",,,,,
Culver City,Houses,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","Culver City, CA 90232",https://www.apartments.com/4168-baldwin-ave-culver-city-ca/epzwxxm/,2 BAs,"1,355 Sq Ft","1,355",,Available Now,,"$4,80",,,,,,,
Los Angeles,Houses,CA,90005,"[{'bedroom_type': '4 Beds', 'price': '$4,40'}]","Los Angeles, CA 90005",https://www.apartments.com/721-gramercy-dr-los-angeles-ca/69bvp4r/,2 BAs,"1,860 Sq Ft","1,860",12 Month Lease,Oct 5,,,"$4,40",,,,,,
Los Angeles,Houses,CA,90018,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 90018",https://www.apartments.com/2440-exposition-pl-los-angeles-ca/l61zsqf/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,,"$2,20",,,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","Los Angeles, CA 90016",https://www.apartments.com/3052-potomac-ave-los-angeles-ca/h226vg2/,2 BAs,780 Sq Ft,780,12 Month Lease,Nov 1,,,,"$2,99",,,,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","2007 S Sherbourne Dr, Los Angeles, CA 90034",https://www.apartments.com/2007-s-sherbourne-dr-los-angeles-ca/qjkg77w/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$2,10",,,,,
Roseville,Houses,CA,95661,"[{'bedroom_type': '3 Beds', 'price': '$2,30'}]","Roseville, CA 95661",https://www.apartments.com/9367-eckerman-rd-roseville-ca/69qxc1t/,2 BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,,"$2,30",,,,,,,
Los Angeles,Houses,CA,90006,"[{'bedroom_type': '4 Beds', 'price': '$3,59'}]","Los Angeles, CA 90006",https://www.apartments.com/1839-w-11th-pl-los-angeles-ca/lzh746f/,1 BA,"3,000 Sq Ft","3,000",,Available Now,,,"$3,59",,,,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Los Angeles, CA 90016",https://www.apartments.com/2935-s-sycamore-ave-los-angeles-ca/gqzyfrx/,1 BA,750 Sq Ft,750,,Available Now,,,,"$2,50",,,,,
Pasadena,Houses,CA,91103,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","Pasadena, CA 91103",https://www.apartments.com/1826-lincoln-ave-pasadena-ca/9qr70h7/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,,"$3,20",,,,,,,
Long Beach,Houses,CA,90804,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","Long Beach, CA 90804",https://www.apartments.com/1069-termino-ave-long-beach-ca/zj7fynw/,1 BA,800 Sq Ft,800,,Available Now,"$1,79",,,,,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","12510 Barbara Ave, Los Angeles, CA 90066",https://www.apartments.com/12510-barbara-ave-los-angeles-ca/qfp0f4w/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,"$2,00",,,,,,,,
Altadena,Houses,CA,91001,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Altadena, CA 91001",https://www.apartments.com/701-e-pine-st-altadena-ca/4zkh6lj/,1 BA,725 Sq Ft,725,12 Month Lease,Available Now,,,,"$2,15",,,,,
Lawndale,Houses,CA,90260,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","Lawndale, CA 90260",https://www.apartments.com/4611-w-172nd-st-lawndale-ca/mvbxhnk/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$2,95",,,,,,,
Santa Clarita,Houses,CA,91351,"[{'bedroom_type': '2 Beds', 'price': '$1,97'}]","Santa Clarita, CA 91351",https://www.apartments.com/17002-forrest-st-santa-clarita-ca/3hblqqd/,1 BA,546 Sq Ft,546,1 Month Lease,Available Now,,,,"$1,97",,,,,
Los Angeles,Houses,CA,90069,"[{'bedroom_type': '3 Beds', 'price': '$25,00'}]","Los Angeles, CA 90069",https://www.apartments.com/1271-st-ives-pl-los-angeles-ca/lvhf7md/,4 BAs,"4,401 Sq Ft","4,401",,May 1,,"$25,00",,,,,,,
El Cajon,Houses,CA,92021,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","El Cajon, CA 92021",https://www.apartments.com/1235-peach-ave-el-cajon-ca/n7p3hnp/,2½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,"$4,00",,,,,,
San Mateo,Houses,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","San Mateo, CA 94403",https://www.apartments.com/325-landfair-ave-san-mateo-ca/xmv1x3p/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$4,00",,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$3,75'}]","Los Angeles, CA 90019",https://www.apartments.com/1222-s-longwood-ave-los-angeles-ca/vf6t34g/,2 BAs,"1,750 Sq Ft","1,750",,Available Now,,"$3,75",,,,,,,
Los Angeles,Houses,CA,90048,"[{'bedroom_type': '4 Beds', 'price': '$22,00'}]","Los Angeles, CA 90048",https://www.apartments.com/6546-colgate-ave-los-angeles-ca/qqm43ny/,6 BAs,"3,420 Sq Ft","3,420",,Available Now,,,"$22,00",,,,,,
Twentynine Palms,Houses,CA,92277,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","Twentynine Palms, CA 92277",https://www.apartments.com/74768-sunset-dr-twentynine-palms-ca/kbyp1k8/,1 BA,950 Sq Ft,950,12 Month Lease,Dec 1,"$1,35",,,,,,,,
San Francisco,Houses,CA,94134,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","San Francisco, CA 94134",https://www.apartments.com/346-hale-st-san-francisco-ca/m3slzfl/,1½ BAs,950 Sq Ft,950,12 Month Lease,Available Now,,"$3,20",,,,,,,
