City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,2 Beds,3 Beds,1 Bed,Studio,5 Beds,1 – 3 Beds,6 Beds
San Ramon,Houses,CA,94583,"[{'bedroom_type': '4 Beds', 'price': '$3,80'}]","San Ramon, CA 94583",https://www.apartments.com/2937-marlboro-way-san-ramon-ca/hhd9ql0/,2½ BAs,"2,032 Sq Ft","2,032",12 Month Lease,Nov 1,"$3,80",,,,,,,
San Diego,Houses,CA,92110,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","San Diego, CA 92110",https://www.apartments.com/2495-jefferson-st-san-diego-ca/kmdw5m8/,1 BA,610 Sq Ft,610,12 Month Lease,Available Now,,"$1,80",,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$30,00'}]","Manhattan Beach, CA 90266",https://www.apartments.com/3212-the-strand-manhattan-beach-ca/jydnte4/,2 BAs,"2,307 Sq Ft","2,307",12 Month Lease,Available Now,,,"$30,00",,,,,
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","2211 Hyperion Ave, Los Angeles, CA 90027",https://www.apartments.com/2211-hyperion-ave-los-angeles-ca/hprm0b3/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$4,00",,,,,,
Van Nuys,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","14011 Sylvan St, Van Nuys, CA 91401",https://www.apartments.com/14011-sylvan-st-van-nuys-ca/e1c1qqq/,1½ BAs,"1,500 Sq Ft","1,500",36 Month Lease,Available Now,,,"$3,80",,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Los Angeles, CA 90065",https://www.apartments.com/1113-pleasant-view-ave-los-angeles-ca/qzq5xpy/,2 BAs,620 Sq Ft,620,12 Month Lease,Available Now,,"$2,60",,,,,,
Los Angeles,Houses,CA,91042,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","10143 Mountair Ave, Los Angeles, CA 91042",https://www.apartments.com/10143-mountair-ave-los-angeles-ca/w6fj8mh/,2 BAs,"1,900 Sq Ft","1,900",12 Month Lease,Available Now,,,"$3,20",,,,,
Pasadena,Houses,CA,91101,"[{'bedroom_type': '3 Beds', 'price': '$2,87'}]","465 Marengo N Ave, Pasadena, CA 91101",https://www.apartments.com/465-marengo-n-ave-pasadena-ca/63y8phv/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,"$2,87",,,,,
San Jose,Houses,CA,95129,"[{'bedroom_type': '1 Bed', 'price': '$1,745'}]","San Jose, CA 95129",https://www.apartments.com/1254-glenmoor-way-san-jose-ca/0mgv9w2/,1 BA,320 Sq Ft,320,9 Month Lease,Available Now,,,,"$1,745",,,,
Ventura,Houses,CA,93001,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","282 El Medio St, Ventura, CA 93001",https://www.apartments.com/282-el-medio-st-ventura-ca/3jhhlbe/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,50",,,,,,
