City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,6 Beds,5 Beds
Pasadena,Houses,CA,91107,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","Pasadena, CA 91107",https://www.apartments.com/130-s-sunnyslope-ave-pasadena-ca/93xpv65/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,10",,,,,,
Mountain View,Houses,CA,94041,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","Mountain View, CA 94041",https://www.apartments.com/6-church-st-mountain-view-ca/93t1l87/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$3,60",,,,,
West Hollywood,Houses,CA,90069,"[{'bedroom_type': '4 Beds', 'price': '$5,95'}]","West Hollywood, CA 90069",https://www.apartments.com/8823-betty-way-west-hollywood-ca/c80ebeg/,3 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,"$5,95",,,,
Sunnyvale,Houses,CA,94087,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","Sunnyvale, CA 94087",https://www.apartments.com/914-eleanor-way-sunnyvale-ca/73jfpsx/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$1,79",,,
Palo Alto,Houses,CA,94303,"[{'bedroom_type': '4 Beds', 'price': '$6,10'}]","Palo Alto, CA 94303",https://www.apartments.com/1810-newell-rd-palo-alto-ca/4nqq4nh/,2 BAs,"1,712 Sq Ft","1,712",12 Month Lease,Available Now,,,"$6,10",,,,
San Diego,Houses,CA,92116,"[{'bedroom_type': '2 Beds', 'price': '$1,89'}]","San Diego, CA 92116",https://www.apartments.com/4517-37th-st-san-diego-ca/m9n3trk/,1 BA,780 Sq Ft,780,12 Month Lease,Available Now,,"$1,89",,,,,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$5,89'}]","Los Angeles, CA 90049",https://www.apartments.com/11401-burnham-st-los-angeles-ca/2sdzp0c/,1½ BAs,"1,459 Sq Ft","1,459",12 Month Lease,Available Now,,"$5,89",,,,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '4 Beds', 'price': '$11,50'}]","Los Angeles, CA 90046",https://www.apartments.com/8026-okean-ter-los-angeles-ca/ss9k375/,4½ BAs,"3,950 Sq Ft","3,950",12 Month Lease,Available Now,,,"$11,50",,,,
Marina Del Rey,Houses,CA,90292,"[{'bedroom_type': '2 Beds', 'price': '$5,25'}]","Marina Del Rey, CA 90292",https://www.apartments.com/3137-carter-ave-marina-del-rey-ca/pbqlmev/,2 BAs,"1,160 Sq Ft","1,160",12 Month Lease,Available Now,,"$5,25",,,,,
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$3,40'}]","Los Angeles, CA 90027",https://www.apartments.com/1925-n-mariposa-ave-los-angeles-ca/1etrdd6/,1 BA,"1,233 Sq Ft","1,233",12 Month Lease,Available Now,,,,"$3,40",,,
