City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,Studio,"
													3 Beds
											","
													1 Bed
															–
2 Beds											","
Studio																	–
2 Beds													","
2 Beds													","
													2 Beds
															–
3 Beds											","
													Studio
											"
1327-1329 S Crenshaw Blvd,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,062'}, {'bedroom_type': '3 Beds', 'price': '$2,531'}]","1327-1329 S Crenshaw Blvd, Los Angeles, CA 90019",https://www.apartments.com/crenshaw-townhouse-los-angeles-ca/701dj3w/,2 BAs,800 - 825 Sq Ft,800,,Available Now,"$2,062","$2,531",,,,,,,,,
560 Winchester Dr,Townhomes,Oxnard,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}, {'bedroom_type': '3 Beds', 'price': '$3,300'}, {'bedroom_type': '4 Beds', 'price': ''}]","560 Winchester Dr, Oxnard, CA 93036",https://www.apartments.com/mayfair-oxnard-ca/nzkvm1n/,2½ BAs,"1,562 Sq Ft","1,562",,Available Now,"$3,000","$3,300",,,,,,,,,
2060 Westwood Ct,Townhomes,Lancaster,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,320'}]","2060 Westwood Ct, Lancaster, CA 93536",https://www.apartments.com/westwood-park-townhomes-lancaster-ca/98cgzm6/,1 BA,779 Sq Ft,779,,Nov 16,,"$2,320",,"$1,795",,,,,,,
1101 Carey Dr,Townhomes,Concord,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]","1101 Carey Dr, Concord, CA 94520",https://www.apartments.com/converge-townhomes-concord-ca/x5vkkbq/,1½ BAs,900 Sq Ft,900,,Oct 15,"$2,150",,,,,,,,,,
20440 Anza Ave,Townhomes,Torrance,CA,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': ''}]","20440 Anza Ave, Torrance, CA 90503",https://www.apartments.com/seville-townhouse-torrance-ca/jd8jvf4/,1 BA,700 Sq Ft,700,,Available Now,,,,"$1,695",,,,,,,
2000 E Main St,Townhomes,El Cajon,CA,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t3 Beds\r\n\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","2000 E Main St, El Cajon, CA 92021",https://www.apartments.com/canyon-springs-el-cajon-ca/vw43b6d/,1½ BAs,"1,200 Sq Ft","1,200",,Not Available,,,,,,,,,,,
801 Dutton Ave,Townhomes,Santa Rosa,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","801 Dutton Ave, Santa Rosa, CA 95407",https://www.apartments.com/walkham-townhomes-santa-rosa-ca/54d6qxn/,2½ BAs,"1,875 Sq Ft","1,875",,Not Available,,"$2,800",,,,,,,,,
315 Mt Oso Ave,Townhomes,Tracy,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,300'}]","315 Mt Oso Ave, Tracy, CA 95376",https://www.apartments.com/tuscana-townhomes-tracy-ca/s5rwft7/,1 BA,860 Sq Ft,860,,Not Available,"$1,950","$2,300",,,,,,,,,
3074 Channel Dr,Townhomes,Ventura,CA,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","3074 Channel Dr, Ventura, CA 93003",https://www.apartments.com/ocean-view-townhomes-ventura-ca/63wecpr/,1 BA,625 Sq Ft,625,,Not Available,,,,,,,,,,,
243-247 Mathilda Dr,Townhomes,Goleta,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,080'}, {'bedroom_type': '2 Beds', 'price': '$2,250'}, {'bedroom_type': '3 Beds', 'price': '$3,095'}]","243-247 Mathilda Dr, Goleta, CA 93117",https://www.apartments.com/entrada-townhomes-apartment-goleta-ca/9nkw406/,2 BAs,846 Sq Ft,846,12 Month Lease,Available Now,"$2,250","$3,095",,"$2,080",,,,,,,
