City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,4+ Beds,1 Bed,Studio
6341 Andromeda Ct,Townhomes,Eastvale,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Eastvale, CA 91752",https://www.apartments.com/6341-andromeda-ct-eastvale-ca/rrvprr3/,2½ BAs,"1,384 Sq Ft","1,384",12 Month Lease,Available Now,"$2,400",,,,,
1036 W Fernleaf Ave,Townhomes,Pomona,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","Pomona, CA 91766",https://www.apartments.com/1036-w-fernleaf-ave-pomona-ca/20n27gc/,3 BAs,"1,605 Sq Ft","1,605",12 Month Lease,Available Now,,"$2,700",,,,
29740 Denny Dr,Townhomes,Lake Elsinore,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,800'}]","Lake Elsinore, CA 92530",https://www.apartments.com/29740-denny-dr-lake-elsinore-ca/83x3210/,2½ BAs,"1,300 Sq Ft","1,300",,Available Now,,"$1,800",,,,
4140 Workman Mill Rd,Townhomes,Whittier,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]","Whittier, CA 90601",https://www.apartments.com/4140-workman-mill-rd-whittier-ca/mjrg4mh/,1 BA,"1,066 Sq Ft","1,066",1 Month Lease,Available Now,"$2,295",,,,,
427 Poinsettia Ave,Townhomes,Newport Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,995'}]","Newport Beach, CA 92625",https://www.apartments.com/427-poinsettia-ave-newport-beach-ca/cmhlf0g/,1½ BAs,"1,935 Sq Ft","1,935",12 Month Lease,Available Now,,"$5,995",,,,
3000 N Woods St,Townhomes,Orange,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,850'}]","Orange, CA 92865",https://www.apartments.com/3000-n-woods-st-orange-ca/kqzb5fc/,2½ BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,,,"$2,850",,,
1093 E Grand Ave,Townhomes,Pomona,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Pomona, CA 91766",https://www.apartments.com/1093-e-grand-ave-pomona-ca/jxdywx7/,2½ BAs,"2,031 Sq Ft","2,031",12 Month Lease,Available Now,,"$2,500",,,,
76458 Violet Cir,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]","Palm Desert, CA 92211",https://www.apartments.com/76458-violet-cir-palm-desert-ca/gv63s7x/,2 BAs,"1,579 Sq Ft","1,579",,Available Now,"$2,695",,,,,
712 Calle Divino,Townhomes,San Clemente,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","San Clemente, CA 92673",https://www.apartments.com/712-calle-divino-san-clemente-ca/9x9wtv7/,2½ BAs,"1,270 Sq Ft","1,270",,Available Now,,"$4,500",,,,
47 Eagle Point,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,875'}]","Irvine, CA 92604",https://www.apartments.com/47-eagle-point-irvine-ca/c12nhsg/,2½ BAs,"1,383 Sq Ft","1,383",12 Month Lease,Available Now,,"$2,875",,,,
365 Adalina Ln,Townhomes,Brea,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","Brea, CA 92821",https://www.apartments.com/365-adalina-ln-brea-ca/w6j558k/,1½ BAs,"1,561 Sq Ft","1,561",,Available Now,,"$3,500",,,,
242 W Marquita,Townhomes,San Clemente,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,975'}]","San Clemente, CA 92672",https://www.apartments.com/242-w-marquita-san-clemente-ca/pwpkxft/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,975",,,,,
310 Avenida Santa Barbara,Townhomes,San Clemente,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","San Clemente, CA 92672",https://www.apartments.com/310-avenida-santa-barbara-san-clemente-ca/21x5veb/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,300",,,,,
1421 12th St,Townhomes,Manhattan Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]","Manhattan Beach, CA 90266",https://www.apartments.com/1421-12th-st-manhattan-beach-ca/tnrk74b/,2½ BAs,"1,337 Sq Ft","1,337",,Available Now,"$3,900",,,,,
27 Portland Pl,Townhomes,Laguna Niguel,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]","Laguna Niguel, CA 92677",https://www.apartments.com/27-portland-pl-laguna-niguel-ca/fx0cngt/,2 BAs,"1,439 Sq Ft","1,439",,Available Now,,"$3,900",,,,
3213 La Encina Way,Townhomes,Pasadena,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]","Pasadena, CA 91107",https://www.apartments.com/3213-la-encina-way-pasadena-ca/srd75m4/,2 BAs,"2,158 Sq Ft","2,158",12 Month Lease,Available Now,,"$3,750",,,,
