City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,1 Bed
San Carlos,Townhomes,CA,94070,"[{'bedroom_type': '2 Beds', 'price': '$3,70'}]","San Carlos, CA 94070",https://www.apartments.com/35-winding-way-san-carlos-ca/tx2nnh9/,1½ BAs,"1,000 Sq Ft","1,000",6 Month Lease,Oct 5,"$3,70",,
Huntington Beach,Townhomes,CA,92646,"[{'bedroom_type': '2 Beds', 'price': '$2,55'}]","Huntington Beach, CA 92646",https://www.apartments.com/19821-ramsgate-ln-huntington-beach-ca/zew2f6x/,1½ BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$2,55",,
Sylmar,Townhomes,CA,91342,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","Sylmar, CA 91342",https://www.apartments.com/13600-foothill-blvd-sylmar-ca/d1ds71h/,2½ BAs,"1,440 Sq Ft","1,440",12 Month Lease,Nov 1,"$2,39",,
Huntington Beach,Townhomes,CA,92646,"[{'bedroom_type': '2 Beds', 'price': '$2,37'}]","Huntington Beach, CA 92646",https://www.apartments.com/9517-bickley-dr-huntington-beach-ca/40m309j/,1½ BAs,"1,094 Sq Ft","1,094",18 Month Lease,Oct 10,"$2,37",,
Los Angeles,Townhomes,CA,90033,"[{'bedroom_type': '3 Beds', 'price': '$2,89'}]","Los Angeles, CA 90033",https://www.apartments.com/529-n-cummings-st-los-angeles-ca/qk6fcly/,2 BAs,"1,520 Sq Ft","1,520",12 Month Lease,Available Now,,"$2,89",
Los Angeles,Townhomes,CA,90732,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","1262 Stonewood Ct, Los Angeles, CA 90732",https://www.apartments.com/1262-stonewood-ct-los-angeles-ca/8z6pg90/,2½ BAs,"1,572 Sq Ft","1,572",12 Month Lease,Available Now,"$2,90",,
Newark,Townhomes,CA,94560,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","Newark, CA 94560",https://www.apartments.com/39150-cedar-blvd-newark-ca/jv2wg76/,1 BA,520 Sq Ft,520,1 Month Lease,Available Now,,,"$2,49"
San Diego,Townhomes,CA,92104,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","San Diego, CA 92104",https://www.apartments.com/4042-swift-ave-san-diego-ca/p10v01t/,1 BA,510 Sq Ft,510,12 Month Lease,Available Now,,,"$1,70"
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '2 Beds', 'price': '$5,20'}]","1438 Manhattan Ave, Hermosa Beach, CA 90254",https://www.apartments.com/1438-manhattan-ave-hermosa-beach-ca/hf7cbb2/,2½ BAs,"2,200 Sq Ft","2,200",12 Month Lease,Available Now,"$5,20",,
Los Angeles,Townhomes,CA,90068,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","Los Angeles, CA 90068",https://www.apartments.com/3272-barham-blvd-los-angeles-ca/rlv7fj2/,2½ BAs,"1,980 Sq Ft","1,980",12 Month Lease,Available Now,,"$4,80",
San Diego,Townhomes,CA,92101,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","San Diego, CA 92101",https://www.apartments.com/1048-f-st-san-diego-ca/f1jgygs/,2½ BAs,"1,376 Sq Ft","1,376",12 Month Lease,Available Now,"$3,30",,
Long Beach,Townhomes,CA,90804,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Long Beach, CA 90804",https://www.apartments.com/1001-belmont-ave-long-beach-ca/w9kcqnj/,2½ BAs,840 Sq Ft,840,12 Month Lease,Available Now,"$2,20",,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,59'}]","Los Angeles, CA 90037",https://www.apartments.com/1199-browning-blvd-los-angeles-ca/t0h23q9/,3½ BAs,"1,500 Sq Ft","1,500",,Available Now,,"$3,59",
Glendale,Townhomes,CA,91206,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","Glendale, CA 91206",https://www.apartments.com/209-n-louise-st-glendale-ca/7yb1grx/,1 BA,645 Sq Ft,645,12 Month Lease,Available Now,,,"$2,00"
Los Angeles,Townhomes,CA,90028,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","1722 N Wilton Pl, Los Angeles, CA 90028",https://www.apartments.com/1722-n-wilton-pl-los-angeles-ca/l3jjtxg/,2 BAs,"1,300 Sq Ft","1,300",,Nov 1,,"$3,00",
El Segundo,Townhomes,CA,90245,"[{'bedroom_type': '3 Beds', 'price': '$3,65'}]","El Segundo, CA 90245",https://www.apartments.com/1629-e-palm-ave-el-segundo-ca/nd5zewq/,2½ BAs,"1,650 Sq Ft","1,650",6 Month Lease,Available Now,,"$3,65",
Lakewood,Townhomes,CA,90715,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Lakewood, CA 90715",https://www.apartments.com/20727-elaine-ave-lakewood-ca/kdxnjqc/,2½ BAs,"1,473 Sq Ft","1,473",12 Month Lease,Dec 18,"$2,50",,
Santa Cruz,Townhomes,CA,95060,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Santa Cruz, CA 95060",https://www.apartments.com/834-nobel-dr-santa-cruz-ca/bty6ysb/,1 BA,900 Sq Ft,900,6 Month Lease,Available Now,"$3,20",,
Menlo Park,Townhomes,CA,94025,"[{'bedroom_type': '3 Beds', 'price': '$4,95'}]","Menlo Park, CA 94025",https://www.apartments.com/2-heritage-pl-menlo-park-ca/xf0pdgn/,3 BAs,"1,870 Sq Ft","1,870",12 Month Lease,Available Now,,"$4,95",
Altadena,Townhomes,CA,91001,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Altadena, CA 91001",https://www.apartments.com/766-e-mariposa-st-altadena-ca/st6tx37/,1½ BAs,"1,000 Sq Ft","1,000",6 Month Lease,Available Now,"$2,40",,
Los Angeles,Townhomes,CA,90042,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","Los Angeles, CA 90042",https://www.apartments.com/512-terrill-ave-los-angeles-ca/ne871tq/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$3,45",
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$4,97'}]","927 5th St, Santa Monica, CA 90403",https://www.apartments.com/927-5th-st-santa-monica-ca/00f1x70/,2 BAs,"1,750 Sq Ft","1,750",,Available Now,"$4,97",,
Los Angeles,Townhomes,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$2,19'}]","5031 Bakman Ave, Los Angeles, CA 91601",https://www.apartments.com/5031-bakman-ave-los-angeles-ca/d75nc6l/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$2,19"
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$5,99'}]","1107 18th St, Santa Monica, CA 90403",https://www.apartments.com/1107-18th-st-santa-monica-ca/rzq95g2/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,"$5,99",
Los Angeles,Townhomes,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$2,44'}]","1000 S Corning St, Los Angeles, CA 90035",https://www.apartments.com/1000-s-corning-st-los-angeles-ca/2zgkk19/,2½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,44",,
Los Angeles,Townhomes,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Los Angeles, CA 90046",https://www.apartments.com/812-n-gardner-st-los-angeles-ca/7vb8r0x/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,20",,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,47'}]","621 California Ave, Santa Monica, CA 90403",https://www.apartments.com/621-california-ave-santa-monica-ca/l4n6f8d/,1½ BAs,"1,150 Sq Ft","1,150",,Available Now,"$3,47",,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$9,97'}]","Santa Monica, CA 90403",https://www.apartments.com/1136-18th-st-santa-monica-ca/x5rkcnn/,2½ BAs,"2,100 Sq Ft","2,100",12 Month Lease,Nov 1,,"$9,97",
