City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,5 Beds
San Ramon,Townhomes,CA,94582,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","San Ramon, CA 94582",https://www.apartments.com/612-joree-ln-san-ramon-ca/vx3e2nf/,2½ BAs,"1,605 Sq Ft","1,605",12 Month Lease,Available Now,"$3,40",,,,
Costa Mesa,Townhomes,CA,92627,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","Costa Mesa, CA 92627",https://www.apartments.com/214-palmer-st-costa-mesa-ca/mk1q3bj/,2½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$4,00",,,,
Los Angeles,Townhomes,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$6,99'}]","615 6th Ave, Los Angeles, CA 90291",https://www.apartments.com/615-6th-ave-los-angeles-ca/pdk862s/,2 BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,,"$6,99",,,
Los Angeles,Townhomes,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","3627 Dunn Dr, Los Angeles, CA 90034",https://www.apartments.com/3627-dunn-dr-los-angeles-ca/f4w4pwr/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,99",,,
San Francisco,Townhomes,CA,94123,"[{'bedroom_type': '4 Beds', 'price': '$8,50'}]","San Francisco, CA 94123",https://www.apartments.com/2030-green-st-san-francisco-ca/de94vyk/,2 BAs,"1,700 Sq Ft","1,700",6 Month Lease,Oct 15,,,"$8,50",,
Huntington Beach,Townhomes,CA,92646,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Huntington Beach, CA 92646",https://www.apartments.com/18591-vallarta-dr-huntington-beach-ca/4b4zm5j/,2½ BAs,"1,760 Sq Ft","1,760",12 Month Lease,Available Now,"$3,40",,,,
San Diego,Townhomes,CA,92121,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","San Diego, CA 92121",https://www.apartments.com/9668-caminito-del-feliz-san-diego-ca/rdsczj3/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,90",,,,
Monrovia,Townhomes,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Monrovia, CA 91016",https://www.apartments.com/131-w-central-ave-monrovia-ca/t9b3pb8/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,25",,,
Culver City,Townhomes,CA,90230,"[{'bedroom_type': '3 Beds', 'price': '$4,35'}]","Culver City, CA 90230",https://www.apartments.com/5115-showboat-ln-culver-city-ca/4lmtdmk/,3 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$4,35",,,,
Los Angeles,Townhomes,CA,90008,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","3003 W 43rd Pl, Los Angeles, CA 90008",https://www.apartments.com/3003-w-43rd-pl-los-angeles-ca/kbztmp8/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$1,90",,,
Colton,Townhomes,CA,92324,"[{'bedroom_type': '3 Beds', 'price': '$1,55'}]","Colton, CA 92324",https://www.apartments.com/1251-s-meadow-ln-colton-ca/ygz883r/,2½ BAs,"1,215 Sq Ft","1,215",12 Month Lease,Oct 5,"$1,55",,,,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","Sunnyvale, CA 94085",https://www.apartments.com/570-de-guigne-dr-sunnyvale-ca/cg2j8hg/,0½ BAs,100 Sq Ft,100,1 Month Lease,Available Now,,,,"$1,20",
Los Angeles,Townhomes,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$2,69'}]","Los Angeles, CA 90035",https://www.apartments.com/6138-alcott-st-los-angeles-ca/ylv947r/,1 BA,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,"$2,69",,,
Los Angeles,Townhomes,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Los Angeles, CA 91601",https://www.apartments.com/11437-hatteras-st-los-angeles-ca/esnlksm/,2½ BAs,"1,200 Sq Ft","1,200",,Available Now,,"$3,20",,,
Manhattan Beach,Townhomes,CA,90266,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Manhattan Beach, CA 90266",https://www.apartments.com/1400-12th-st-manhattan-beach-ca/3qqnd2e/,1 BA,850 Sq Ft,850,6 Month Lease,Oct 5,,"$3,00",,,
Rancho Cucamonga,Townhomes,CA,91730,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","Rancho Cucamonga, CA 91730",https://www.apartments.com/7716-abbot-ct-rancho-cucamonga-ca/rxdzvt3/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Oct 11,"$2,80",,,,
Santa Monica,Townhomes,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","1753 11th St, Santa Monica, CA 90404",https://www.apartments.com/1753-11th-st-santa-monica-ca/0yln533/,1½ BAs,850 Sq Ft,850,12 Month Lease,Available Now,,"$2,35",,,
Los Angeles,Townhomes,CA,90064,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","Los Angeles, CA 90064",https://www.apartments.com/2455-corinth-ave-los-angeles-ca/hvsdsf1/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$2,59",,,
Manhattan Beach,Townhomes,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","Manhattan Beach, CA 90266",https://www.apartments.com/433-23rd-pl-manhattan-beach-ca/k00m56b/,4 BAs,"1,785 Sq Ft","1,785",4 Month Lease,Oct 15,"$5,00",,,,
Culver City,Townhomes,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$6,00'}]","Culver City, CA 90232",https://www.apartments.com/4227-ince-blvd-culver-city-ca/m7bbqbh/,3½ BAs,"1,900 Sq Ft","1,900",12 Month Lease,Available Now,"$6,00",,,,
Manhattan Beach,Townhomes,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$12,95'}]","98 Manhattan Ave, Manhattan Beach, CA 90266",https://www.apartments.com/98-manhattan-ave-manhattan-beach-ca/e2qnhzm/,2½ BAs,"2,200 Sq Ft","2,200",1 Month Lease,Feb 15,"$12,95",,,,
South Gate,Townhomes,CA,90280,"[{'bedroom_type': '2 Beds', 'price': '$2,58'}]","South Gate, CA 90280",https://www.apartments.com/9552-karmont-ave-south-gate-ca/9ssn766/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Nov 7,,"$2,58",,,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '4 Beds', 'price': '$4,92'}]","Sunnyvale, CA 94085",https://www.apartments.com/308-santa-diana-ter-sunnyvale-ca/clp2pvf/,3½ BAs,"1,815 Sq Ft","1,815",12 Month Lease,Available Now,,,"$4,92",,
Buena Park,Townhomes,CA,90620,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Buena Park, CA 90620",https://www.apartments.com/6941-houston-st-buena-park-ca/bmg175c/,1½ BAs,"1,020 Sq Ft","1,020",12 Month Lease,Available Now,,"$1,99",,,
Lomita,Townhomes,CA,90717,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Lomita, CA 90717",https://www.apartments.com/2012-bella-ln-lomita-ca/jp1rjb5/,2½ BAs,"1,776 Sq Ft","1,776",12 Month Lease,Available Now,"$3,40",,,,
San Jose,Townhomes,CA,95121,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","San Jose, CA 95121",https://www.apartments.com/3545-squirecreek-cir-san-jose-ca/cmehytd/,2½ BAs,"1,400 Sq Ft","1,400",,Available Now,"$3,00",,,,
Los Angeles,Townhomes,CA,90022,"[{'bedroom_type': '4 Beds', 'price': '$3,19'}]","Los Angeles, CA 90022",https://www.apartments.com/459-s-ford-blvd-los-angeles-ca/scebj47/,3 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Oct 15,,,"$3,19",,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","Sunnyvale, CA 94085",https://www.apartments.com/813-san-pier-ct-sunnyvale-ca/tlnmmdb/,1 BA,900 Sq Ft,900,9 Month Lease,Available Now,,"$2,35",,,
Los Angeles,Townhomes,CA,90029,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","Los Angeles, CA 90029",https://www.apartments.com/972-n-normandie-ave-los-angeles-ca/2g2sxf8/,2 BAs,"1,070 Sq Ft","1,070",,Available Now,"$3,20",,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,77'}]","Milpitas, CA 95035",https://www.apartments.com/370-montecito-way-milpitas-ca/745n3nx/,2½ BAs,"1,375 Sq Ft","1,375",12 Month Lease,Nov 3,"$3,77",,,,
Los Angeles,Townhomes,CA,90007,"[{'bedroom_type': '3 Beds', 'price': '$2,44'}]","Los Angeles, CA 90007",https://www.apartments.com/1967-raymond-ave-los-angeles-ca/660lmsv/,2 BAs,"1,163 Sq Ft","1,163",12 Month Lease,Available Now,"$2,44",,,,
Los Angeles,Townhomes,CA,90018,"[{'bedroom_type': '4 Beds', 'price': '$3,79'}]","Los Angeles, CA 90018",https://www.apartments.com/2631-s-la-salle-ave-los-angeles-ca/c472cqg/,3½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$3,79",,
Encino,Townhomes,CA,91436,"[{'bedroom_type': '2 Beds', 'price': '$2,77'}]","4735 Gloria Ave, Encino, CA 91436",https://www.apartments.com/4735-gloria-ave-encino-ca/8hrrpy2/,2½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Oct 5,,"$2,77",,,
Los Angeles,Townhomes,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$3,29'}]","11630 Chenault St, Los Angeles, CA 90049",https://www.apartments.com/11630-chenault-st-los-angeles-ca/02vq642/,2½ BAs,"1,000 Sq Ft","1,000",,Available Now,,"$3,29",,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,29'}]","Los Angeles, CA 90037",https://www.apartments.com/1116-w-39th-pl-los-angeles-ca/fshx6bt/,3 BAs,"1,376 Sq Ft","1,376",12 Month Lease,Available Now,"$3,29",,,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,19'}]","Los Angeles, CA 90037",https://www.apartments.com/1118-w-39th-pl-los-angeles-ca/k28j1x9/,3 BAs,"1,376 Sq Ft","1,376",,Available Now,"$3,19",,,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,59'}]","Los Angeles, CA 90037",https://www.apartments.com/1197-browning-blvd-los-angeles-ca/0bpwr82/,3½ BAs,"1,400 Sq Ft","1,400",,Available Now,"$3,59",,,,
Pleasant Hill,Townhomes,CA,94523,"[{'bedroom_type': '3 Beds', 'price': '$3,35'}]","Pleasant Hill, CA 94523",https://www.apartments.com/371-scottsdale-rd-pleasant-hill-ca/vm23qqg/,2½ BAs,"1,365 Sq Ft","1,365",12 Month Lease,Available Now,"$3,35",,,,
