Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Multi-family home for sale,"$559,990","403 E 43rd St, Los Angeles, CA 90011",403 E 43rd St,Los Angeles,CA,90011,34.005935,-118.268326,"1,697",null,null,Multiple Occupancy,1903,2 spaces,null,$330,"$559,991","$2,700/mo",https://www.zillow.com/homedetails/403-E-43rd-St-Los-Angeles-CA-90011/20618340_zpid/
Multi-family home for sale,"$269,900","704 N Garden St, Visalia, CA 93291",704 N Garden St,Visalia,CA,93291,36.337271,-119.289813,"1,590",null,null,Multiple Occupancy,1951,2 spaces,null,$170,"$175,129","$1,250/mo",https://www.zillow.com/homedetails/704-N-Garden-St-Visalia-CA-93291/16237607_zpid/
Multi-family home for sale,"$385,000","627 S Teakwood Ave, Rialto, CA 92376",627 S Teakwood Ave,Rialto,CA,92376,34.110889,-117.389328,"1,735",null,null,Multiple Occupancy,1980,4 spaces,null,$222,"$385,003","$2,050/mo",https://www.zillow.com/homedetails/627-S-Teakwood-Ave-Rialto-CA-92376/17214188_zpid/
Multi-family home for sale,"$429,000","24084 Falconer Dr, Murrieta, CA 92562",24084 Falconer Dr,Murrieta,CA,92562,33.590358,-117.201181,"1,646",null,null,Multiple Occupancy,1988,2 spaces,null,$261,"$420,953","$2,400/mo",https://www.zillow.com/homedetails/24084-Falconer-Dr-Murrieta-CA-92562/18175453_zpid/
Multi-family home for sale,"$519,000","675 Leonard Ave, Los Angeles, CA 90022",675 Leonard Ave,Los Angeles,CA,90022,34.019822,-118.142653,"1,013",null,null,Multiple Occupancy,1935,2 spaces,null,$512,"$527,752","$2,085/mo",https://www.zillow.com/homedetails/675-Leonard-Ave-Los-Angeles-CA-90022/21082701_zpid/
Multi-family home for sale,"$455,000","5512 Sandpiper Ct, Stockton, CA 95207",5512 Sandpiper Ct,Stockton,CA,95207,37.99701,-121.32646,"1,075",null,null,Multiple Occupancy,1976,4 spaces,null,$423,"$369,872","$1,595/mo",https://www.zillow.com/homedetails/5512-Sandpiper-Ct-Stockton-CA-95207/15306563_zpid/
Multi-family home for sale,"$247,500","8208 Alix Ave, Los Angeles, CA 90001",8208 Alix Ave,Los Angeles,CA,90001,33.963975,-118.235668,686,null,null,Multiple Occupancy,1911,No Data,null,$361,"$249,231","$2,200/mo",https://www.zillow.com/homedetails/8208-Alix-Ave-Los-Angeles-CA-90001/20942944_zpid/
Multi-family home for sale,"$224,999","25468 Anderson Ave, Barstow, CA 92311",25468 Anderson Ave,Barstow,CA,92311,34.877782,-117.105076,"2,025",null,null,Multiple Occupancy,1959,No Data,null,$111,"$53,858","$1,300/mo",https://www.zillow.com/homedetails/25468-Anderson-Ave-Barstow-CA-92311/17451871_zpid/
Multi-family home for sale,"$350,000","1527 Belle St, San Bernardino, CA 92404",1527 Belle St,San Bernardino,CA,92404,34.127547,-117.279697,"1,968",null,null,Multiple Occupancy,1952,3 spaces,null,$178,"$355,606","$1,200/mo",https://www.zillow.com/homedetails/1527-Belle-St-San-Bernardino-CA-92404/17234127_zpid/
Multi-family home for sale,"$599,000","1919 Oakdale Ave, San Francisco, CA 94124",1919 Oakdale Ave,San Francisco,CA,94124,37.737929,-122.396748,"1,750",null,null,Multiple Occupancy,1900,No Data,null,$342,null,null,https://www.zillow.com/homedetails/1919-Oakdale-Ave-San-Francisco-CA-94124/2077709529_zpid/
Multi-family home for sale,"$189,900","16541 E St, Victorville, CA 92395",16541 E St,Victorville,CA,92395,34.542235,-117.298281,"1,500",null,null,Multiple Occupancy,1946,8 spaces,null,$127,"$190,168","$1,200/mo",https://www.zillow.com/homedetails/16541-E-St-Victorville-CA-92395/17478213_zpid/
Multi-family home for sale,"$4,995,000","154-160 Bennett Ave, Long Beach, CA 90803",154-160 Bennett Ave,Long Beach,CA,90803,33.762902,-118.142646,"7,696",null,null,Multiple Occupancy,1924,7 spaces,null,$649,null,null,https://www.zillow.com/homedetails/154-160-Bennett-Ave-Long-Beach-CA-90803/2079260676_zpid/
Multi-family home for sale,"$828,000","3760-3762 Birch St, Ventura, CA 93003",3760-3762 Birch St,Ventura,CA,93003,34.271046,-119.243274,,null,null,Multiple Occupancy,1958,2 spaces,null,null,null,null,https://www.zillow.com/homedetails/3760-3762-Birch-St-Ventura-CA-93003/2077624979_zpid/
