Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,"
													1 Bed
															–
3 Beds											",1 Bed,2 Beds,3 Beds,Studio,4 Beds,5 Beds
THE PIQUE,Folsom,Apartment,CA,95630,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","101 Pique Loop, Folsom, CA 95630",https://www.apartments.com/the-pique-folsom-ca/t9yx7xb/,,,,,,,
Ageno Apartments,Livermore,Apartment,CA,94550,"[{'bedroom_type': '1 Bed', 'price': '$2,085'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$3,590'}]","1001-1097 Westwind St, Livermore, CA 94550",https://www.apartments.com/ageno-apartments-livermore-ca/fmcm39v/,,"$2,085 ",,"$3,590 ",,,
Channel House,Oakland,Apartment,CA,94607,"[{'bedroom_type': 'Studio', 'price': '$2,499'}, {'bedroom_type': '1 Bed', 'price': '$2,999'}, {'bedroom_type': '2 Beds', 'price': '$3,715'}, {'bedroom_type': '3 Beds', 'price': '$5,140'}]","40 Harrison St, Oakland, CA 94607",https://www.apartments.com/channel-house-oakland-ca/4xc6dgl/,,"$2,999 ","$3,715 ","$5,140 ","$2,499 ",,
Palazzo West,Los Angeles,Apartment,CA,90036,"[{'bedroom_type': '1 Bed', 'price': '$2,760'}, {'bedroom_type': '2 Beds', 'price': '$3,590'}, {'bedroom_type': '3 Beds', 'price': '$5,595'}]","6220 W 3rd St, Los Angeles, CA 90036",https://www.apartments.com/palazzo-west-los-angeles-ca/lcvb9pg/,,"$2,760 ","$3,590 ","$5,595 ",,,
The Rylan,Vista,Apartment,CA,92083,"[{'bedroom_type': 'Studio', 'price': '$2,185'}, {'bedroom_type': '1 Bed', 'price': '$2,050'}, {'bedroom_type': '2 Beds', 'price': '$3,050'}]","100 Main St, Vista, CA 92083",https://www.apartments.com/the-rylan-vista-ca/3cqcvwd/,,"$2,050 ","$3,050 ",,"$2,185 ",,
Mission Lofts,Riverside,Apartment,CA,92507,"[{'bedroom_type': 'Studio', 'price': '$1,637'}, {'bedroom_type': '1 Bed', 'price': '$1,752'}, {'bedroom_type': '2 Beds', 'price': '$2,192'}]","3050 Mission Inn Ave, Riverside, CA 92507",https://www.apartments.com/mission-lofts-riverside-ca/41rehmk/,,"$1,752 ","$2,192 ",,"$1,637 ",,
50 Jones,San Francisco,Apartment,CA,94102,"[{'bedroom_type': 'Studio', 'price': '$1,976'}, {'bedroom_type': '1 Bed', 'price': '$2,371'}, {'bedroom_type': '2 Beds', 'price': '$3,110'}]","1066 Market St, San Francisco, CA 94102",https://www.apartments.com/50-jones-san-francisco-ca/79rtqtx/,,"$2,371 ","$3,110 ",,"$1,976 ",,
The Rise Hayes Valley,San Francisco,Apartment,CA,94103,"[{'bedroom_type': 'Studio', 'price': '$3,215'}, {'bedroom_type': '1 Bed', 'price': '$2,950'}, {'bedroom_type': '2 Beds', 'price': '$3,400'}]","1699 Market St, San Francisco, CA 94103",https://www.apartments.com/the-rise-hayes-valley-san-francisco-ca/plmhlcr/,,"$2,950 ","$3,400 ",,"$3,215 ",,
Jones Berkeley,Berkeley,Apartment,CA,94702,"[{'bedroom_type': 'Studio', 'price': '$2,100'}, {'bedroom_type': '1 Bed', 'price': '$2,930'}, {'bedroom_type': '2 Beds', 'price': '$3,785'}, {'bedroom_type': '3 Beds', 'price': '$5,590'}]","1500 San Pablo Ave, Berkeley, CA 94702",https://www.apartments.com/jones-berkeley-berkeley-ca/s8hkc87/,,"$2,930 ","$3,785 ","$5,590 ","$2,100 ",,
Coliseum Connections,Oakland,Apartment,CA,94621,"[{'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,350'}]","805 N 71st Ave, Oakland, CA 94621",https://www.apartments.com/coliseum-connections-oakland-ca/1n0krn4/,,"$2,025 ","$2,350 ",,,,
