Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													Studio
															–
3 Beds											","
													2 Beds
											","
													1 Bed
											","
													1 Bed
															–
3 Beds											","
													Studio
															–
2 Beds											","
2 																	–
4 Beds													"
Pierside South,Oceanside,Apartment,CA,92054,"[{'bedroom_type': 'Studio', 'price': '$2,001'}, {'bedroom_type': '1 Bed', 'price': '$2,863'}, {'bedroom_type': '2 Beds', 'price': '$3,264'}]","115 N Cleveland St, Oceanside, CA 92054",https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,"$2,001 ","$2,863 ","$3,264 ",,,,,,,,
Refugio,Santa Maria,Apartment,CA,93455,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","2299 Carrasco Way, Santa Maria, CA 93455",https://www.apartments.com/refugio-santa-maria-ca/2yrrvrb/,,,,"$2,600 ",,,,,,,
Circa 2020,Redlands,Apartment,CA,92374,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': ''}]","27000 W Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/circa-2020-redlands-ca/k1t86zc/,,"$1,900 ",,,,,,,,,
THE TERRACES AT STANFORD RANCH,Rocklin,Apartment,CA,95677,"[{'bedroom_type': '1 Bed', 'price': '$1,974'}, {'bedroom_type': '2 Beds', 'price': '$2,414'}, {'bedroom_type': '3 Beds', 'price': '$2,365'}, {'bedroom_type': '4 Beds', 'price': '$2,796'}]","3339 Marlee Way, Rocklin, CA 95677",https://www.apartments.com/the-terraces-at-stanford-ranch-rocklin-ca/kjps999/,,"$1,974 ","$2,414 ","$2,365 ","$2,796 ",,,,,,
Main Street Village,Irvine,Apartment,CA,92614,"[{'bedroom_type': '1 Bed', 'price': '$2,014'}, {'bedroom_type': '2 Beds', 'price': '$2,418'}, {'bedroom_type': '3 Beds', 'price': '$3,658'}]","2555 Main St, Irvine, CA 92614",https://www.apartments.com/main-street-village-irvine-ca/jl8gs35/,,"$2,014 ","$2,418 ","$3,658 ",,,,,,,
Merrick Apartments,Placentia,Apartment,CA,92870,"[{'bedroom_type': '1 Bed', 'price': '$1,890'}, {'bedroom_type': '2 Beds', 'price': '$2,235'}]","310 S Jefferson St, Placentia, CA 92870",https://www.apartments.com/merrick-apartments-placentia-ca/wfc8p5j/,,"$1,890 ","$2,235 ",,,,,,,,
THE RETRO,Sacramento,Apartment,CA,95825,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","2500 Fair Oaks Blvd, Sacramento, CA 95825",https://www.apartments.com/the-retro-sacramento-ca/cm44ftf/,,,,,,,,,,,
LESARRA APARTMENTS,El Dorado Hills,Apartment,CA,95762,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$2,077'}, {'bedroom_type': '3 Beds', 'price': ''}]","2230 Valley View Pky, El Dorado Hills, CA 95762",https://www.apartments.com/lesarra-apartments-el-dorado-hills-ca/lnz36he/,,"$1,550 ","$2,077 ",,,,,,,,
Legendary Glendale,Glendale,Apartment,CA,91203,"[{'bedroom_type': '1 Bed', 'price': '$2,225'}, {'bedroom_type': '2 Beds', 'price': '$2,595'}, {'bedroom_type': '3 Beds', 'price': '$3,795'}]","300 N Central Ave, Glendale, CA 91203",https://www.apartments.com/legendary-glendale-glendale-ca/qrmyqmx/,,"$2,225 ","$2,595 ","$3,795 ",,,,,,,
The Angelica Rancho Cucamonga,Rancho Cucamonga,Apartment,CA,91739,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,470'}, {'bedroom_type': '3 Beds', 'price': ''}]","7828 Day Creek Blvd, Rancho Cucamonga, CA 91739",https://www.apartments.com/the-angelica-rancho-cucamonga-rancho-cucamonga-ca/mgwrn8h/,,"$1,995 ","$2,470 ",,,,,,,,
