Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,"
													Studio
															–
2 Beds											","
													1 Bed
															–
2 Beds											","
													2 Beds
															–
3 Beds											","
													2 Beds
											"
GIO,Sacramento,Apartment,CA,95816,"[{'bedroom_type': 'Studio', 'price': '$1,900'}, {'bedroom_type': '1 Bed', 'price': '$2,035'}, {'bedroom_type': '2 Beds', 'price': '$2,545'}, {'bedroom_type': '3 Beds', 'price': '$3,493'}]","3675 T St, Sacramento, CA 95816",https://www.apartments.com/gio-sacramento-ca/9jxvlp4/,"$1,900","$2,035","$2,545","$3,493",,,,,,
Promenade at Irvine Spectrum,Irvine,Apartment,CA,92618,"[{'bedroom_type': 'Studio', 'price': '$2,125'}, {'bedroom_type': '1 Bed', 'price': '$2,435'}, {'bedroom_type': '2 Beds', 'price': '$3,170'}]","1100 Perlita, Irvine, CA 92618",https://www.apartments.com/promenade-at-irvine-spectrum-irvine-ca/2hnsmz9/,"$2,125","$2,435","$3,170",,,,,,,
Broadstone Vilara,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': 'Studio', 'price': '$2,125'}, {'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,760'}, {'bedroom_type': '3 Beds', 'price': ''}]","26033 Getty Dr, Laguna Niguel, CA 92677",https://www.apartments.com/broadstone-vilara-laguna-niguel-ca/tc5zfv8/,"$2,125","$2,195","$2,760",,,,,,,
Savoy,Sunnyvale,Apartment,CA,94086,"[{'bedroom_type': '1 Bed', 'price': '$2,670'}, {'bedroom_type': '2 Beds', 'price': '$3,660'}]","1120 Kifer Rd, Sunnyvale, CA 94086",https://www.apartments.com/savoy-sunnyvale-ca/wz9c7ck/,,"$2,670","$3,660",,,,,,,
The Club at Enclave,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,625'}, {'bedroom_type': '3 Beds', 'price': '$3,175'}]","1629 Santa Venetia St, Chula Vista, CA 91913",https://www.apartments.com/the-club-at-enclave-chula-vista-ca/rl92983/,,"$1,995","$2,625","$3,175",,,,,,
Deer Creek Apartments,San Ramon,Apartment,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}]","17115 Bollinger Canyon Rd, San Ramon, CA 94582",https://www.apartments.com/deer-creek-apartments-san-ramon-ca/hq191t0/,,"$1,895","$2,425",,,,,,,
Rowan,Escondido,Apartment,CA,92025,"[{'bedroom_type': '1 Bed', 'price': '$2,245'}, {'bedroom_type': '2 Beds', 'price': '$2,555'}, {'bedroom_type': '3 Beds', 'price': '$3,400'}]","700 W Grand Ave, Escondido, CA 92025",https://www.apartments.com/rowan-escondido-ca/jj1rlt5/,,"$2,245","$2,555","$3,400",,,,,,
Artesa at Menifee Town Center,Menifee,Apartment,CA,92584,"[{'bedroom_type': '1 Bed', 'price': '$1,893'}, {'bedroom_type': '2 Beds', 'price': '$2,232'}, {'bedroom_type': '3 Beds', 'price': ''}]","30414 Town Center Dr, Menifee, CA 92584",https://www.apartments.com/artesa-at-menifee-town-center-menifee-ca/576wlnm/,,"$1,893","$2,232",,,,,,,
Amplifi,Fullerton,Apartment,CA,92832,"[{'bedroom_type': 'Studio', 'price': '$2,010'}, {'bedroom_type': '1 Bed', 'price': '$2,060'}, {'bedroom_type': '2 Beds', 'price': '$2,545'}, {'bedroom_type': '3 Beds', 'price': '$4,165'}]","600 W Commonwealth Ave, Fullerton, CA 92832",https://www.apartments.com/amplifi-fullerton-ca/h4bhn92/,"$2,010","$2,060","$2,545","$4,165",,,,,,
38° NORTH,Santa Rosa,Apartment,CA,95404,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,520'}]","1020 Kawana Springs Rd, Santa Rosa, CA 95404",https://www.apartments.com/38-north-santa-rosa-ca/f92dres/,,"$2,195","$2,520",,,,,,,
Salerno,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}, {'bedroom_type': '4 Beds', 'price': ''}]","1630 Paseo Monti, Chula Vista, CA 91913",https://www.apartments.com/salerno-chula-vista-ca/n44d6tp/,,,,"$3,500",,,,,,
The Summit,Redlands,Apartment,CA,92374,"[{'bedroom_type': '1 Bed', 'price': '$1,755'}, {'bedroom_type': '2 Beds', 'price': '$2,120'}, {'bedroom_type': '3 Beds', 'price': '$2,660'}]","27431 San Bernardino Ave, Redlands, CA 92374",https://www.apartments.com/the-summit-redlands-ca/r47z7j1/,,"$1,755","$2,120","$2,660",,,,,,
Reeves Place LA,Los Angeles,Apartment,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$4,795'}, {'bedroom_type': '3 Beds', 'price': '$6,995'}, {'bedroom_type': '4+ Beds', 'price': '$17,500'}]","1415 S Reeves St, Los Angeles, CA 90035",https://www.apartments.com/reeves-place-la-los-angeles-ca/19esjz7/,,,"$4,795","$6,995",,"$17,500",,,,
ONYX Midtown Apartments,Sacramento,Apartment,CA,95818,"[{'bedroom_type': '1 Bed', 'price': '$1,605'}, {'bedroom_type': '2 Beds', 'price': '$2,490'}]","1818 X St, Sacramento, CA 95818",https://www.apartments.com/onyx-midtown-apartments-sacramento-ca/5b048mm/,,"$1,605","$2,490",,,,,,,
