City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 – 2 Beds,2 Beds,Studio,1 Bed,3 Beds,1 – 3 Beds,2 – 3 Beds,Studio – 3 Beds
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,095'}]","Los Angeles, CA 90034",https://www.apartments.com/10945-rose-ave-los-angeles-ca/etvjcpp/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,095",,,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","Santa Monica, CA 90403",https://www.apartments.com/923-17th-st-santa-monica-ca-unit-4/hbtyx21/,2 BAs,"1,064 Sq Ft","1,064",12 Month Lease,Available Now,,"$3,60",,,,,,
North Hollywood,Condos,CA,91605,"[{'bedroom_type': 'Studio', 'price': '$1,69'}]","North Hollywood, CA 91605",https://www.apartments.com/6847-radford-ave-north-hollywood-ca/n7yk2mp/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,"$1,69",,,,,
Los Angeles,Condos,CA,90094,"[{'bedroom_type': '1 Bed', 'price': '$3,00'}]","Los Angeles, CA 90094",https://www.apartments.com/12655-bluff-creek-dr-los-angeles-ca-unit-231/tqst50c/,1 BA,759 Sq Ft,759,12 Month Lease,Jan 9,,,,"$3,00",,,,
Oakland,Condos,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$3,14'}]","Oakland, CA 94607",https://www.apartments.com/1022-adeline-st-oakland-ca/r3qf4f3/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$3,14",,,,,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': 'Studio', 'price': '$1,42'}]","632 S Cloverdale Ave, Los Angeles, CA 90036",https://www.apartments.com/632-s-cloverdale-ave-los-angeles-ca/11p7tb7/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,,"$1,42",,,,,
San Francisco,Condos,CA,94127,"[{'bedroom_type': 'Studio', 'price': '$1,55'}]","San Francisco, CA 94127",https://www.apartments.com/1550-portola-dr-san-francisco-ca/rbf2dd0/,1 BA,300 Sq Ft,300,6 Month Lease,Available Now,,,"$1,55",,,,,
Glendale,Condos,CA,91202,"[{'bedroom_type': '2 Beds', 'price': '$1,97'}]","Glendale, CA 91202",https://www.apartments.com/521-w-stocker-st-glendale-ca/gdxz1qw/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,97",,,,,,
San Diego,Condos,CA,92124,"[{'bedroom_type': '2 Beds', 'price': '$2,79'}]","San Diego, CA 92124",https://www.apartments.com/11255-tierrasanta-blvd-san-diego-ca-unit-125/fcr3wev/,2 BAs,"1,120 Sq Ft","1,120",12 Month Lease,Available Now,,"$2,79",,,,,,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '1 Bed', 'price': '$2,25'}]","Los Angeles, CA 90012",https://www.apartments.com/108-w-2nd-st-los-angeles-ca-unit-709/r93q7c2/,1 BA,770 Sq Ft,770,12 Month Lease,Available Now,,,,"$2,25",,,,
San Ramon,Condos,CA,94583,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","San Ramon, CA 94583",https://www.apartments.com/140-reflections-dr-san-ramon-ca-unit-24/07m03p3/,1 BA,625 Sq Ft,625,12 Month Lease,Available Now,,,,"$2,15",,,,
Menlo Park,Condos,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","Menlo Park, CA 94025",https://www.apartments.com/449-glenwood-ave-menlo-park-ca/yfw2cct/,2 BAs,"1,000 Sq Ft","1,000",6 Month Lease,Available Now,,"$2,95",,,,,,
San Francisco,Condos,CA,94117,"[{'bedroom_type': '1 Bed', 'price': '$2,69'}]","San Francisco, CA 94117",https://www.apartments.com/1101-oak-st-san-francisco-ca/pxp06ht/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$2,69",,,,
Foster City,Condos,CA,94404,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Foster City, CA 94404",https://www.apartments.com/1171-compass-ln-foster-city-ca-unit-301/62f60jr/,1 BA,990 Sq Ft,990,12 Month Lease,Available Now,,,,"$2,60",,,,
Pasadena,Condos,CA,91104,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]","Pasadena, CA 91104",https://www.apartments.com/1305-n-garfield-ave-pasadena-ca/nljp7cm/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,095",,,,,,
Irvine,Condos,CA,92612,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","Irvine, CA 92612",https://www.apartments.com/3460-watermarke-pl-irvine-ca-unit-3460/jlbq9g5/,2 BAs,"1,438 Sq Ft","1,438",6 Month Lease,Available Now,,,,,"$3,30",,,
North Hollywood,Condos,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$1,51'}]","North Hollywood, CA 91601",https://www.apartments.com/11208-morrison-st-north-hollywood-ca/krkpwec/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$1,51",,,,
Valley Village,Condos,CA,91607,"[{'bedroom_type': '1 Bed', 'price': '$1,495'}]","Valley Village, CA 91607",https://www.apartments.com/5247-hermitage-ave-valley-village-ca/pq5hl1v/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,,"$1,495",,,,
San Francisco,Condos,CA,94109,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","San Francisco, CA 94109",https://www.apartments.com/1299-bush-st-san-francisco-ca-unit-204/xevdhtq/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$2,40",,,,
Oakland,Condos,CA,94607,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","Oakland, CA 94607",https://www.apartments.com/3-embarcadero-w-oakland-ca-unit-334/c1mt2qf/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,,,"$2,00",,,,
Beverly Hills,Condos,CA,90210,"[{'bedroom_type': '1 Bed', 'price': '$2,75'}]","Beverly Hills, CA 90210",https://www.apartments.com/338-n-oakhurst-dr-beverly-hills-ca/6defr9s/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$2,75",,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$2,79'}]","Los Angeles, CA 90035",https://www.apartments.com/6066-cashio-st-los-angeles-ca/7z68mmw/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$2,79",,,,,,
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '2 Beds', 'price': '$3,35'}]","Los Angeles, CA 90019",https://www.apartments.com/1348-carmona-ave-los-angeles-ca-unit-3/tqpwy39/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$3,35",,,,,,
Beverly Hills,Condos,CA,90211,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Beverly Hills, CA 90211",https://www.apartments.com/341-s-doheny-dr-beverly-hills-ca/mjb7enk/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$3,20",,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$4,85'}]","Santa Monica, CA 90403",https://www.apartments.com/1133-5th-st-santa-monica-ca-unit-101/rj7mpk3/,2½ BAs,"1,573 Sq Ft","1,573",12 Month Lease,Available Now,,"$4,85",,,,,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$2,70'}]","Los Angeles, CA 90049",https://www.apartments.com/1154-s-barrington-ave-los-angeles-ca-unit-103/5dbtqmm/,1 BA,728 Sq Ft,728,12 Month Lease,Feb 1,,,,"$2,70",,,,
Los Angeles,Condos,CA,90069,"[{'bedroom_type': '1 Bed', 'price': '$2,39'}]","740 N Kings Rd, Los Angeles, CA 90069",https://www.apartments.com/740-n-kings-rd-los-angeles-ca-unit-114/39hkd7d/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$2,39",,,,
San Jose,Condos,CA,95110,"[{'bedroom_type': '2 Beds', 'price': '$2,57'}]","San Jose, CA 95110",https://www.apartments.com/411-park-ave-san-jose-ca-unit-226/lsd1c3d/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$2,57",,,,,,
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '2 Beds', 'price': '$3,59'}]","Palo Alto, CA 94301",https://www.apartments.com/704-ramona-st-palo-alto-ca-unit-condo/ywle4ss/,1 BA,"1,054 Sq Ft","1,054",12 Month Lease,Available Now,,"$3,59",,,,,,
Los Angeles,Condos,CA,90061,"[{'bedroom_type': '1 Bed', 'price': '$1,29'}]","Los Angeles, CA 90061",https://www.apartments.com/11827-s-figueroa-st-los-angeles-ca/hp1swt1/,1 BA,580 Sq Ft,580,12 Month Lease,Available Now,,,,"$1,29",,,,
Mill Valley,Condos,CA,94941,"[{'bedroom_type': '1 Bed', 'price': '$2,95'}]","Mill Valley, CA 94941",https://www.apartments.com/110-seminary-dr-mill-valley-ca-unit-2a/5x8ezjm/,1 BA,800 Sq Ft,800,12 Month Lease,Jan 15,,,,"$2,95",,,,
Los Angeles,Condos,CA,90041,"[{'bedroom_type': '1 – 3 Beds', 'price': '$1,995'}]","Los Angeles, CA 90041",https://www.apartments.com/1215-neola-st-los-angeles-ca/dd3q3kh/,1 BA,335 Sq Ft,335,12 Month Lease,Available Now,,,,,,"$1,995",,
Redwood City,Condos,CA,94061,"[{'bedroom_type': '1 Bed', 'price': '$1,975'}]","Redwood City, CA 94061",https://www.apartments.com/1014-woodside-rd-redwood-city-ca/hmlvv31/,1 BA,620 Sq Ft,620,12 Month Lease,Available Now,,,,"$1,975",,,,
San Diego,Condos,CA,92108,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","San Diego, CA 92108",https://www.apartments.com/2150-camino-de-la-reina-san-diego-ca-unit-201/c58nqfd/,2 BAs,977 Sq Ft,977,12 Month Lease,Feb 1,,"$2,10",,,,,,
Pasadena,Condos,CA,91104,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Pasadena, CA 91104",https://www.apartments.com/613-e-washington-blvd-pasadena-ca/0elw2w1/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,59",,,,
Irvine,Condos,CA,92614,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","Irvine, CA 92614",https://www.apartments.com/41-alicante-aisle-irvine-ca-unit-41/5tk8weq/,2 BAs,875 Sq Ft,875,12 Month Lease,Jan 16,,"$2,90",,,,,,
Encino,Condos,CA,91316,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Encino, CA 91316",https://www.apartments.com/5460-white-oak-ave-encino-ca-unit-c301/k4mjzl9/,2 BAs,990 Sq Ft,990,12 Month Lease,Available Now,,"$2,30",,,,,,
Carson,Condos,CA,90745,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","Carson, CA 90745",https://www.apartments.com/1211-e-carson-st-carson-ca-unit-24/8sgk4s0/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,,"$3,10",,,
Los Angeles,Condos,CA,90017,"[{'bedroom_type': 'Studio', 'price': '$2,50'}]","Los Angeles, CA 90017",https://www.apartments.com/877-francisco-st-los-angeles-ca-unit-821/fx3rktv/,1 BA,503 Sq Ft,503,12 Month Lease,Available Now,,,"$2,50",,,,,
Oakland,Condos,CA,94612,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","Oakland, CA 94612",https://www.apartments.com/438-w-grand-ave-oakland-ca-unit-506/mzb21fh/,2 BAs,"1,139 Sq Ft","1,139",12 Month Lease,Available Now,,"$3,50",,,,,,
Redwood City,Condos,CA,94063,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","Redwood City, CA 94063",https://www.apartments.com/1768-broadway-st-redwood-city-ca/22grgbb/,1½ BAs,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,49",,,,,,
Los Angeles,Condos,CA,90293,"[{'bedroom_type': '3 Beds', 'price': '$3,66'}]","8640 Gulana Ave, Los Angeles, CA 90293",https://www.apartments.com/8640-gulana-ave-los-angeles-ca-unit-k1019/lsxe54d/,2 BAs,"1,211 Sq Ft","1,211",12 Month Lease,Jan 16,,,,,"$3,66",,,
San Francisco,Condos,CA,94109,"[{'bedroom_type': '2 Beds', 'price': '$4,20'}]","San Francisco, CA 94109",https://www.apartments.com/1800-washington-st-san-francisco-ca-unit-318/j46krf7/,2 BAs,"1,072 Sq Ft","1,072",12 Month Lease,Available Now,,"$4,20",,,,,,
South Pasadena,Condos,CA,91030,"[{'bedroom_type': '1 Bed', 'price': '$1,85'}]","South Pasadena, CA 91030",https://www.apartments.com/1714-grevelia-st-south-pasadena-ca/6zwn7vr/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,85",,,,
Oakland,Condos,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","Oakland, CA 94607",https://www.apartments.com/423-7th-st-oakland-ca-unit-201/dv8fcpj/,1 BA,"1,158 Sq Ft","1,158",12 Month Lease,Feb 14,,"$2,59",,,,,,
El Segundo,Condos,CA,90245,"[{'bedroom_type': '2 Beds', 'price': '$3,45'}]","El Segundo, CA 90245",https://www.apartments.com/227-w-palm-ave-el-segundo-ca/w2w9n4k/,2½ BAs,"1,377 Sq Ft","1,377",12 Month Lease,Available Now,,"$3,45",,,,,,
Los Angeles,Condos,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,02'}]","Los Angeles, CA 91423",https://www.apartments.com/4838-hazeltine-ave-los-angeles-ca/gw5md3w/,1 BA,765 Sq Ft,765,12 Month Lease,Available Now,,"$2,02",,,,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Los Angeles, CA 90066",https://www.apartments.com/11523-washington-pl-los-angeles-ca/fbngg8s/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,40",,,,,,
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$3,70'}]","Los Angeles, CA 90027",https://www.apartments.com/4411-los-feliz-blvd-los-angeles-ca/1m4l437/,1 BA,996 Sq Ft,996,12 Month Lease,Available Now,,"$3,70",,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Los Angeles, CA 90035",https://www.apartments.com/1014-s-hayworth-ave-los-angeles-ca/l872lpd/,2 BAs,800 Sq Ft,800,12 Month Lease,Available Now,,"$3,500",,,,,,
Valley Village,Condos,CA,91607,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","Valley Village, CA 91607",https://www.apartments.com/12014-kling-st-valley-village-ca-unit-7/2ecyx9c/,3 BAs,"1,320 Sq Ft","1,320",6 Month Lease,Feb 3,,,,,"$4,00",,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","1425 Maltman Ave, Los Angeles, CA 90026",https://www.apartments.com/1425-maltman-ave-los-angeles-ca/hdqggn2/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,95",,,,,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","Los Angeles, CA 90036",https://www.apartments.com/314-n-sycamore-ave-los-angeles-ca/me5e6wh/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$3,50",,,,,,
West Hollywood,Condos,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","West Hollywood, CA 90046",https://www.apartments.com/7505-hampton-ave-west-hollywood-ca-unit-1/q75tf3z/,2 BAs,"1,255 Sq Ft","1,255",12 Month Lease,Feb 15,,"$3,50",,,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,55'}]","Los Angeles, CA 90024",https://www.apartments.com/1657-veteran-ave-los-angeles-ca-unit-203/6e8jq3v/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,55",,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '3 Beds', 'price': '$4,15'}]","1431 S Sherbourne Dr, Los Angeles, CA 90035",https://www.apartments.com/1431-s-sherbourne-dr-los-angeles-ca/8n3y3j0/,2½ BAs,"1,170 Sq Ft","1,170",12 Month Lease,Available Now,,,,,"$4,15",,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$1,98'}]","12029 Goshen Ave, Los Angeles, CA 90049",https://www.apartments.com/12029-goshen-ave-los-angeles-ca/762jvwy/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$1,98",,,,
Santa Monica,Condos,CA,90402,"[{'bedroom_type': '2 – 3 Beds', 'price': '$2,890'}]","Santa Monica, CA 90402",https://www.apartments.com/728-euclid-st-santa-monica-ca/xlgrgen/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,,,,"$2,890",
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","Los Angeles, CA 90025",https://www.apartments.com/1632-camden-ave-los-angeles-ca-unit-101/geq7edy/,2 BAs,"1,399 Sq Ft","1,399",12 Month Lease,Available Now,,,,,"$3,45",,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$3,15'}]","11933 Goshen Ave, Los Angeles, CA 90049",https://www.apartments.com/11933-goshen-ave-los-angeles-ca-unit-102/4bm9mlh/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$3,15",,,,,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$4,75'}]","Los Angeles, CA 90049",https://www.apartments.com/11645-montana-ave-los-angeles-ca-unit-130/1zdrlr7/,1 BA,700 Sq Ft,700,1 Month Lease,Available Now,,,,"$4,75",,,,
San Francisco,Condos,CA,94102,"[{'bedroom_type': 'Studio', 'price': '$1,68'}]","San Francisco, CA 94102",https://www.apartments.com/569-hayes-st-san-francisco-ca-unit-apt-2/lwjxy8g/,1 BA,410 Sq Ft,410,6 Month Lease,Available Now,,,"$1,68",,,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$4,25'}]","2313 5th St, Santa Monica, CA 90405",https://www.apartments.com/2313-5th-st-santa-monica-ca-unit-1/npqd5tn/,1½ BAs,949 Sq Ft,949,12 Month Lease,Available Now,,"$4,25",,,,,,
San Francisco,Condos,CA,94158,"[{'bedroom_type': '1 Bed', 'price': '$3,00'}]","San Francisco, CA 94158",https://www.apartments.com/300-berry-st-san-francisco-ca-unit-504/ll9ycre/,1 BA,856 Sq Ft,856,12 Month Lease,Feb 15,,,,"$3,00",,,,
Valley Village,Condos,CA,91607,"[{'bedroom_type': '3 Beds', 'price': '$3,55'}]","Valley Village, CA 91607",https://www.apartments.com/5405-hermitage-ave-valley-village-ca/fpwb68v/,2½ BAs,"1,290 Sq Ft","1,290",12 Month Lease,Available Now,,,,,"$3,55",,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","Los Angeles, CA 90025",https://www.apartments.com/1833-fairburn-ave-los-angeles-ca-unit-204/sc7hf76/,2 BAs,"1,523 Sq Ft","1,523",12 Month Lease,Available Now,,"$3,20",,,,,,
Los Angeles,Condos,CA,90064,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","Los Angeles, CA 90064",https://www.apartments.com/10345-almayo-ave-los-angeles-ca-unit-308/t5ts638/,2 BAs,"1,424 Sq Ft","1,424",12 Month Lease,Available Now,,"$3,50",,,,,,
Culver City,Condos,CA,90230,"[{'bedroom_type': 'Studio', 'price': '$1,29'}]","Culver City, CA 90230",https://www.apartments.com/3940-sepulveda-blvd-culver-city-ca/7kwvptx/,1 BA,393 Sq Ft,393,12 Month Lease,Available Now,,,"$1,29",,,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': '2 Beds', 'price': '$4,20'}]","400 Clementina St, San Francisco, CA 94103",https://www.apartments.com/mosso-400-400-clementina-st-722-san-francisco-ca/3v3k83f/,2 BAs,829 Sq Ft,829,,Available Now,,"$4,20",,,,,,
