City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,6 Beds,1 – 2 Beds,Studio – 2 Beds,4 Beds
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Los Angeles, CA 90024",https://www.apartments.com/671-landfair-ave-los-angeles-ca/nt5em7p/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,60",,,,,,,
Anaheim,Condos,CA,92805,"[{'bedroom_type': '2 Beds', 'price': '$1,62'}]","Anaheim, CA 92805",https://www.apartments.com/410-n-bush-st-anaheim-ca/rnt2xy1/,1 BA,800 Sq Ft,800,,Available Now,"$1,62",,,,,,,
Anaheim,Condos,CA,92805,"[{'bedroom_type': '1 Bed', 'price': '$1,40'}]","Anaheim, CA 92805",https://www.apartments.com/416-bush-n-st-anaheim-ca/3z6x32g/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,40",,,,,,
Richmond,Condos,CA,94804,"[{'bedroom_type': '2 Beds', 'price': '$2,05'}]","Richmond, CA 94804",https://www.apartments.com/5234-columbia-ave-richmond-ca/v1t0peg/,1 BA,780 Sq Ft,780,12 Month Lease,Available Now,"$2,05",,,,,,,
La Mesa,Condos,CA,91941,"[{'bedroom_type': '1 Bed', 'price': '$1,39'}]","La Mesa, CA 91941",https://www.apartments.com/4636-4th-st-la-mesa-ca/3671jjd/,1 BA,500 Sq Ft,500,12 Month Lease,Jan 2,,"$1,39",,,,,,
West Sacramento,Condos,CA,95605,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","West Sacramento, CA 95605",https://www.apartments.com/289-3rd-st-west-sacramento-ca/wznnkjk/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,00",,,,,,,
Los Angeles,Condos,CA,90031,"[{'bedroom_type': 'Studio', 'price': '$1,40'}]","Los Angeles, CA 90031",https://www.apartments.com/2116-keith-st-los-angeles-ca/p8zjxgv/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,"$1,40",,,,,
Laguna Niguel,Condos,CA,92677,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","23 Dover Pl, Laguna Niguel, CA 92677",https://www.apartments.com/23-dover-pl-laguna-niguel-ca-unit-23/bbffb89/,2 BAs,"1,010 Sq Ft","1,010",12 Month Lease,Available Now,"$3,20",,,,,,,
Berkeley,Condos,CA,94709,"[{'bedroom_type': '3 Beds', 'price': '$5,98'}]","Berkeley, CA 94709",https://www.apartments.com/1751-spruce-st-berkeley-ca/xylvgbn/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,,"$5,98",,,,
Hayward,Condos,CA,94541,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","Hayward, CA 94541",https://www.apartments.com/1453-c-st-hayward-ca/m1cmv0h/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$3,20",,,,
San Francisco,Condos,CA,94127,"[{'bedroom_type': '6 Beds', 'price': '$5,95'}]","San Francisco, CA 94127",https://www.apartments.com/481-monterey-blvd-san-francisco-ca/qbw1sjw/,3 BAs,"2,500 Sq Ft","2,500",6 Month Lease,Available Now,,,,,"$5,95",,,
San Jose,Condos,CA,95131,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","1552 Four Oaks Cir, San Jose, CA 95131",https://www.apartments.com/1552-four-oaks-cir-san-jose-ca-unit-1552/jnj44t4/,2 BAs,992 Sq Ft,992,12 Month Lease,Available Now,"$2,60",,,,,,,
Santa Clarita,Condos,CA,91355,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","24535 Town Center Dr, Santa Clarita, CA 91355",https://www.apartments.com/24535-town-center-dr-santa-clarita-ca-unit-6104/gcytxgy/,2 BAs,"1,603 Sq Ft","1,603",12 Month Lease,Available Now,,,,"$4,00",,,,
